Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Ascending, Integer, 100, 1041933 
2, PassPerItem, Ascending, Integer, 100, 624328 
3, PassPerItem, Ascending, Integer, 100, 626716 
4, PassPerItem, Ascending, Integer, 100, 648426 
5, PassPerItem, Ascending, Integer, 100, 655743 
6, PassPerItem, Ascending, Integer, 100, 666068 
7, PassPerItem, Ascending, Integer, 100, 636301 
8, PassPerItem, Ascending, Integer, 100, 215757 
9, PassPerItem, Ascending, Integer, 100, 156106 
10, PassPerItem, Ascending, Integer, 100, 140952 
11, PassPerItem, Ascending, Integer, 100, 141249 
12, PassPerItem, Ascending, Integer, 100, 130429 
13, PassPerItem, Ascending, Integer, 100, 136643 
14, PassPerItem, Ascending, Integer, 100, 132816 
15, PassPerItem, Ascending, Integer, 100, 130060 
16, PassPerItem, Ascending, Integer, 100, 240015 
17, PassPerItem, Ascending, Integer, 100, 201306 
18, PassPerItem, Ascending, Integer, 100, 205789 
19, PassPerItem, Ascending, Integer, 100, 215914 
20, PassPerItem, Ascending, Integer, 100, 135310 
21, PassPerItem, Ascending, Integer, 100, 135201 
22, PassPerItem, Ascending, Integer, 100, 142738 
23, PassPerItem, Ascending, Integer, 100, 127742 
24, PassPerItem, Ascending, Integer, 100, 128935 
25, PassPerItem, Ascending, Integer, 100, 129588 
26, PassPerItem, Ascending, Integer, 100, 127809 
27, PassPerItem, Ascending, Integer, 100, 270589 
28, PassPerItem, Ascending, Integer, 100, 134606 
29, PassPerItem, Ascending, Integer, 100, 133648 
30, PassPerItem, Ascending, Integer, 100, 222688 
31, PassPerItem, Ascending, Integer, 100, 133930 
32, PassPerItem, Ascending, Integer, 100, 153907 
33, PassPerItem, Ascending, Integer, 100, 135154 
34, PassPerItem, Ascending, Integer, 100, 129673 
35, PassPerItem, Ascending, Integer, 100, 131928 
36, PassPerItem, Ascending, Integer, 100, 132174 
37, PassPerItem, Ascending, Integer, 100, 139091 
38, PassPerItem, Ascending, Integer, 100, 133449 
39, PassPerItem, Ascending, Integer, 100, 195067 
40, PassPerItem, Ascending, Integer, 100, 249928 
41, PassPerItem, Ascending, Integer, 100, 190929 
42, PassPerItem, Ascending, Integer, 100, 190891 
43, PassPerItem, Ascending, Integer, 100, 197985 
44, PassPerItem, Ascending, Integer, 100, 191590 
45, PassPerItem, Ascending, Integer, 100, 189447 
46, PassPerItem, Ascending, Integer, 100, 188546 
47, PassPerItem, Ascending, Integer, 100, 193526 
48, PassPerItem, Ascending, Integer, 100, 187576 
49, PassPerItem, Ascending, Integer, 100, 184472 
50, PassPerItem, Ascending, Integer, 100, 190429 
51, PassPerItem, Ascending, Integer, 100, 187862 
52, PassPerItem, Ascending, Integer, 100, 189848 
53, PassPerItem, Ascending, Integer, 100, 186491 
54, PassPerItem, Ascending, Integer, 100, 184547 
55, PassPerItem, Ascending, Integer, 100, 189706 
56, PassPerItem, Ascending, Integer, 100, 193107 
57, PassPerItem, Ascending, Integer, 100, 190971 
58, PassPerItem, Ascending, Integer, 100, 192696 
59, PassPerItem, Ascending, Integer, 100, 201220 
60, PassPerItem, Ascending, Integer, 100, 194592 
61, PassPerItem, Ascending, Integer, 100, 215477 
62, PassPerItem, Ascending, Integer, 100, 189279 
63, PassPerItem, Ascending, Integer, 100, 189955 
64, PassPerItem, Ascending, Integer, 100, 190873 
65, PassPerItem, Ascending, Integer, 100, 293760 
66, PassPerItem, Ascending, Integer, 100, 205950 
67, PassPerItem, Ascending, Integer, 100, 20141 
68, PassPerItem, Ascending, Integer, 100, 19250 
69, PassPerItem, Ascending, Integer, 100, 19284 
70, PassPerItem, Ascending, Integer, 100, 19198 
71, PassPerItem, Ascending, Integer, 100, 19300 
72, PassPerItem, Ascending, Integer, 100, 20435 
73, PassPerItem, Ascending, Integer, 100, 19205 
74, PassPerItem, Ascending, Integer, 100, 19366 
75, PassPerItem, Ascending, Integer, 100, 24452 
76, PassPerItem, Ascending, Integer, 100, 26744 
77, PassPerItem, Ascending, Integer, 100, 19188 
78, PassPerItem, Ascending, Integer, 100, 28706 
79, PassPerItem, Ascending, Integer, 100, 32203 
80, PassPerItem, Ascending, Integer, 100, 33220 
81, PassPerItem, Ascending, Integer, 100, 34029 
82, PassPerItem, Ascending, Integer, 100, 32775 
83, PassPerItem, Ascending, Integer, 100, 25116 
84, PassPerItem, Ascending, Integer, 100, 30147 
85, PassPerItem, Ascending, Integer, 100, 26059 
86, PassPerItem, Ascending, Integer, 100, 37271 
87, PassPerItem, Ascending, Integer, 100, 38566 
88, PassPerItem, Ascending, Integer, 100, 38619 
89, PassPerItem, Ascending, Integer, 100, 39191 
90, PassPerItem, Ascending, Integer, 100, 39498 
91, PassPerItem, Ascending, Integer, 100, 38252 
92, PassPerItem, Ascending, Integer, 100, 38578 
93, PassPerItem, Ascending, Integer, 100, 38003 
94, PassPerItem, Ascending, Integer, 100, 37932 
95, PassPerItem, Ascending, Integer, 100, 38144 
96, PassPerItem, Ascending, Integer, 100, 38476 
97, PassPerItem, Ascending, Integer, 100, 37988 
98, PassPerItem, Ascending, Integer, 100, 38638 
99, PassPerItem, Ascending, Integer, 100, 38661 
100, PassPerItem, Ascending, Integer, 100, 38015 
