Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Ascending, Double, 10000, 322341003 
2, PassPerItem, Ascending, Double, 10000, 319919122 
3, PassPerItem, Ascending, Double, 10000, 328461906 
4, PassPerItem, Ascending, Double, 10000, 340193088 
5, PassPerItem, Ascending, Double, 10000, 305902372 
6, PassPerItem, Ascending, Double, 10000, 301884979 
7, PassPerItem, Ascending, Double, 10000, 282967258 
8, PassPerItem, Ascending, Double, 10000, 290879388 
9, PassPerItem, Ascending, Double, 10000, 261115257 
10, PassPerItem, Ascending, Double, 10000, 240627595 
11, PassPerItem, Ascending, Double, 10000, 299653127 
12, PassPerItem, Ascending, Double, 10000, 329677478 
13, PassPerItem, Ascending, Double, 10000, 312394221 
14, PassPerItem, Ascending, Double, 10000, 306101155 
15, PassPerItem, Ascending, Double, 10000, 318054254 
16, PassPerItem, Ascending, Double, 10000, 301193281 
17, PassPerItem, Ascending, Double, 10000, 313197746 
18, PassPerItem, Ascending, Double, 10000, 385722775 
19, PassPerItem, Ascending, Double, 10000, 272144987 
20, PassPerItem, Ascending, Double, 10000, 325559503 
21, PassPerItem, Ascending, Double, 10000, 315853485 
22, PassPerItem, Ascending, Double, 10000, 256777957 
23, PassPerItem, Ascending, Double, 10000, 291038369 
24, PassPerItem, Ascending, Double, 10000, 305155684 
25, PassPerItem, Ascending, Double, 10000, 282728592 
26, PassPerItem, Ascending, Double, 10000, 275978668 
27, PassPerItem, Ascending, Double, 10000, 287042189 
28, PassPerItem, Ascending, Double, 10000, 299579892 
29, PassPerItem, Ascending, Double, 10000, 334292174 
30, PassPerItem, Ascending, Double, 10000, 311400205 
31, PassPerItem, Ascending, Double, 10000, 291284997 
32, PassPerItem, Ascending, Double, 10000, 292630718 
33, PassPerItem, Ascending, Double, 10000, 308014441 
34, PassPerItem, Ascending, Double, 10000, 338377802 
35, PassPerItem, Ascending, Double, 10000, 345443715 
36, PassPerItem, Ascending, Double, 10000, 313557400 
37, PassPerItem, Ascending, Double, 10000, 322783922 
38, PassPerItem, Ascending, Double, 10000, 295768875 
39, PassPerItem, Ascending, Double, 10000, 323972155 
40, PassPerItem, Ascending, Double, 10000, 303859377 
41, PassPerItem, Ascending, Double, 10000, 331526511 
42, PassPerItem, Ascending, Double, 10000, 318961976 
43, PassPerItem, Ascending, Double, 10000, 307345529 
44, PassPerItem, Ascending, Double, 10000, 305517951 
45, PassPerItem, Ascending, Double, 10000, 262981743 
46, PassPerItem, Ascending, Double, 10000, 257131638 
47, PassPerItem, Ascending, Double, 10000, 267042511 
48, PassPerItem, Ascending, Double, 10000, 260546949 
49, PassPerItem, Ascending, Double, 10000, 245356824 
50, PassPerItem, Ascending, Double, 10000, 264587266 
51, PassPerItem, Ascending, Double, 10000, 286766725 
52, PassPerItem, Ascending, Double, 10000, 284750689 
53, PassPerItem, Ascending, Double, 10000, 249914088 
54, PassPerItem, Ascending, Double, 10000, 247796879 
55, PassPerItem, Ascending, Double, 10000, 268312556 
56, PassPerItem, Ascending, Double, 10000, 245960815 
57, PassPerItem, Ascending, Double, 10000, 253102934 
58, PassPerItem, Ascending, Double, 10000, 240706532 
59, PassPerItem, Ascending, Double, 10000, 258786362 
60, PassPerItem, Ascending, Double, 10000, 256155955 
61, PassPerItem, Ascending, Double, 10000, 286898445 
62, PassPerItem, Ascending, Double, 10000, 269850106 
63, PassPerItem, Ascending, Double, 10000, 262231502 
64, PassPerItem, Ascending, Double, 10000, 251361498 
65, PassPerItem, Ascending, Double, 10000, 234638433 
66, PassPerItem, Ascending, Double, 10000, 264432709 
67, PassPerItem, Ascending, Double, 10000, 260377064 
68, PassPerItem, Ascending, Double, 10000, 261042236 
69, PassPerItem, Ascending, Double, 10000, 256966557 
70, PassPerItem, Ascending, Double, 10000, 261472718 
71, PassPerItem, Ascending, Double, 10000, 292552819 
72, PassPerItem, Ascending, Double, 10000, 253734745 
73, PassPerItem, Ascending, Double, 10000, 252893278 
74, PassPerItem, Ascending, Double, 10000, 245658021 
75, PassPerItem, Ascending, Double, 10000, 248831613 
76, PassPerItem, Ascending, Double, 10000, 248839818 
77, PassPerItem, Ascending, Double, 10000, 262249267 
78, PassPerItem, Ascending, Double, 10000, 246833236 
79, PassPerItem, Ascending, Double, 10000, 251017641 
80, PassPerItem, Ascending, Double, 10000, 245311882 
81, PassPerItem, Ascending, Double, 10000, 239045646 
82, PassPerItem, Ascending, Double, 10000, 229434617 
83, PassPerItem, Ascending, Double, 10000, 242364726 
84, PassPerItem, Ascending, Double, 10000, 236993852 
85, PassPerItem, Ascending, Double, 10000, 253730851 
86, PassPerItem, Ascending, Double, 10000, 241881730 
87, PassPerItem, Ascending, Double, 10000, 244091922 
88, PassPerItem, Ascending, Double, 10000, 246563015 
89, PassPerItem, Ascending, Double, 10000, 240364189 
90, PassPerItem, Ascending, Double, 10000, 287630392 
91, PassPerItem, Ascending, Double, 10000, 264642748 
92, PassPerItem, Ascending, Double, 10000, 232658436 
93, PassPerItem, Ascending, Double, 10000, 240281973 
94, PassPerItem, Ascending, Double, 10000, 230607061 
95, PassPerItem, Ascending, Double, 10000, 232926777 
96, PassPerItem, Ascending, Double, 10000, 248075912 
97, PassPerItem, Ascending, Double, 10000, 238493068 
98, PassPerItem, Ascending, Double, 10000, 241469672 
99, PassPerItem, Ascending, Double, 10000, 238052130 
100, PassPerItem, Ascending, Double, 10000, 239721065 
