Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Ascending, Float, 100, 1858187 
2, PassPerItem, Ascending, Float, 100, 1019318 
3, PassPerItem, Ascending, Float, 100, 973243 
4, PassPerItem, Ascending, Float, 100, 930347 
5, PassPerItem, Ascending, Float, 100, 995315 
6, PassPerItem, Ascending, Float, 100, 1005351 
7, PassPerItem, Ascending, Float, 100, 906045 
8, PassPerItem, Ascending, Float, 100, 271184 
9, PassPerItem, Ascending, Float, 100, 237733 
10, PassPerItem, Ascending, Float, 100, 246502 
11, PassPerItem, Ascending, Float, 100, 256256 
12, PassPerItem, Ascending, Float, 100, 258541 
13, PassPerItem, Ascending, Float, 100, 229403 
14, PassPerItem, Ascending, Float, 100, 242224 
15, PassPerItem, Ascending, Float, 100, 223071 
16, PassPerItem, Ascending, Float, 100, 221874 
17, PassPerItem, Ascending, Float, 100, 126722 
18, PassPerItem, Ascending, Float, 100, 144846 
19, PassPerItem, Ascending, Float, 100, 127340 
20, PassPerItem, Ascending, Float, 100, 127104 
21, PassPerItem, Ascending, Float, 100, 188032 
22, PassPerItem, Ascending, Float, 100, 144262 
23, PassPerItem, Ascending, Float, 100, 129007 
24, PassPerItem, Ascending, Float, 100, 141759 
25, PassPerItem, Ascending, Float, 100, 144941 
26, PassPerItem, Ascending, Float, 100, 126835 
27, PassPerItem, Ascending, Float, 100, 127978 
28, PassPerItem, Ascending, Float, 100, 128607 
29, PassPerItem, Ascending, Float, 100, 168651 
30, PassPerItem, Ascending, Float, 100, 215667 
31, PassPerItem, Ascending, Float, 100, 242456 
32, PassPerItem, Ascending, Float, 100, 247317 
33, PassPerItem, Ascending, Float, 100, 238215 
34, PassPerItem, Ascending, Float, 100, 268242 
35, PassPerItem, Ascending, Float, 100, 247211 
36, PassPerItem, Ascending, Float, 100, 238202 
37, PassPerItem, Ascending, Float, 100, 225865 
38, PassPerItem, Ascending, Float, 100, 235808 
39, PassPerItem, Ascending, Float, 100, 270844 
40, PassPerItem, Ascending, Float, 100, 269378 
41, PassPerItem, Ascending, Float, 100, 190984 
42, PassPerItem, Ascending, Float, 100, 184255 
43, PassPerItem, Ascending, Float, 100, 184045 
44, PassPerItem, Ascending, Float, 100, 183057 
45, PassPerItem, Ascending, Float, 100, 197566 
46, PassPerItem, Ascending, Float, 100, 181873 
47, PassPerItem, Ascending, Float, 100, 201769 
48, PassPerItem, Ascending, Float, 100, 185798 
49, PassPerItem, Ascending, Float, 100, 181608 
50, PassPerItem, Ascending, Float, 100, 188940 
51, PassPerItem, Ascending, Float, 100, 24416 
52, PassPerItem, Ascending, Float, 100, 24025 
53, PassPerItem, Ascending, Float, 100, 33404 
54, PassPerItem, Ascending, Float, 100, 23860 
55, PassPerItem, Ascending, Float, 100, 39638 
56, PassPerItem, Ascending, Float, 100, 36775 
57, PassPerItem, Ascending, Float, 100, 41269 
58, PassPerItem, Ascending, Float, 100, 45715 
59, PassPerItem, Ascending, Float, 100, 45185 
60, PassPerItem, Ascending, Float, 100, 45448 
61, PassPerItem, Ascending, Float, 100, 29341 
62, PassPerItem, Ascending, Float, 100, 23896 
63, PassPerItem, Ascending, Float, 100, 24046 
64, PassPerItem, Ascending, Float, 100, 23880 
65, PassPerItem, Ascending, Float, 100, 35056 
66, PassPerItem, Ascending, Float, 100, 24035 
67, PassPerItem, Ascending, Float, 100, 23990 
68, PassPerItem, Ascending, Float, 100, 23900 
69, PassPerItem, Ascending, Float, 100, 23856 
70, PassPerItem, Ascending, Float, 100, 25818 
71, PassPerItem, Ascending, Float, 100, 23958 
72, PassPerItem, Ascending, Float, 100, 23778 
73, PassPerItem, Ascending, Float, 100, 24168 
74, PassPerItem, Ascending, Float, 100, 23856 
75, PassPerItem, Ascending, Float, 100, 23855 
76, PassPerItem, Ascending, Float, 100, 23958 
77, PassPerItem, Ascending, Float, 100, 24134 
78, PassPerItem, Ascending, Float, 100, 23784 
79, PassPerItem, Ascending, Float, 100, 23841 
80, PassPerItem, Ascending, Float, 100, 23925 
81, PassPerItem, Ascending, Float, 100, 23759 
82, PassPerItem, Ascending, Float, 100, 34102 
83, PassPerItem, Ascending, Float, 100, 23898 
84, PassPerItem, Ascending, Float, 100, 24100 
85, PassPerItem, Ascending, Float, 100, 35501 
86, PassPerItem, Ascending, Float, 100, 24030 
87, PassPerItem, Ascending, Float, 100, 23911 
88, PassPerItem, Ascending, Float, 100, 23846 
89, PassPerItem, Ascending, Float, 100, 23846 
90, PassPerItem, Ascending, Float, 100, 23924 
91, PassPerItem, Ascending, Float, 100, 37986 
92, PassPerItem, Ascending, Float, 100, 28453 
93, PassPerItem, Ascending, Float, 100, 23990 
94, PassPerItem, Ascending, Float, 100, 23752 
95, PassPerItem, Ascending, Float, 100, 31745 
96, PassPerItem, Ascending, Float, 100, 24157 
97, PassPerItem, Ascending, Float, 100, 31484 
98, PassPerItem, Ascending, Float, 100, 32627 
99, PassPerItem, Ascending, Float, 100, 35837 
100, PassPerItem, Ascending, Float, 100, 35135 
