Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Ascending, Integer, 1000, 70662 
2, UntilNoChange, Ascending, Integer, 1000, 77345 
3, UntilNoChange, Ascending, Integer, 1000, 64904 
4, UntilNoChange, Ascending, Integer, 1000, 56481 
5, UntilNoChange, Ascending, Integer, 1000, 65087 
6, UntilNoChange, Ascending, Integer, 1000, 62509 
7, UntilNoChange, Ascending, Integer, 1000, 62310 
8, UntilNoChange, Ascending, Integer, 1000, 66688 
9, UntilNoChange, Ascending, Integer, 1000, 70756 
10, UntilNoChange, Ascending, Integer, 1000, 68372 
11, UntilNoChange, Ascending, Integer, 1000, 62930 
12, UntilNoChange, Ascending, Integer, 1000, 68561 
13, UntilNoChange, Ascending, Integer, 1000, 65006 
14, UntilNoChange, Ascending, Integer, 1000, 63327 
15, UntilNoChange, Ascending, Integer, 1000, 86714 
16, UntilNoChange, Ascending, Integer, 1000, 76182 
17, UntilNoChange, Ascending, Integer, 1000, 58198 
18, UntilNoChange, Ascending, Integer, 1000, 62871 
19, UntilNoChange, Ascending, Integer, 1000, 63012 
20, UntilNoChange, Ascending, Integer, 1000, 55951 
21, UntilNoChange, Ascending, Integer, 1000, 61797 
22, UntilNoChange, Ascending, Integer, 1000, 57805 
23, UntilNoChange, Ascending, Integer, 1000, 70731 
24, UntilNoChange, Ascending, Integer, 1000, 67154 
25, UntilNoChange, Ascending, Integer, 1000, 61106 
26, UntilNoChange, Ascending, Integer, 1000, 54347 
27, UntilNoChange, Ascending, Integer, 1000, 74908 
28, UntilNoChange, Ascending, Integer, 1000, 55447 
29, UntilNoChange, Ascending, Integer, 1000, 52534 
30, UntilNoChange, Ascending, Integer, 1000, 62028 
31, UntilNoChange, Ascending, Integer, 1000, 56521 
32, UntilNoChange, Ascending, Integer, 1000, 54968 
33, UntilNoChange, Ascending, Integer, 1000, 64438 
34, UntilNoChange, Ascending, Integer, 1000, 62301 
35, UntilNoChange, Ascending, Integer, 1000, 68187 
36, UntilNoChange, Ascending, Integer, 1000, 70363 
37, UntilNoChange, Ascending, Integer, 1000, 98890 
38, UntilNoChange, Ascending, Integer, 1000, 66650 
39, UntilNoChange, Ascending, Integer, 1000, 65636 
40, UntilNoChange, Ascending, Integer, 1000, 61398 
41, UntilNoChange, Ascending, Integer, 1000, 60450 
42, UntilNoChange, Ascending, Integer, 1000, 89736 
43, UntilNoChange, Ascending, Integer, 1000, 57618 
44, UntilNoChange, Ascending, Integer, 1000, 65845 
45, UntilNoChange, Ascending, Integer, 1000, 64705 
46, UntilNoChange, Ascending, Integer, 1000, 65473 
47, UntilNoChange, Ascending, Integer, 1000, 74018 
48, UntilNoChange, Ascending, Integer, 1000, 65064 
49, UntilNoChange, Ascending, Integer, 1000, 64189 
50, UntilNoChange, Ascending, Integer, 1000, 63482 
51, UntilNoChange, Ascending, Integer, 1000, 58279 
52, UntilNoChange, Ascending, Integer, 1000, 74358 
53, UntilNoChange, Ascending, Integer, 1000, 57484 
54, UntilNoChange, Ascending, Integer, 1000, 81247 
55, UntilNoChange, Ascending, Integer, 1000, 65124 
56, UntilNoChange, Ascending, Integer, 1000, 55681 
57, UntilNoChange, Ascending, Integer, 1000, 81520 
58, UntilNoChange, Ascending, Integer, 1000, 62864 
59, UntilNoChange, Ascending, Integer, 1000, 68635 
