Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Ascending, Double, 10000, 485928 
2, UntilNoChange, Ascending, Double, 10000, 507477 
3, UntilNoChange, Ascending, Double, 10000, 540291 
4, UntilNoChange, Ascending, Double, 10000, 458578 
5, UntilNoChange, Ascending, Double, 10000, 496843 
6, UntilNoChange, Ascending, Double, 10000, 458771 
7, UntilNoChange, Ascending, Double, 10000, 460523 
8, UntilNoChange, Ascending, Double, 10000, 186273 
9, UntilNoChange, Ascending, Double, 10000, 120690 
10, UntilNoChange, Ascending, Double, 10000, 118507 
11, UntilNoChange, Ascending, Double, 10000, 128892 
12, UntilNoChange, Ascending, Double, 10000, 158481 
13, UntilNoChange, Ascending, Double, 10000, 35927 
14, UntilNoChange, Ascending, Double, 10000, 27575 
15, UntilNoChange, Ascending, Double, 10000, 30784 
16, UntilNoChange, Ascending, Double, 10000, 33544 
17, UntilNoChange, Ascending, Double, 10000, 29943 
18, UntilNoChange, Ascending, Double, 10000, 30015 
19, UntilNoChange, Ascending, Double, 10000, 28340 
20, UntilNoChange, Ascending, Double, 10000, 66129 
21, UntilNoChange, Ascending, Double, 10000, 26094 
22, UntilNoChange, Ascending, Double, 10000, 28616 
23, UntilNoChange, Ascending, Double, 10000, 30632 
24, UntilNoChange, Ascending, Double, 10000, 29502 
25, UntilNoChange, Ascending, Double, 10000, 26068 
26, UntilNoChange, Ascending, Double, 10000, 30497 
27, UntilNoChange, Ascending, Double, 10000, 36772 
28, UntilNoChange, Ascending, Double, 10000, 27229 
29, UntilNoChange, Ascending, Double, 10000, 28752 
30, UntilNoChange, Ascending, Double, 10000, 35231 
31, UntilNoChange, Ascending, Double, 10000, 27012 
32, UntilNoChange, Ascending, Double, 10000, 26955 
33, UntilNoChange, Ascending, Double, 10000, 29311 
34, UntilNoChange, Ascending, Double, 10000, 35617 
35, UntilNoChange, Ascending, Double, 10000, 30562 
36, UntilNoChange, Ascending, Double, 10000, 32694 
37, UntilNoChange, Ascending, Double, 10000, 35106 
38, UntilNoChange, Ascending, Double, 10000, 29072 
39, UntilNoChange, Ascending, Double, 10000, 30597 
40, UntilNoChange, Ascending, Double, 10000, 32460 
41, UntilNoChange, Ascending, Double, 10000, 42066 
42, UntilNoChange, Ascending, Double, 10000, 30305 
43, UntilNoChange, Ascending, Double, 10000, 31009 
44, UntilNoChange, Ascending, Double, 10000, 44987 
45, UntilNoChange, Ascending, Double, 10000, 36085 
46, UntilNoChange, Ascending, Double, 10000, 24962 
47, UntilNoChange, Ascending, Double, 10000, 28714 
48, UntilNoChange, Ascending, Double, 10000, 25318 
49, UntilNoChange, Ascending, Double, 10000, 27891 
50, UntilNoChange, Ascending, Double, 10000, 24319 
51, UntilNoChange, Ascending, Double, 10000, 36064 
52, UntilNoChange, Ascending, Double, 10000, 28550 
53, UntilNoChange, Ascending, Double, 10000, 24094 
54, UntilNoChange, Ascending, Double, 10000, 23875 
55, UntilNoChange, Ascending, Double, 10000, 24945 
56, UntilNoChange, Ascending, Double, 10000, 24751 
57, UntilNoChange, Ascending, Double, 10000, 24898 
58, UntilNoChange, Ascending, Double, 10000, 23928 
59, UntilNoChange, Ascending, Double, 10000, 24955 
60, UntilNoChange, Ascending, Double, 10000, 25482 
61, UntilNoChange, Ascending, Double, 10000, 28324 
62, UntilNoChange, Ascending, Double, 10000, 27016 
63, UntilNoChange, Ascending, Double, 10000, 24358 
64, UntilNoChange, Ascending, Double, 10000, 25156 
65, UntilNoChange, Ascending, Double, 10000, 24045 
66, UntilNoChange, Ascending, Double, 10000, 28365 
67, UntilNoChange, Ascending, Double, 10000, 28521 
68, UntilNoChange, Ascending, Double, 10000, 27587 
69, UntilNoChange, Ascending, Double, 10000, 25084 
70, UntilNoChange, Ascending, Double, 10000, 28803 
71, UntilNoChange, Ascending, Double, 10000, 26641 
72, UntilNoChange, Ascending, Double, 10000, 24642 
73, UntilNoChange, Ascending, Double, 10000, 28955 
74, UntilNoChange, Ascending, Double, 10000, 23747 
75, UntilNoChange, Ascending, Double, 10000, 23276 
76, UntilNoChange, Ascending, Double, 10000, 24175 
77, UntilNoChange, Ascending, Double, 10000, 24435 
78, UntilNoChange, Ascending, Double, 10000, 23444 
79, UntilNoChange, Ascending, Double, 10000, 23664 
80, UntilNoChange, Ascending, Double, 10000, 24517 
81, UntilNoChange, Ascending, Double, 10000, 23146 
82, UntilNoChange, Ascending, Double, 10000, 23251 
83, UntilNoChange, Ascending, Double, 10000, 23879 
84, UntilNoChange, Ascending, Double, 10000, 23336 
85, UntilNoChange, Ascending, Double, 10000, 24546 
86, UntilNoChange, Ascending, Double, 10000, 39207 
87, UntilNoChange, Ascending, Double, 10000, 23262 
88, UntilNoChange, Ascending, Double, 10000, 23813 
89, UntilNoChange, Ascending, Double, 10000, 23027 
90, UntilNoChange, Ascending, Double, 10000, 56593 
91, UntilNoChange, Ascending, Double, 10000, 23519 
92, UntilNoChange, Ascending, Double, 10000, 22008 
93, UntilNoChange, Ascending, Double, 10000, 22613 
94, UntilNoChange, Ascending, Double, 10000, 22334 
95, UntilNoChange, Ascending, Double, 10000, 22939 
96, UntilNoChange, Ascending, Double, 10000, 24023 
97, UntilNoChange, Ascending, Double, 10000, 22527 
98, UntilNoChange, Ascending, Double, 10000, 22872 
99, UntilNoChange, Ascending, Double, 10000, 22405 
100, UntilNoChange, Ascending, Double, 10000, 23766 
