Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Ascending, Float, 100, 19279 
2, UntilNoChange, Ascending, Float, 100, 11679 
3, UntilNoChange, Ascending, Float, 100, 11572 
4, UntilNoChange, Ascending, Float, 100, 11471 
5, UntilNoChange, Ascending, Float, 100, 14682 
6, UntilNoChange, Ascending, Float, 100, 11932 
7, UntilNoChange, Ascending, Float, 100, 16804 
8, UntilNoChange, Ascending, Float, 100, 13262 
9, UntilNoChange, Ascending, Float, 100, 11950 
10, UntilNoChange, Ascending, Float, 100, 12306 
11, UntilNoChange, Ascending, Float, 100, 15799 
12, UntilNoChange, Ascending, Float, 100, 11955 
13, UntilNoChange, Ascending, Float, 100, 12057 
14, UntilNoChange, Ascending, Float, 100, 11976 
15, UntilNoChange, Ascending, Float, 100, 11886 
16, UntilNoChange, Ascending, Float, 100, 11495 
17, UntilNoChange, Ascending, Float, 100, 7157 
18, UntilNoChange, Ascending, Float, 100, 7939 
19, UntilNoChange, Ascending, Float, 100, 7741 
20, UntilNoChange, Ascending, Float, 100, 7280 
21, UntilNoChange, Ascending, Float, 100, 16367 
22, UntilNoChange, Ascending, Float, 100, 9883 
23, UntilNoChange, Ascending, Float, 100, 7727 
24, UntilNoChange, Ascending, Float, 100, 7797 
25, UntilNoChange, Ascending, Float, 100, 8031 
26, UntilNoChange, Ascending, Float, 100, 7652 
27, UntilNoChange, Ascending, Float, 100, 7797 
28, UntilNoChange, Ascending, Float, 100, 7677 
29, UntilNoChange, Ascending, Float, 100, 12291 
30, UntilNoChange, Ascending, Float, 100, 11879 
31, UntilNoChange, Ascending, Float, 100, 12803 
32, UntilNoChange, Ascending, Float, 100, 15825 
33, UntilNoChange, Ascending, Float, 100, 13320 
34, UntilNoChange, Ascending, Float, 100, 12460 
35, UntilNoChange, Ascending, Float, 100, 12478 
36, UntilNoChange, Ascending, Float, 100, 12868 
37, UntilNoChange, Ascending, Float, 100, 12698 
38, UntilNoChange, Ascending, Float, 100, 12207 
39, UntilNoChange, Ascending, Float, 100, 11677 
40, UntilNoChange, Ascending, Float, 100, 12150 
41, UntilNoChange, Ascending, Float, 100, 7100 
42, UntilNoChange, Ascending, Float, 100, 8589 
43, UntilNoChange, Ascending, Float, 100, 7010 
44, UntilNoChange, Ascending, Float, 100, 6999 
45, UntilNoChange, Ascending, Float, 100, 7096 
46, UntilNoChange, Ascending, Float, 100, 7035 
47, UntilNoChange, Ascending, Float, 100, 6922 
48, UntilNoChange, Ascending, Float, 100, 6829 
49, UntilNoChange, Ascending, Float, 100, 6898 
50, UntilNoChange, Ascending, Float, 100, 7073 
51, UntilNoChange, Ascending, Float, 100, 7212 
52, UntilNoChange, Ascending, Float, 100, 8858 
53, UntilNoChange, Ascending, Float, 100, 9803 
54, UntilNoChange, Ascending, Float, 100, 7340 
55, UntilNoChange, Ascending, Float, 100, 10741 
56, UntilNoChange, Ascending, Float, 100, 7881 
57, UntilNoChange, Ascending, Float, 100, 11074 
58, UntilNoChange, Ascending, Float, 100, 11599 
59, UntilNoChange, Ascending, Float, 100, 11583 
60, UntilNoChange, Ascending, Float, 100, 11590 
61, UntilNoChange, Ascending, Float, 100, 10623 
62, UntilNoChange, Ascending, Float, 100, 7061 
63, UntilNoChange, Ascending, Float, 100, 8983 
64, UntilNoChange, Ascending, Float, 100, 7000 
65, UntilNoChange, Ascending, Float, 100, 10624 
66, UntilNoChange, Ascending, Float, 100, 7113 
67, UntilNoChange, Ascending, Float, 100, 7073 
68, UntilNoChange, Ascending, Float, 100, 7049 
69, UntilNoChange, Ascending, Float, 100, 7017 
70, UntilNoChange, Ascending, Float, 100, 20943 
71, UntilNoChange, Ascending, Float, 100, 7038 
72, UntilNoChange, Ascending, Float, 100, 7101 
73, UntilNoChange, Ascending, Float, 100, 8631 
74, UntilNoChange, Ascending, Float, 100, 7026 
75, UntilNoChange, Ascending, Float, 100, 7012 
76, UntilNoChange, Ascending, Float, 100, 7221 
77, UntilNoChange, Ascending, Float, 100, 7495 
78, UntilNoChange, Ascending, Float, 100, 7108 
79, UntilNoChange, Ascending, Float, 100, 7124 
80, UntilNoChange, Ascending, Float, 100, 7107 
81, UntilNoChange, Ascending, Float, 100, 7466 
82, UntilNoChange, Ascending, Float, 100, 10430 
83, UntilNoChange, Ascending, Float, 100, 10329 
84, UntilNoChange, Ascending, Float, 100, 7376 
85, UntilNoChange, Ascending, Float, 100, 9842 
86, UntilNoChange, Ascending, Float, 100, 7336 
87, UntilNoChange, Ascending, Float, 100, 7171 
88, UntilNoChange, Ascending, Float, 100, 7272 
89, UntilNoChange, Ascending, Float, 100, 7051 
90, UntilNoChange, Ascending, Float, 100, 7091 
91, UntilNoChange, Ascending, Float, 100, 10818 
92, UntilNoChange, Ascending, Float, 100, 8237 
93, UntilNoChange, Ascending, Float, 100, 7179 
94, UntilNoChange, Ascending, Float, 100, 9182 
95, UntilNoChange, Ascending, Float, 100, 9167 
96, UntilNoChange, Ascending, Float, 100, 7071 
97, UntilNoChange, Ascending, Float, 100, 10469 
98, UntilNoChange, Ascending, Float, 100, 10029 
99, UntilNoChange, Ascending, Float, 100, 9434 
100, UntilNoChange, Ascending, Float, 100, 10328 
