Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Ascending, Integer, 1000, 60008 
2, WhileNeeded, Ascending, Integer, 1000, 64569 
3, WhileNeeded, Ascending, Integer, 1000, 60123 
4, WhileNeeded, Ascending, Integer, 1000, 53964 
5, WhileNeeded, Ascending, Integer, 1000, 55067 
6, WhileNeeded, Ascending, Integer, 1000, 56617 
7, WhileNeeded, Ascending, Integer, 1000, 56251 
8, WhileNeeded, Ascending, Integer, 1000, 55225 
9, WhileNeeded, Ascending, Integer, 1000, 56558 
10, WhileNeeded, Ascending, Integer, 1000, 55673 
11, WhileNeeded, Ascending, Integer, 1000, 56301 
12, WhileNeeded, Ascending, Integer, 1000, 54494 
13, WhileNeeded, Ascending, Integer, 1000, 56276 
14, WhileNeeded, Ascending, Integer, 1000, 54811 
15, WhileNeeded, Ascending, Integer, 1000, 84270 
16, WhileNeeded, Ascending, Integer, 1000, 66073 
17, WhileNeeded, Ascending, Integer, 1000, 54189 
18, WhileNeeded, Ascending, Integer, 1000, 73898 
19, WhileNeeded, Ascending, Integer, 1000, 54218 
20, WhileNeeded, Ascending, Integer, 1000, 50987 
21, WhileNeeded, Ascending, Integer, 1000, 52296 
22, WhileNeeded, Ascending, Integer, 1000, 51705 
23, WhileNeeded, Ascending, Integer, 1000, 56496 
24, WhileNeeded, Ascending, Integer, 1000, 52709 
25, WhileNeeded, Ascending, Integer, 1000, 52917 
26, WhileNeeded, Ascending, Integer, 1000, 51931 
27, WhileNeeded, Ascending, Integer, 1000, 52986 
28, WhileNeeded, Ascending, Integer, 1000, 52025 
29, WhileNeeded, Ascending, Integer, 1000, 48910 
30, WhileNeeded, Ascending, Integer, 1000, 52686 
31, WhileNeeded, Ascending, Integer, 1000, 50051 
32, WhileNeeded, Ascending, Integer, 1000, 50727 
33, WhileNeeded, Ascending, Integer, 1000, 62596 
34, WhileNeeded, Ascending, Integer, 1000, 53021 
35, WhileNeeded, Ascending, Integer, 1000, 52468 
36, WhileNeeded, Ascending, Integer, 1000, 56524 
37, WhileNeeded, Ascending, Integer, 1000, 88156 
38, WhileNeeded, Ascending, Integer, 1000, 55931 
39, WhileNeeded, Ascending, Integer, 1000, 54135 
