Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Ascending, Double, 1000, 52899 
2, WhileNeeded, Ascending, Double, 1000, 80391 
3, WhileNeeded, Ascending, Double, 1000, 50867 
4, WhileNeeded, Ascending, Double, 1000, 52432 
5, WhileNeeded, Ascending, Double, 1000, 50902 
6, WhileNeeded, Ascending, Double, 1000, 51911 
7, WhileNeeded, Ascending, Double, 1000, 53013 
8, WhileNeeded, Ascending, Double, 1000, 80120 
9, WhileNeeded, Ascending, Double, 1000, 48830 
10, WhileNeeded, Ascending, Double, 1000, 75346 
11, WhileNeeded, Ascending, Double, 1000, 49586 
12, WhileNeeded, Ascending, Double, 1000, 66955 
13, WhileNeeded, Ascending, Double, 1000, 48230 
14, WhileNeeded, Ascending, Double, 1000, 53338 
15, WhileNeeded, Ascending, Double, 1000, 49219 
16, WhileNeeded, Ascending, Double, 1000, 49494 
17, WhileNeeded, Ascending, Double, 1000, 50555 
18, WhileNeeded, Ascending, Double, 1000, 49158 
19, WhileNeeded, Ascending, Double, 1000, 50167 
20, WhileNeeded, Ascending, Double, 1000, 49288 
21, WhileNeeded, Ascending, Double, 1000, 50996 
22, WhileNeeded, Ascending, Double, 1000, 49360 
23, WhileNeeded, Ascending, Double, 1000, 49751 
24, WhileNeeded, Ascending, Double, 1000, 66701 
25, WhileNeeded, Ascending, Double, 1000, 48635 
26, WhileNeeded, Ascending, Double, 1000, 60231 
27, WhileNeeded, Ascending, Double, 1000, 50175 
28, WhileNeeded, Ascending, Double, 1000, 50436 
29, WhileNeeded, Ascending, Double, 1000, 47896 
30, WhileNeeded, Ascending, Double, 1000, 49885 
31, WhileNeeded, Ascending, Double, 1000, 48649 
32, WhileNeeded, Ascending, Double, 1000, 48455 
33, WhileNeeded, Ascending, Double, 1000, 48937 
34, WhileNeeded, Ascending, Double, 1000, 49052 
35, WhileNeeded, Ascending, Double, 1000, 61888 
36, WhileNeeded, Ascending, Double, 1000, 52499 
37, WhileNeeded, Ascending, Double, 1000, 50708 
38, WhileNeeded, Ascending, Double, 1000, 48150 
39, WhileNeeded, Ascending, Double, 1000, 65211 
40, WhileNeeded, Ascending, Double, 1000, 54137 
41, WhileNeeded, Ascending, Double, 1000, 53859 
42, WhileNeeded, Ascending, Double, 1000, 56753 
43, WhileNeeded, Ascending, Double, 1000, 56511 
44, WhileNeeded, Ascending, Double, 1000, 56517 
45, WhileNeeded, Ascending, Double, 1000, 89812 
46, WhileNeeded, Ascending, Double, 1000, 55602 
47, WhileNeeded, Ascending, Double, 1000, 57065 
48, WhileNeeded, Ascending, Double, 1000, 56703 
49, WhileNeeded, Ascending, Double, 1000, 56008 
50, WhileNeeded, Ascending, Double, 1000, 77522 
51, WhileNeeded, Ascending, Double, 1000, 91135 
52, WhileNeeded, Ascending, Double, 1000, 90292 
53, WhileNeeded, Ascending, Double, 1000, 114034 
54, WhileNeeded, Ascending, Double, 1000, 51714 
55, WhileNeeded, Ascending, Double, 1000, 53427 
56, WhileNeeded, Ascending, Double, 1000, 70270 
57, WhileNeeded, Ascending, Double, 1000, 64718 
58, WhileNeeded, Ascending, Double, 1000, 49558 
59, WhileNeeded, Ascending, Double, 1000, 51388 
60, WhileNeeded, Ascending, Double, 1000, 70240 
61, WhileNeeded, Ascending, Double, 1000, 58218 
62, WhileNeeded, Ascending, Double, 1000, 90067 
63, WhileNeeded, Ascending, Double, 1000, 56019 
64, WhileNeeded, Ascending, Double, 1000, 28577 
65, WhileNeeded, Ascending, Double, 1000, 22071 
66, WhileNeeded, Ascending, Double, 1000, 24621 
67, WhileNeeded, Ascending, Double, 1000, 19079 
68, WhileNeeded, Ascending, Double, 1000, 10728 
69, WhileNeeded, Ascending, Double, 1000, 12349 
70, WhileNeeded, Ascending, Double, 1000, 9844 
71, WhileNeeded, Ascending, Double, 1000, 23804 
72, WhileNeeded, Ascending, Double, 1000, 19885 
73, WhileNeeded, Ascending, Double, 1000, 10818 
74, WhileNeeded, Ascending, Double, 1000, 9305 
75, WhileNeeded, Ascending, Double, 1000, 10194 
76, WhileNeeded, Ascending, Double, 1000, 16663 
77, WhileNeeded, Ascending, Double, 1000, 15170 
78, WhileNeeded, Ascending, Double, 1000, 9698 
79, WhileNeeded, Ascending, Double, 1000, 12848 
80, WhileNeeded, Ascending, Double, 1000, 9434 
81, WhileNeeded, Ascending, Double, 1000, 18105 
82, WhileNeeded, Ascending, Double, 1000, 17228 
83, WhileNeeded, Ascending, Double, 1000, 9706 
84, WhileNeeded, Ascending, Double, 1000, 10227 
85, WhileNeeded, Ascending, Double, 1000, 16863 
86, WhileNeeded, Ascending, Double, 1000, 19692 
87, WhileNeeded, Ascending, Double, 1000, 17532 
88, WhileNeeded, Ascending, Double, 1000, 9411 
89, WhileNeeded, Ascending, Double, 1000, 11046 
90, WhileNeeded, Ascending, Double, 1000, 12066 
91, WhileNeeded, Ascending, Double, 1000, 18617 
92, WhileNeeded, Ascending, Double, 1000, 10844 
93, WhileNeeded, Ascending, Double, 1000, 11040 
94, WhileNeeded, Ascending, Double, 1000, 9607 
95, WhileNeeded, Ascending, Double, 1000, 26193 
96, WhileNeeded, Ascending, Double, 1000, 9734 
97, WhileNeeded, Ascending, Double, 1000, 10099 
98, WhileNeeded, Ascending, Double, 1000, 10968 
99, WhileNeeded, Ascending, Double, 1000, 9514 
100, WhileNeeded, Ascending, Double, 1000, 9441 
