Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Ascending, Float, 1000, 55402 
2, WhileNeeded, Ascending, Float, 1000, 51775 
3, WhileNeeded, Ascending, Float, 1000, 51145 
4, WhileNeeded, Ascending, Float, 1000, 46882 
5, WhileNeeded, Ascending, Float, 1000, 48631 
6, WhileNeeded, Ascending, Float, 1000, 48829 
7, WhileNeeded, Ascending, Float, 1000, 49252 
8, WhileNeeded, Ascending, Float, 1000, 47017 
9, WhileNeeded, Ascending, Float, 1000, 62622 
10, WhileNeeded, Ascending, Float, 1000, 78714 
11, WhileNeeded, Ascending, Float, 1000, 50606 
12, WhileNeeded, Ascending, Float, 1000, 48298 
13, WhileNeeded, Ascending, Float, 1000, 48777 
14, WhileNeeded, Ascending, Float, 1000, 48898 
15, WhileNeeded, Ascending, Float, 1000, 49831 
16, WhileNeeded, Ascending, Float, 1000, 48602 
17, WhileNeeded, Ascending, Float, 1000, 47549 
18, WhileNeeded, Ascending, Float, 1000, 47121 
19, WhileNeeded, Ascending, Float, 1000, 46378 
20, WhileNeeded, Ascending, Float, 1000, 50689 
21, WhileNeeded, Ascending, Float, 1000, 46955 
22, WhileNeeded, Ascending, Float, 1000, 46989 
23, WhileNeeded, Ascending, Float, 1000, 46735 
24, WhileNeeded, Ascending, Float, 1000, 45748 
25, WhileNeeded, Ascending, Float, 1000, 44337 
26, WhileNeeded, Ascending, Float, 1000, 45872 
27, WhileNeeded, Ascending, Float, 1000, 71526 
28, WhileNeeded, Ascending, Float, 1000, 73541 
29, WhileNeeded, Ascending, Float, 1000, 44758 
30, WhileNeeded, Ascending, Float, 1000, 44115 
31, WhileNeeded, Ascending, Float, 1000, 45575 
32, WhileNeeded, Ascending, Float, 1000, 75410 
33, WhileNeeded, Ascending, Float, 1000, 45570 
34, WhileNeeded, Ascending, Float, 1000, 44356 
35, WhileNeeded, Ascending, Float, 1000, 44998 
36, WhileNeeded, Ascending, Float, 1000, 44948 
37, WhileNeeded, Ascending, Float, 1000, 71563 
38, WhileNeeded, Ascending, Float, 1000, 44795 
39, WhileNeeded, Ascending, Float, 1000, 44959 
40, WhileNeeded, Ascending, Float, 1000, 45058 
41, WhileNeeded, Ascending, Float, 1000, 43561 
42, WhileNeeded, Ascending, Float, 1000, 44987 
43, WhileNeeded, Ascending, Float, 1000, 61054 
44, WhileNeeded, Ascending, Float, 1000, 73261 
45, WhileNeeded, Ascending, Float, 1000, 45794 
46, WhileNeeded, Ascending, Float, 1000, 59965 
47, WhileNeeded, Ascending, Float, 1000, 46508 
48, WhileNeeded, Ascending, Float, 1000, 44314 
49, WhileNeeded, Ascending, Float, 1000, 44356 
50, WhileNeeded, Ascending, Float, 1000, 45526 
51, WhileNeeded, Ascending, Float, 1000, 44826 
52, WhileNeeded, Ascending, Float, 1000, 62904 
53, WhileNeeded, Ascending, Float, 1000, 71235 
54, WhileNeeded, Ascending, Float, 1000, 44501 
55, WhileNeeded, Ascending, Float, 1000, 43989 
56, WhileNeeded, Ascending, Float, 1000, 44725 
57, WhileNeeded, Ascending, Float, 1000, 69746 
58, WhileNeeded, Ascending, Float, 1000, 68285 
59, WhileNeeded, Ascending, Float, 1000, 45022 
60, WhileNeeded, Ascending, Float, 1000, 44888 
61, WhileNeeded, Ascending, Float, 1000, 45435 
62, WhileNeeded, Ascending, Float, 1000, 71871 
63, WhileNeeded, Ascending, Float, 1000, 19405 
64, WhileNeeded, Ascending, Float, 1000, 12878 
65, WhileNeeded, Ascending, Float, 1000, 10778 
66, WhileNeeded, Ascending, Float, 1000, 9384 
67, WhileNeeded, Ascending, Float, 1000, 16986 
68, WhileNeeded, Ascending, Float, 1000, 17819 
69, WhileNeeded, Ascending, Float, 1000, 9409 
70, WhileNeeded, Ascending, Float, 1000, 11944 
71, WhileNeeded, Ascending, Float, 1000, 9367 
72, WhileNeeded, Ascending, Float, 1000, 14917 
73, WhileNeeded, Ascending, Float, 1000, 17033 
74, WhileNeeded, Ascending, Float, 1000, 11942 
75, WhileNeeded, Ascending, Float, 1000, 11097 
76, WhileNeeded, Ascending, Float, 1000, 11160 
77, WhileNeeded, Ascending, Float, 1000, 9641 
78, WhileNeeded, Ascending, Float, 1000, 12346 
79, WhileNeeded, Ascending, Float, 1000, 9809 
80, WhileNeeded, Ascending, Float, 1000, 9662 
81, WhileNeeded, Ascending, Float, 1000, 9598 
82, WhileNeeded, Ascending, Float, 1000, 9222 
83, WhileNeeded, Ascending, Float, 1000, 9226 
84, WhileNeeded, Ascending, Float, 1000, 9258 
85, WhileNeeded, Ascending, Float, 1000, 10085 
86, WhileNeeded, Ascending, Float, 1000, 11786 
87, WhileNeeded, Ascending, Float, 1000, 11985 
88, WhileNeeded, Ascending, Float, 1000, 9386 
89, WhileNeeded, Ascending, Float, 1000, 9130 
90, WhileNeeded, Ascending, Float, 1000, 9204 
91, WhileNeeded, Ascending, Float, 1000, 9387 
92, WhileNeeded, Ascending, Float, 1000, 10559 
93, WhileNeeded, Ascending, Float, 1000, 9990 
94, WhileNeeded, Ascending, Float, 1000, 10376 
95, WhileNeeded, Ascending, Float, 1000, 10884 
96, WhileNeeded, Ascending, Float, 1000, 10344 
97, WhileNeeded, Ascending, Float, 1000, 9185 
98, WhileNeeded, Ascending, Float, 1000, 12348 
99, WhileNeeded, Ascending, Float, 1000, 9599 
100, WhileNeeded, Ascending, Float, 1000, 9936 
