Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Descending, Integer, 1000, 46240973 
2, PassPerItem, Descending, Integer, 1000, 12490527 
3, PassPerItem, Descending, Integer, 1000, 6130964 
4, PassPerItem, Descending, Integer, 1000, 6203977 
5, PassPerItem, Descending, Integer, 1000, 6165197 
6, PassPerItem, Descending, Integer, 1000, 6242889 
7, PassPerItem, Descending, Integer, 1000, 6191139 
8, PassPerItem, Descending, Integer, 1000, 6408602 
9, PassPerItem, Descending, Integer, 1000, 6187631 
10, PassPerItem, Descending, Integer, 1000, 6383453 
11, PassPerItem, Descending, Integer, 1000, 6411133 
12, PassPerItem, Descending, Integer, 1000, 6731477 
13, PassPerItem, Descending, Integer, 1000, 6442966 
14, PassPerItem, Descending, Integer, 1000, 7427178 
15, PassPerItem, Descending, Integer, 1000, 6282148 
16, PassPerItem, Descending, Integer, 1000, 6358123 
17, PassPerItem, Descending, Integer, 1000, 6556904 
18, PassPerItem, Descending, Integer, 1000, 6497724 
19, PassPerItem, Descending, Integer, 1000, 5957358 
20, PassPerItem, Descending, Integer, 1000, 5948073 
21, PassPerItem, Descending, Integer, 1000, 5780308 
22, PassPerItem, Descending, Integer, 1000, 5831845 
23, PassPerItem, Descending, Integer, 1000, 6083919 
24, PassPerItem, Descending, Integer, 1000, 6023087 
25, PassPerItem, Descending, Integer, 1000, 5793977 
26, PassPerItem, Descending, Integer, 1000, 5785475 
27, PassPerItem, Descending, Integer, 1000, 5836585 
28, PassPerItem, Descending, Integer, 1000, 6170309 
29, PassPerItem, Descending, Integer, 1000, 6390008 
30, PassPerItem, Descending, Integer, 1000, 6037495 
31, PassPerItem, Descending, Integer, 1000, 6017346 
32, PassPerItem, Descending, Integer, 1000, 6441262 
33, PassPerItem, Descending, Integer, 1000, 6094192 
34, PassPerItem, Descending, Integer, 1000, 5883612 
35, PassPerItem, Descending, Integer, 1000, 5956397 
36, PassPerItem, Descending, Integer, 1000, 6152074 
37, PassPerItem, Descending, Integer, 1000, 6130237 
38, PassPerItem, Descending, Integer, 1000, 7134818 
39, PassPerItem, Descending, Integer, 1000, 6278199 
40, PassPerItem, Descending, Integer, 1000, 6576760 
41, PassPerItem, Descending, Integer, 1000, 8496640 
42, PassPerItem, Descending, Integer, 1000, 5925834 
43, PassPerItem, Descending, Integer, 1000, 6009239 
44, PassPerItem, Descending, Integer, 1000, 5829519 
45, PassPerItem, Descending, Integer, 1000, 5904491 
46, PassPerItem, Descending, Integer, 1000, 5998779 
47, PassPerItem, Descending, Integer, 1000, 6018267 
48, PassPerItem, Descending, Integer, 1000, 6392772 
49, PassPerItem, Descending, Integer, 1000, 6042087 
50, PassPerItem, Descending, Integer, 1000, 5752344 
51, PassPerItem, Descending, Integer, 1000, 5743394 
52, PassPerItem, Descending, Integer, 1000, 5730223 
53, PassPerItem, Descending, Integer, 1000, 5828681 
54, PassPerItem, Descending, Integer, 1000, 5954443 
55, PassPerItem, Descending, Integer, 1000, 5790043 
56, PassPerItem, Descending, Integer, 1000, 5696559 
57, PassPerItem, Descending, Integer, 1000, 5992359 
58, PassPerItem, Descending, Integer, 1000, 5930238 
59, PassPerItem, Descending, Integer, 1000, 5975208 
60, PassPerItem, Descending, Integer, 1000, 5845046 
61, PassPerItem, Descending, Integer, 1000, 5939740 
62, PassPerItem, Descending, Integer, 1000, 6152024 
63, PassPerItem, Descending, Integer, 1000, 6054123 
64, PassPerItem, Descending, Integer, 1000, 5890149 
65, PassPerItem, Descending, Integer, 1000, 6053225 
66, PassPerItem, Descending, Integer, 1000, 6874457 
67, PassPerItem, Descending, Integer, 1000, 7158595 
68, PassPerItem, Descending, Integer, 1000, 7866230 
69, PassPerItem, Descending, Integer, 1000, 7958720 
70, PassPerItem, Descending, Integer, 1000, 8216531 
71, PassPerItem, Descending, Integer, 1000, 5819427 
72, PassPerItem, Descending, Integer, 1000, 6102112 
73, PassPerItem, Descending, Integer, 1000, 6075706 
74, PassPerItem, Descending, Integer, 1000, 6274474 
75, PassPerItem, Descending, Integer, 1000, 5941630 
76, PassPerItem, Descending, Integer, 1000, 5843813 
77, PassPerItem, Descending, Integer, 1000, 5642193 
78, PassPerItem, Descending, Integer, 1000, 5755826 
79, PassPerItem, Descending, Integer, 1000, 5565695 
80, PassPerItem, Descending, Integer, 1000, 5431467 
81, PassPerItem, Descending, Integer, 1000, 5485482 
82, PassPerItem, Descending, Integer, 1000, 5473487 
83, PassPerItem, Descending, Integer, 1000, 5388899 
84, PassPerItem, Descending, Integer, 1000, 5819248 
85, PassPerItem, Descending, Integer, 1000, 5513310 
86, PassPerItem, Descending, Integer, 1000, 5548956 
87, PassPerItem, Descending, Integer, 1000, 5486497 
88, PassPerItem, Descending, Integer, 1000, 5851507 
89, PassPerItem, Descending, Integer, 1000, 5855341 
90, PassPerItem, Descending, Integer, 1000, 8301145 
91, PassPerItem, Descending, Integer, 1000, 6046877 
92, PassPerItem, Descending, Integer, 1000, 8691433 
93, PassPerItem, Descending, Integer, 1000, 6935614 
94, PassPerItem, Descending, Integer, 1000, 6128326 
95, PassPerItem, Descending, Integer, 1000, 5976616 
96, PassPerItem, Descending, Integer, 1000, 5884734 
97, PassPerItem, Descending, Integer, 1000, 5866727 
98, PassPerItem, Descending, Integer, 1000, 6015115 
99, PassPerItem, Descending, Integer, 1000, 6109514 
100, PassPerItem, Descending, Integer, 1000, 5986766 
