Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Descending, Double, 10000, 789423598 
2, PassPerItem, Descending, Double, 10000, 808714359 
3, PassPerItem, Descending, Double, 10000, 496313240 
4, PassPerItem, Descending, Double, 10000, 493395271 
5, PassPerItem, Descending, Double, 10000, 536539734 
6, PassPerItem, Descending, Double, 10000, 484716068 
7, PassPerItem, Descending, Double, 10000, 580184699 
8, PassPerItem, Descending, Double, 10000, 476313454 
9, PassPerItem, Descending, Double, 10000, 464029118 
10, PassPerItem, Descending, Double, 10000, 451974156 
11, PassPerItem, Descending, Double, 10000, 449196080 
12, PassPerItem, Descending, Double, 10000, 602020259 
13, PassPerItem, Descending, Double, 10000, 453389409 
14, PassPerItem, Descending, Double, 10000, 453551873 
15, PassPerItem, Descending, Double, 10000, 457076993 
16, PassPerItem, Descending, Double, 10000, 486581595 
17, PassPerItem, Descending, Double, 10000, 535548262 
18, PassPerItem, Descending, Double, 10000, 438306049 
19, PassPerItem, Descending, Double, 10000, 449048312 
20, PassPerItem, Descending, Double, 10000, 464918962 
21, PassPerItem, Descending, Double, 10000, 447692574 
22, PassPerItem, Descending, Double, 10000, 523753594 
23, PassPerItem, Descending, Double, 10000, 462829745 
24, PassPerItem, Descending, Double, 10000, 454257371 
25, PassPerItem, Descending, Double, 10000, 444560513 
26, PassPerItem, Descending, Double, 10000, 448330466 
27, PassPerItem, Descending, Double, 10000, 540068933 
28, PassPerItem, Descending, Double, 10000, 471172544 
29, PassPerItem, Descending, Double, 10000, 455446067 
30, PassPerItem, Descending, Double, 10000, 439483379 
31, PassPerItem, Descending, Double, 10000, 486688393 
32, PassPerItem, Descending, Double, 10000, 509910706 
33, PassPerItem, Descending, Double, 10000, 436851069 
34, PassPerItem, Descending, Double, 10000, 451256708 
35, PassPerItem, Descending, Double, 10000, 482478589 
36, PassPerItem, Descending, Double, 10000, 443722808 
37, PassPerItem, Descending, Double, 10000, 465885705 
38, PassPerItem, Descending, Double, 10000, 451100734 
39, PassPerItem, Descending, Double, 10000, 447188418 
40, PassPerItem, Descending, Double, 10000, 446241281 
41, PassPerItem, Descending, Double, 10000, 437735082 
42, PassPerItem, Descending, Double, 10000, 491573480 
43, PassPerItem, Descending, Double, 10000, 446141287 
44, PassPerItem, Descending, Double, 10000, 441403513 
45, PassPerItem, Descending, Double, 10000, 462944982 
46, PassPerItem, Descending, Double, 10000, 436623467 
47, PassPerItem, Descending, Double, 10000, 471513072 
48, PassPerItem, Descending, Double, 10000, 453596527 
49, PassPerItem, Descending, Double, 10000, 437090174 
50, PassPerItem, Descending, Double, 10000, 434930019 
51, PassPerItem, Descending, Double, 10000, 480025436 
52, PassPerItem, Descending, Double, 10000, 439978823 
53, PassPerItem, Descending, Double, 10000, 452994072 
54, PassPerItem, Descending, Double, 10000, 418306189 
55, PassPerItem, Descending, Double, 10000, 441843750 
56, PassPerItem, Descending, Double, 10000, 427304818 
57, PassPerItem, Descending, Double, 10000, 439191386 
58, PassPerItem, Descending, Double, 10000, 542557339 
59, PassPerItem, Descending, Double, 10000, 432826569 
60, PassPerItem, Descending, Double, 10000, 433023731 
61, PassPerItem, Descending, Double, 10000, 499512561 
62, PassPerItem, Descending, Double, 10000, 448173857 
63, PassPerItem, Descending, Double, 10000, 424784308 
64, PassPerItem, Descending, Double, 10000, 435344640 
65, PassPerItem, Descending, Double, 10000, 454209179 
66, PassPerItem, Descending, Double, 10000, 442055871 
67, PassPerItem, Descending, Double, 10000, 441920360 
68, PassPerItem, Descending, Double, 10000, 457822480 
69, PassPerItem, Descending, Double, 10000, 435522357 
70, PassPerItem, Descending, Double, 10000, 540897130 
71, PassPerItem, Descending, Double, 10000, 445218139 
72, PassPerItem, Descending, Double, 10000, 437257861 
73, PassPerItem, Descending, Double, 10000, 427115621 
74, PassPerItem, Descending, Double, 10000, 500251851 
75, PassPerItem, Descending, Double, 10000, 462114301 
76, PassPerItem, Descending, Double, 10000, 474040103 
77, PassPerItem, Descending, Double, 10000, 451378036 
78, PassPerItem, Descending, Double, 10000, 494345003 
79, PassPerItem, Descending, Double, 10000, 442573013 
80, PassPerItem, Descending, Double, 10000, 443525987 
81, PassPerItem, Descending, Double, 10000, 438535256 
82, PassPerItem, Descending, Double, 10000, 499438844 
83, PassPerItem, Descending, Double, 10000, 466797556 
84, PassPerItem, Descending, Double, 10000, 460251894 
85, PassPerItem, Descending, Double, 10000, 445735341 
86, PassPerItem, Descending, Double, 10000, 446060408 
87, PassPerItem, Descending, Double, 10000, 459935350 
88, PassPerItem, Descending, Double, 10000, 499348911 
89, PassPerItem, Descending, Double, 10000, 460330357 
90, PassPerItem, Descending, Double, 10000, 449356419 
91, PassPerItem, Descending, Double, 10000, 459879776 
92, PassPerItem, Descending, Double, 10000, 462940959 
93, PassPerItem, Descending, Double, 10000, 490079248 
94, PassPerItem, Descending, Double, 10000, 454619033 
95, PassPerItem, Descending, Double, 10000, 447898159 
96, PassPerItem, Descending, Double, 10000, 455108658 
97, PassPerItem, Descending, Double, 10000, 526320038 
98, PassPerItem, Descending, Double, 10000, 465095076 
99, PassPerItem, Descending, Double, 10000, 445782523 
100, PassPerItem, Descending, Double, 10000, 454073023 
