Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Descending, Float, 10000, 742370712 
2, PassPerItem, Descending, Float, 10000, 591804887 
3, PassPerItem, Descending, Float, 10000, 483167624 
4, PassPerItem, Descending, Float, 10000, 504807652 
5, PassPerItem, Descending, Float, 10000, 493355853 
6, PassPerItem, Descending, Float, 10000, 483196108 
7, PassPerItem, Descending, Float, 10000, 461209593 
8, PassPerItem, Descending, Float, 10000, 558626577 
9, PassPerItem, Descending, Float, 10000, 641148574 
10, PassPerItem, Descending, Float, 10000, 447366956 
11, PassPerItem, Descending, Float, 10000, 577295986 
12, PassPerItem, Descending, Float, 10000, 530782706 
13, PassPerItem, Descending, Float, 10000, 523410382 
14, PassPerItem, Descending, Float, 10000, 493076073 
15, PassPerItem, Descending, Float, 10000, 645927069 
16, PassPerItem, Descending, Float, 10000, 414087621 
17, PassPerItem, Descending, Float, 10000, 568598821 
18, PassPerItem, Descending, Float, 10000, 577014457 
19, PassPerItem, Descending, Float, 10000, 574723961 
20, PassPerItem, Descending, Float, 10000, 525072607 
21, PassPerItem, Descending, Float, 10000, 619794267 
22, PassPerItem, Descending, Float, 10000, 426995194 
23, PassPerItem, Descending, Float, 10000, 446747458 
24, PassPerItem, Descending, Float, 10000, 416468164 
25, PassPerItem, Descending, Float, 10000, 459057912 
26, PassPerItem, Descending, Float, 10000, 435597963 
27, PassPerItem, Descending, Float, 10000, 407845722 
28, PassPerItem, Descending, Float, 10000, 476254269 
29, PassPerItem, Descending, Float, 10000, 427278266 
30, PassPerItem, Descending, Float, 10000, 463129795 
31, PassPerItem, Descending, Float, 10000, 448958187 
32, PassPerItem, Descending, Float, 10000, 519414497 
33, PassPerItem, Descending, Float, 10000, 479833974 
34, PassPerItem, Descending, Float, 10000, 534076371 
35, PassPerItem, Descending, Float, 10000, 449756980 
36, PassPerItem, Descending, Float, 10000, 426825741 
37, PassPerItem, Descending, Float, 10000, 506533092 
38, PassPerItem, Descending, Float, 10000, 411778643 
39, PassPerItem, Descending, Float, 10000, 481407946 
40, PassPerItem, Descending, Float, 10000, 534884028 
41, PassPerItem, Descending, Float, 10000, 455391504 
42, PassPerItem, Descending, Float, 10000, 458644209 
43, PassPerItem, Descending, Float, 10000, 396699321 
44, PassPerItem, Descending, Float, 10000, 434520875 
45, PassPerItem, Descending, Float, 10000, 520317917 
46, PassPerItem, Descending, Float, 10000, 632010405 
47, PassPerItem, Descending, Float, 10000, 425448894 
48, PassPerItem, Descending, Float, 10000, 420497995 
49, PassPerItem, Descending, Float, 10000, 516001801 
50, PassPerItem, Descending, Float, 10000, 458760824 
51, PassPerItem, Descending, Float, 10000, 438962742 
52, PassPerItem, Descending, Float, 10000, 501304654 
53, PassPerItem, Descending, Float, 10000, 457617998 
54, PassPerItem, Descending, Float, 10000, 441837755 
55, PassPerItem, Descending, Float, 10000, 420161630 
56, PassPerItem, Descending, Float, 10000, 456629991 
57, PassPerItem, Descending, Float, 10000, 457143664 
58, PassPerItem, Descending, Float, 10000, 442905942 
59, PassPerItem, Descending, Float, 10000, 455337691 
60, PassPerItem, Descending, Float, 10000, 404442336 
61, PassPerItem, Descending, Float, 10000, 441941536 
62, PassPerItem, Descending, Float, 10000, 435792858 
63, PassPerItem, Descending, Float, 10000, 461035600 
64, PassPerItem, Descending, Float, 10000, 557940370 
65, PassPerItem, Descending, Float, 10000, 555888229 
66, PassPerItem, Descending, Float, 10000, 525800232 
67, PassPerItem, Descending, Float, 10000, 493644638 
68, PassPerItem, Descending, Float, 10000, 492019862 
69, PassPerItem, Descending, Float, 10000, 470374062 
70, PassPerItem, Descending, Float, 10000, 434710655 
71, PassPerItem, Descending, Float, 10000, 547791484 
72, PassPerItem, Descending, Float, 10000, 398526652 
73, PassPerItem, Descending, Float, 10000, 456178493 
74, PassPerItem, Descending, Float, 10000, 445147855 
75, PassPerItem, Descending, Float, 10000, 434072642 
76, PassPerItem, Descending, Float, 10000, 438836115 
77, PassPerItem, Descending, Float, 10000, 687554489 
78, PassPerItem, Descending, Float, 10000, 446597265 
79, PassPerItem, Descending, Float, 10000, 438748868 
80, PassPerItem, Descending, Float, 10000, 467181613 
81, PassPerItem, Descending, Float, 10000, 439156762 
82, PassPerItem, Descending, Float, 10000, 454382912 
83, PassPerItem, Descending, Float, 10000, 430532536 
84, PassPerItem, Descending, Float, 10000, 541936576 
85, PassPerItem, Descending, Float, 10000, 444611207 
86, PassPerItem, Descending, Float, 10000, 430964834 
87, PassPerItem, Descending, Float, 10000, 431511949 
88, PassPerItem, Descending, Float, 10000, 428772091 
89, PassPerItem, Descending, Float, 10000, 433174174 
90, PassPerItem, Descending, Float, 10000, 464660090 
91, PassPerItem, Descending, Float, 10000, 446539126 
92, PassPerItem, Descending, Float, 10000, 428999830 
93, PassPerItem, Descending, Float, 10000, 401180154 
94, PassPerItem, Descending, Float, 10000, 423403028 
95, PassPerItem, Descending, Float, 10000, 455830890 
96, PassPerItem, Descending, Float, 10000, 514099389 
97, PassPerItem, Descending, Float, 10000, 518997568 
98, PassPerItem, Descending, Float, 10000, 468326667 
99, PassPerItem, Descending, Float, 10000, 461895332 
100, PassPerItem, Descending, Float, 10000, 398262413 
