Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Descending, Integer, 1000, 39246590 
2, UntilNoChange, Descending, Integer, 1000, 17050476 
3, UntilNoChange, Descending, Integer, 1000, 6237003 
4, UntilNoChange, Descending, Integer, 1000, 6359115 
5, UntilNoChange, Descending, Integer, 1000, 6276773 
6, UntilNoChange, Descending, Integer, 1000, 6317050 
7, UntilNoChange, Descending, Integer, 1000, 6350789 
8, UntilNoChange, Descending, Integer, 1000, 6614863 
9, UntilNoChange, Descending, Integer, 1000, 6618926 
10, UntilNoChange, Descending, Integer, 1000, 6339312 
11, UntilNoChange, Descending, Integer, 1000, 6220817 
12, UntilNoChange, Descending, Integer, 1000, 6165946 
13, UntilNoChange, Descending, Integer, 1000, 6086412 
14, UntilNoChange, Descending, Integer, 1000, 6263648 
15, UntilNoChange, Descending, Integer, 1000, 6734355 
16, UntilNoChange, Descending, Integer, 1000, 6420487 
17, UntilNoChange, Descending, Integer, 1000, 6381700 
18, UntilNoChange, Descending, Integer, 1000, 6568182 
19, UntilNoChange, Descending, Integer, 1000, 6327496 
20, UntilNoChange, Descending, Integer, 1000, 6244470 
21, UntilNoChange, Descending, Integer, 1000, 6253709 
22, UntilNoChange, Descending, Integer, 1000, 6257058 
23, UntilNoChange, Descending, Integer, 1000, 6346510 
24, UntilNoChange, Descending, Integer, 1000, 6241232 
25, UntilNoChange, Descending, Integer, 1000, 6256972 
26, UntilNoChange, Descending, Integer, 1000, 6668052 
27, UntilNoChange, Descending, Integer, 1000, 6020585 
28, UntilNoChange, Descending, Integer, 1000, 6005187 
29, UntilNoChange, Descending, Integer, 1000, 6614403 
30, UntilNoChange, Descending, Integer, 1000, 6365396 
31, UntilNoChange, Descending, Integer, 1000, 5987454 
32, UntilNoChange, Descending, Integer, 1000, 6599492 
33, UntilNoChange, Descending, Integer, 1000, 6540994 
34, UntilNoChange, Descending, Integer, 1000, 6257178 
35, UntilNoChange, Descending, Integer, 1000, 6198124 
36, UntilNoChange, Descending, Integer, 1000, 6252007 
37, UntilNoChange, Descending, Integer, 1000, 6315456 
38, UntilNoChange, Descending, Integer, 1000, 6487702 
39, UntilNoChange, Descending, Integer, 1000, 5957707 
40, UntilNoChange, Descending, Integer, 1000, 6454551 
41, UntilNoChange, Descending, Integer, 1000, 6054098 
42, UntilNoChange, Descending, Integer, 1000, 5914217 
43, UntilNoChange, Descending, Integer, 1000, 5838384 
44, UntilNoChange, Descending, Integer, 1000, 5971187 
45, UntilNoChange, Descending, Integer, 1000, 6523999 
46, UntilNoChange, Descending, Integer, 1000, 5951468 
47, UntilNoChange, Descending, Integer, 1000, 5974996 
48, UntilNoChange, Descending, Integer, 1000, 5959784 
49, UntilNoChange, Descending, Integer, 1000, 5841518 
50, UntilNoChange, Descending, Integer, 1000, 5726357 
51, UntilNoChange, Descending, Integer, 1000, 5713417 
52, UntilNoChange, Descending, Integer, 1000, 5695927 
53, UntilNoChange, Descending, Integer, 1000, 5666905 
54, UntilNoChange, Descending, Integer, 1000, 5673906 
55, UntilNoChange, Descending, Integer, 1000, 5686136 
56, UntilNoChange, Descending, Integer, 1000, 5677428 
57, UntilNoChange, Descending, Integer, 1000, 5668535 
58, UntilNoChange, Descending, Integer, 1000, 6660307 
59, UntilNoChange, Descending, Integer, 1000, 6037286 
60, UntilNoChange, Descending, Integer, 1000, 5915938 
61, UntilNoChange, Descending, Integer, 1000, 5997488 
62, UntilNoChange, Descending, Integer, 1000, 6017541 
63, UntilNoChange, Descending, Integer, 1000, 5996714 
64, UntilNoChange, Descending, Integer, 1000, 8431428 
65, UntilNoChange, Descending, Integer, 1000, 8437442 
66, UntilNoChange, Descending, Integer, 1000, 7357292 
67, UntilNoChange, Descending, Integer, 1000, 6418060 
68, UntilNoChange, Descending, Integer, 1000, 5754803 
69, UntilNoChange, Descending, Integer, 1000, 5672161 
70, UntilNoChange, Descending, Integer, 1000, 5672781 
71, UntilNoChange, Descending, Integer, 1000, 5688466 
72, UntilNoChange, Descending, Integer, 1000, 5851598 
73, UntilNoChange, Descending, Integer, 1000, 5906525 
74, UntilNoChange, Descending, Integer, 1000, 5908841 
75, UntilNoChange, Descending, Integer, 1000, 5949443 
76, UntilNoChange, Descending, Integer, 1000, 5675030 
77, UntilNoChange, Descending, Integer, 1000, 5689741 
78, UntilNoChange, Descending, Integer, 1000, 5673418 
79, UntilNoChange, Descending, Integer, 1000, 5554808 
80, UntilNoChange, Descending, Integer, 1000, 5502576 
81, UntilNoChange, Descending, Integer, 1000, 5474449 
82, UntilNoChange, Descending, Integer, 1000, 5383297 
83, UntilNoChange, Descending, Integer, 1000, 5250878 
84, UntilNoChange, Descending, Integer, 1000, 5457208 
85, UntilNoChange, Descending, Integer, 1000, 5449942 
86, UntilNoChange, Descending, Integer, 1000, 5479235 
87, UntilNoChange, Descending, Integer, 1000, 5454114 
88, UntilNoChange, Descending, Integer, 1000, 5749343 
89, UntilNoChange, Descending, Integer, 1000, 5978006 
90, UntilNoChange, Descending, Integer, 1000, 6294069 
91, UntilNoChange, Descending, Integer, 1000, 5986778 
92, UntilNoChange, Descending, Integer, 1000, 6079933 
93, UntilNoChange, Descending, Integer, 1000, 6263938 
94, UntilNoChange, Descending, Integer, 1000, 6892239 
95, UntilNoChange, Descending, Integer, 1000, 6033002 
96, UntilNoChange, Descending, Integer, 1000, 6006229 
97, UntilNoChange, Descending, Integer, 1000, 5974402 
98, UntilNoChange, Descending, Integer, 1000, 6401154 
99, UntilNoChange, Descending, Integer, 1000, 6042060 
100, UntilNoChange, Descending, Integer, 1000, 6335029 
