Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Descending, Double, 1000, 33784057 
2, UntilNoChange, Descending, Double, 1000, 13940555 
3, UntilNoChange, Descending, Double, 1000, 5045523 
4, UntilNoChange, Descending, Double, 1000, 4830101 
5, UntilNoChange, Descending, Double, 1000, 4888519 
6, UntilNoChange, Descending, Double, 1000, 4898502 
7, UntilNoChange, Descending, Double, 1000, 5454513 
8, UntilNoChange, Descending, Double, 1000, 5208530 
9, UntilNoChange, Descending, Double, 1000, 5258364 
10, UntilNoChange, Descending, Double, 1000, 4894934 
11, UntilNoChange, Descending, Double, 1000, 5018682 
12, UntilNoChange, Descending, Double, 1000, 6150428 
13, UntilNoChange, Descending, Double, 1000, 4889025 
14, UntilNoChange, Descending, Double, 1000, 4895273 
15, UntilNoChange, Descending, Double, 1000, 4866946 
16, UntilNoChange, Descending, Double, 1000, 4858613 
17, UntilNoChange, Descending, Double, 1000, 4937890 
18, UntilNoChange, Descending, Double, 1000, 4833923 
19, UntilNoChange, Descending, Double, 1000, 4817558 
20, UntilNoChange, Descending, Double, 1000, 4842087 
21, UntilNoChange, Descending, Double, 1000, 5135002 
22, UntilNoChange, Descending, Double, 1000, 5404175 
23, UntilNoChange, Descending, Double, 1000, 4849184 
24, UntilNoChange, Descending, Double, 1000, 4911280 
25, UntilNoChange, Descending, Double, 1000, 6620786 
26, UntilNoChange, Descending, Double, 1000, 5630523 
27, UntilNoChange, Descending, Double, 1000, 5412616 
28, UntilNoChange, Descending, Double, 1000, 5317016 
29, UntilNoChange, Descending, Double, 1000, 5703603 
30, UntilNoChange, Descending, Double, 1000, 6207666 
31, UntilNoChange, Descending, Double, 1000, 5189084 
32, UntilNoChange, Descending, Double, 1000, 5229493 
33, UntilNoChange, Descending, Double, 1000, 6723139 
34, UntilNoChange, Descending, Double, 1000, 7788412 
35, UntilNoChange, Descending, Double, 1000, 8283633 
36, UntilNoChange, Descending, Double, 1000, 7901772 
37, UntilNoChange, Descending, Double, 1000, 7432543 
38, UntilNoChange, Descending, Double, 1000, 9894518 
39, UntilNoChange, Descending, Double, 1000, 8468214 
40, UntilNoChange, Descending, Double, 1000, 5336293 
41, UntilNoChange, Descending, Double, 1000, 5163945 
42, UntilNoChange, Descending, Double, 1000, 5923670 
43, UntilNoChange, Descending, Double, 1000, 9308457 
44, UntilNoChange, Descending, Double, 1000, 6894172 
45, UntilNoChange, Descending, Double, 1000, 6207845 
46, UntilNoChange, Descending, Double, 1000, 9645109 
47, UntilNoChange, Descending, Double, 1000, 6252066 
48, UntilNoChange, Descending, Double, 1000, 7971724 
49, UntilNoChange, Descending, Double, 1000, 5851797 
50, UntilNoChange, Descending, Double, 1000, 5413532 
51, UntilNoChange, Descending, Double, 1000, 5330130 
52, UntilNoChange, Descending, Double, 1000, 5704336 
53, UntilNoChange, Descending, Double, 1000, 5824559 
54, UntilNoChange, Descending, Double, 1000, 5992637 
55, UntilNoChange, Descending, Double, 1000, 6261508 
56, UntilNoChange, Descending, Double, 1000, 7763979 
57, UntilNoChange, Descending, Double, 1000, 5686965 
58, UntilNoChange, Descending, Double, 1000, 5993113 
59, UntilNoChange, Descending, Double, 1000, 6002653 
60, UntilNoChange, Descending, Double, 1000, 5452108 
61, UntilNoChange, Descending, Double, 1000, 5140434 
62, UntilNoChange, Descending, Double, 1000, 5053574 
63, UntilNoChange, Descending, Double, 1000, 9039461 
64, UntilNoChange, Descending, Double, 1000, 9802952 
65, UntilNoChange, Descending, Double, 1000, 9936209 
66, UntilNoChange, Descending, Double, 1000, 5942000 
67, UntilNoChange, Descending, Double, 1000, 5938954 
68, UntilNoChange, Descending, Double, 1000, 5766145 
69, UntilNoChange, Descending, Double, 1000, 5462892 
70, UntilNoChange, Descending, Double, 1000, 5490693 
71, UntilNoChange, Descending, Double, 1000, 5240318 
72, UntilNoChange, Descending, Double, 1000, 4901109 
73, UntilNoChange, Descending, Double, 1000, 4776677 
74, UntilNoChange, Descending, Double, 1000, 4765282 
75, UntilNoChange, Descending, Double, 1000, 4774999 
76, UntilNoChange, Descending, Double, 1000, 5026764 
77, UntilNoChange, Descending, Double, 1000, 4858332 
78, UntilNoChange, Descending, Double, 1000, 4742167 
79, UntilNoChange, Descending, Double, 1000, 4780115 
80, UntilNoChange, Descending, Double, 1000, 4849384 
81, UntilNoChange, Descending, Double, 1000, 5469532 
82, UntilNoChange, Descending, Double, 1000, 5093170 
83, UntilNoChange, Descending, Double, 1000, 5139156 
84, UntilNoChange, Descending, Double, 1000, 4841536 
85, UntilNoChange, Descending, Double, 1000, 4855551 
86, UntilNoChange, Descending, Double, 1000, 5050300 
87, UntilNoChange, Descending, Double, 1000, 5070987 
88, UntilNoChange, Descending, Double, 1000, 4898089 
89, UntilNoChange, Descending, Double, 1000, 4867522 
90, UntilNoChange, Descending, Double, 1000, 4764433 
91, UntilNoChange, Descending, Double, 1000, 4761067 
92, UntilNoChange, Descending, Double, 1000, 4905389 
93, UntilNoChange, Descending, Double, 1000, 4849454 
94, UntilNoChange, Descending, Double, 1000, 4941914 
95, UntilNoChange, Descending, Double, 1000, 5005748 
96, UntilNoChange, Descending, Double, 1000, 4755533 
97, UntilNoChange, Descending, Double, 1000, 4757483 
98, UntilNoChange, Descending, Double, 1000, 4774527 
99, UntilNoChange, Descending, Double, 1000, 5030701 
100, UntilNoChange, Descending, Double, 1000, 5025835 
