Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Descending, Float, 100, 913445 
2, UntilNoChange, Descending, Float, 100, 823584 
3, UntilNoChange, Descending, Float, 100, 827485 
4, UntilNoChange, Descending, Float, 100, 782987 
5, UntilNoChange, Descending, Float, 100, 793391 
6, UntilNoChange, Descending, Float, 100, 778921 
7, UntilNoChange, Descending, Float, 100, 810122 
8, UntilNoChange, Descending, Float, 100, 196693 
9, UntilNoChange, Descending, Float, 100, 189354 
10, UntilNoChange, Descending, Float, 100, 188600 
11, UntilNoChange, Descending, Float, 100, 207873 
12, UntilNoChange, Descending, Float, 100, 198062 
13, UntilNoChange, Descending, Float, 100, 189109 
14, UntilNoChange, Descending, Float, 100, 188125 
15, UntilNoChange, Descending, Float, 100, 189637 
16, UntilNoChange, Descending, Float, 100, 191738 
17, UntilNoChange, Descending, Float, 100, 215405 
18, UntilNoChange, Descending, Float, 100, 194474 
19, UntilNoChange, Descending, Float, 100, 189416 
20, UntilNoChange, Descending, Float, 100, 191108 
21, UntilNoChange, Descending, Float, 100, 189748 
22, UntilNoChange, Descending, Float, 100, 188643 
23, UntilNoChange, Descending, Float, 100, 191629 
24, UntilNoChange, Descending, Float, 100, 187556 
25, UntilNoChange, Descending, Float, 100, 189050 
26, UntilNoChange, Descending, Float, 100, 189648 
27, UntilNoChange, Descending, Float, 100, 189515 
28, UntilNoChange, Descending, Float, 100, 189022 
29, UntilNoChange, Descending, Float, 100, 191878 
30, UntilNoChange, Descending, Float, 100, 195124 
31, UntilNoChange, Descending, Float, 100, 191749 
32, UntilNoChange, Descending, Float, 100, 192996 
33, UntilNoChange, Descending, Float, 100, 631853 
34, UntilNoChange, Descending, Float, 100, 192109 
35, UntilNoChange, Descending, Float, 100, 187994 
36, UntilNoChange, Descending, Float, 100, 189040 
37, UntilNoChange, Descending, Float, 100, 188293 
38, UntilNoChange, Descending, Float, 100, 191828 
39, UntilNoChange, Descending, Float, 100, 189339 
40, UntilNoChange, Descending, Float, 100, 188412 
41, UntilNoChange, Descending, Float, 100, 193686 
42, UntilNoChange, Descending, Float, 100, 189854 
43, UntilNoChange, Descending, Float, 100, 208532 
44, UntilNoChange, Descending, Float, 100, 863999 
45, UntilNoChange, Descending, Float, 100, 887378 
46, UntilNoChange, Descending, Float, 100, 828132 
47, UntilNoChange, Descending, Float, 100, 816581 
48, UntilNoChange, Descending, Float, 100, 827607 
49, UntilNoChange, Descending, Float, 100, 805897 
50, UntilNoChange, Descending, Float, 100, 802232 
51, UntilNoChange, Descending, Float, 100, 1025887 
52, UntilNoChange, Descending, Float, 100, 1007636 
53, UntilNoChange, Descending, Float, 100, 807406 
54, UntilNoChange, Descending, Float, 100, 810294 
55, UntilNoChange, Descending, Float, 100, 851660 
56, UntilNoChange, Descending, Float, 100, 856579 
57, UntilNoChange, Descending, Float, 100, 801383 
58, UntilNoChange, Descending, Float, 100, 860112 
59, UntilNoChange, Descending, Float, 100, 966336 
60, UntilNoChange, Descending, Float, 100, 915259 
61, UntilNoChange, Descending, Float, 100, 637063 
62, UntilNoChange, Descending, Float, 100, 662733 
63, UntilNoChange, Descending, Float, 100, 51152 
64, UntilNoChange, Descending, Float, 100, 50629 
65, UntilNoChange, Descending, Float, 100, 51091 
66, UntilNoChange, Descending, Float, 100, 50604 
67, UntilNoChange, Descending, Float, 100, 50539 
68, UntilNoChange, Descending, Float, 100, 50728 
69, UntilNoChange, Descending, Float, 100, 51383 
70, UntilNoChange, Descending, Float, 100, 50751 
71, UntilNoChange, Descending, Float, 100, 50681 
72, UntilNoChange, Descending, Float, 100, 50542 
73, UntilNoChange, Descending, Float, 100, 50396 
74, UntilNoChange, Descending, Float, 100, 50602 
75, UntilNoChange, Descending, Float, 100, 50757 
76, UntilNoChange, Descending, Float, 100, 50569 
77, UntilNoChange, Descending, Float, 100, 50493 
78, UntilNoChange, Descending, Float, 100, 50645 
79, UntilNoChange, Descending, Float, 100, 50781 
80, UntilNoChange, Descending, Float, 100, 70114 
81, UntilNoChange, Descending, Float, 100, 53045 
82, UntilNoChange, Descending, Float, 100, 50536 
83, UntilNoChange, Descending, Float, 100, 50547 
84, UntilNoChange, Descending, Float, 100, 50630 
85, UntilNoChange, Descending, Float, 100, 48673 
86, UntilNoChange, Descending, Float, 100, 48523 
87, UntilNoChange, Descending, Float, 100, 48693 
88, UntilNoChange, Descending, Float, 100, 48604 
89, UntilNoChange, Descending, Float, 100, 48782 
90, UntilNoChange, Descending, Float, 100, 48479 
91, UntilNoChange, Descending, Float, 100, 48463 
92, UntilNoChange, Descending, Float, 100, 48612 
93, UntilNoChange, Descending, Float, 100, 48309 
94, UntilNoChange, Descending, Float, 100, 48653 
95, UntilNoChange, Descending, Float, 100, 48479 
96, UntilNoChange, Descending, Float, 100, 48532 
97, UntilNoChange, Descending, Float, 100, 48490 
98, UntilNoChange, Descending, Float, 100, 48544 
99, UntilNoChange, Descending, Float, 100, 48511 
100, UntilNoChange, Descending, Float, 100, 48700 
