Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Descending, Integer, 10000, 413138550 
2, WhileNeeded, Descending, Integer, 10000, 480403878 
3, WhileNeeded, Descending, Integer, 10000, 373225908 
4, WhileNeeded, Descending, Integer, 10000, 330830131 
5, WhileNeeded, Descending, Integer, 10000, 365971474 
6, WhileNeeded, Descending, Integer, 10000, 343295209 
7, WhileNeeded, Descending, Integer, 10000, 309393466 
8, WhileNeeded, Descending, Integer, 10000, 342839606 
9, WhileNeeded, Descending, Integer, 10000, 340353744 
10, WhileNeeded, Descending, Integer, 10000, 291060609 
11, WhileNeeded, Descending, Integer, 10000, 309004117 
12, WhileNeeded, Descending, Integer, 10000, 293595138 
13, WhileNeeded, Descending, Integer, 10000, 290181966 
14, WhileNeeded, Descending, Integer, 10000, 301916104 
15, WhileNeeded, Descending, Integer, 10000, 295473149 
16, WhileNeeded, Descending, Integer, 10000, 314716253 
17, WhileNeeded, Descending, Integer, 10000, 289939887 
18, WhileNeeded, Descending, Integer, 10000, 307189258 
19, WhileNeeded, Descending, Integer, 10000, 309501387 
20, WhileNeeded, Descending, Integer, 10000, 310242898 
21, WhileNeeded, Descending, Integer, 10000, 300637096 
22, WhileNeeded, Descending, Integer, 10000, 341090031 
23, WhileNeeded, Descending, Integer, 10000, 296628407 
24, WhileNeeded, Descending, Integer, 10000, 296760527 
25, WhileNeeded, Descending, Integer, 10000, 289322499 
26, WhileNeeded, Descending, Integer, 10000, 307180935 
27, WhileNeeded, Descending, Integer, 10000, 295413382 
28, WhileNeeded, Descending, Integer, 10000, 294007360 
29, WhileNeeded, Descending, Integer, 10000, 361851807 
30, WhileNeeded, Descending, Integer, 10000, 293765071 
31, WhileNeeded, Descending, Integer, 10000, 320403345 
32, WhileNeeded, Descending, Integer, 10000, 299985239 
33, WhileNeeded, Descending, Integer, 10000, 364771038 
34, WhileNeeded, Descending, Integer, 10000, 291290567 
35, WhileNeeded, Descending, Integer, 10000, 334592912 
36, WhileNeeded, Descending, Integer, 10000, 342226547 
37, WhileNeeded, Descending, Integer, 10000, 290347397 
38, WhileNeeded, Descending, Integer, 10000, 307732788 
39, WhileNeeded, Descending, Integer, 10000, 318161523 
40, WhileNeeded, Descending, Integer, 10000, 296212997 
41, WhileNeeded, Descending, Integer, 10000, 298301834 
42, WhileNeeded, Descending, Integer, 10000, 340486905 
43, WhileNeeded, Descending, Integer, 10000, 308773458 
44, WhileNeeded, Descending, Integer, 10000, 289129480 
45, WhileNeeded, Descending, Integer, 10000, 355507677 
46, WhileNeeded, Descending, Integer, 10000, 310323059 
47, WhileNeeded, Descending, Integer, 10000, 288572423 
48, WhileNeeded, Descending, Integer, 10000, 284533892 
49, WhileNeeded, Descending, Integer, 10000, 332508013 
50, WhileNeeded, Descending, Integer, 10000, 295145301 
51, WhileNeeded, Descending, Integer, 10000, 318683922 
52, WhileNeeded, Descending, Integer, 10000, 349765894 
53, WhileNeeded, Descending, Integer, 10000, 306438585 
54, WhileNeeded, Descending, Integer, 10000, 294683392 
55, WhileNeeded, Descending, Integer, 10000, 348080646 
56, WhileNeeded, Descending, Integer, 10000, 380592757 
57, WhileNeeded, Descending, Integer, 10000, 292561359 
58, WhileNeeded, Descending, Integer, 10000, 298795835 
59, WhileNeeded, Descending, Integer, 10000, 302361184 
60, WhileNeeded, Descending, Integer, 10000, 339769971 
61, WhileNeeded, Descending, Integer, 10000, 286909556 
62, WhileNeeded, Descending, Integer, 10000, 349530792 
63, WhileNeeded, Descending, Integer, 10000, 298648539 
64, WhileNeeded, Descending, Integer, 10000, 309139898 
65, WhileNeeded, Descending, Integer, 10000, 299043107 
66, WhileNeeded, Descending, Integer, 10000, 299604401 
67, WhileNeeded, Descending, Integer, 10000, 300962109 
68, WhileNeeded, Descending, Integer, 10000, 299556801 
69, WhileNeeded, Descending, Integer, 10000, 343045611 
70, WhileNeeded, Descending, Integer, 10000, 359857276 
71, WhileNeeded, Descending, Integer, 10000, 300976968 
72, WhileNeeded, Descending, Integer, 10000, 300583712 
73, WhileNeeded, Descending, Integer, 10000, 285209017 
74, WhileNeeded, Descending, Integer, 10000, 293847443 
75, WhileNeeded, Descending, Integer, 10000, 348711210 
76, WhileNeeded, Descending, Integer, 10000, 287148068 
77, WhileNeeded, Descending, Integer, 10000, 292512723 
78, WhileNeeded, Descending, Integer, 10000, 307884318 
79, WhileNeeded, Descending, Integer, 10000, 288347508 
80, WhileNeeded, Descending, Integer, 10000, 289991195 
81, WhileNeeded, Descending, Integer, 10000, 289148429 
82, WhileNeeded, Descending, Integer, 10000, 347120712 
