Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Descending, Double, 1000, 14041125 
2, WhileNeeded, Descending, Double, 1000, 30881868 
3, WhileNeeded, Descending, Double, 1000, 4734523 
4, WhileNeeded, Descending, Double, 1000, 3357175 
5, WhileNeeded, Descending, Double, 1000, 3352818 
6, WhileNeeded, Descending, Double, 1000, 3425468 
7, WhileNeeded, Descending, Double, 1000, 3485398 
8, WhileNeeded, Descending, Double, 1000, 3510966 
9, WhileNeeded, Descending, Double, 1000, 3565609 
10, WhileNeeded, Descending, Double, 1000, 3453505 
11, WhileNeeded, Descending, Double, 1000, 3637541 
12, WhileNeeded, Descending, Double, 1000, 3555149 
13, WhileNeeded, Descending, Double, 1000, 3453570 
14, WhileNeeded, Descending, Double, 1000, 3467237 
15, WhileNeeded, Descending, Double, 1000, 3589922 
16, WhileNeeded, Descending, Double, 1000, 3540472 
17, WhileNeeded, Descending, Double, 1000, 3412254 
18, WhileNeeded, Descending, Double, 1000, 3453335 
19, WhileNeeded, Descending, Double, 1000, 3347807 
20, WhileNeeded, Descending, Double, 1000, 3342731 
21, WhileNeeded, Descending, Double, 1000, 3553694 
22, WhileNeeded, Descending, Double, 1000, 3653757 
23, WhileNeeded, Descending, Double, 1000, 3506037 
24, WhileNeeded, Descending, Double, 1000, 3580633 
25, WhileNeeded, Descending, Double, 1000, 4812222 
26, WhileNeeded, Descending, Double, 1000, 3993434 
27, WhileNeeded, Descending, Double, 1000, 3846652 
28, WhileNeeded, Descending, Double, 1000, 3743109 
29, WhileNeeded, Descending, Double, 1000, 5451774 
30, WhileNeeded, Descending, Double, 1000, 4206014 
31, WhileNeeded, Descending, Double, 1000, 3655186 
32, WhileNeeded, Descending, Double, 1000, 3729926 
33, WhileNeeded, Descending, Double, 1000, 3998694 
34, WhileNeeded, Descending, Double, 1000, 4940088 
35, WhileNeeded, Descending, Double, 1000, 5109219 
36, WhileNeeded, Descending, Double, 1000, 5482403 
37, WhileNeeded, Descending, Double, 1000, 4080357 
38, WhileNeeded, Descending, Double, 1000, 5978122 
39, WhileNeeded, Descending, Double, 1000, 6554866 
40, WhileNeeded, Descending, Double, 1000, 4946947 
41, WhileNeeded, Descending, Double, 1000, 3506637 
42, WhileNeeded, Descending, Double, 1000, 3534794 
43, WhileNeeded, Descending, Double, 1000, 6642399 
44, WhileNeeded, Descending, Double, 1000, 6924200 
45, WhileNeeded, Descending, Double, 1000, 4355231 
46, WhileNeeded, Descending, Double, 1000, 4192432 
47, WhileNeeded, Descending, Double, 1000, 4073142 
48, WhileNeeded, Descending, Double, 1000, 6756088 
49, WhileNeeded, Descending, Double, 1000, 4257693 
50, WhileNeeded, Descending, Double, 1000, 5439537 
51, WhileNeeded, Descending, Double, 1000, 5128574 
52, WhileNeeded, Descending, Double, 1000, 3837060 
53, WhileNeeded, Descending, Double, 1000, 4002573 
54, WhileNeeded, Descending, Double, 1000, 4201555 
55, WhileNeeded, Descending, Double, 1000, 4348305 
56, WhileNeeded, Descending, Double, 1000, 4499836 
57, WhileNeeded, Descending, Double, 1000, 4167427 
58, WhileNeeded, Descending, Double, 1000, 4494542 
59, WhileNeeded, Descending, Double, 1000, 4150445 
60, WhileNeeded, Descending, Double, 1000, 3819520 
61, WhileNeeded, Descending, Double, 1000, 3626763 
62, WhileNeeded, Descending, Double, 1000, 3581254 
63, WhileNeeded, Descending, Double, 1000, 5982569 
64, WhileNeeded, Descending, Double, 1000, 7037767 
65, WhileNeeded, Descending, Double, 1000, 5229854 
66, WhileNeeded, Descending, Double, 1000, 5085849 
67, WhileNeeded, Descending, Double, 1000, 4210471 
68, WhileNeeded, Descending, Double, 1000, 3813218 
69, WhileNeeded, Descending, Double, 1000, 3635309 
70, WhileNeeded, Descending, Double, 1000, 3602664 
71, WhileNeeded, Descending, Double, 1000, 3575290 
72, WhileNeeded, Descending, Double, 1000, 3484636 
73, WhileNeeded, Descending, Double, 1000, 3389200 
74, WhileNeeded, Descending, Double, 1000, 3383291 
75, WhileNeeded, Descending, Double, 1000, 3367753 
76, WhileNeeded, Descending, Double, 1000, 3344260 
77, WhileNeeded, Descending, Double, 1000, 3449082 
78, WhileNeeded, Descending, Double, 1000, 3474233 
79, WhileNeeded, Descending, Double, 1000, 3362899 
80, WhileNeeded, Descending, Double, 1000, 4815049 
81, WhileNeeded, Descending, Double, 1000, 3525530 
82, WhileNeeded, Descending, Double, 1000, 3477052 
83, WhileNeeded, Descending, Double, 1000, 3550497 
84, WhileNeeded, Descending, Double, 1000, 3534447 
85, WhileNeeded, Descending, Double, 1000, 3498772 
86, WhileNeeded, Descending, Double, 1000, 3376010 
87, WhileNeeded, Descending, Double, 1000, 3339514 
88, WhileNeeded, Descending, Double, 1000, 3345267 
89, WhileNeeded, Descending, Double, 1000, 3371738 
90, WhileNeeded, Descending, Double, 1000, 3419693 
91, WhileNeeded, Descending, Double, 1000, 3340014 
92, WhileNeeded, Descending, Double, 1000, 3336323 
93, WhileNeeded, Descending, Double, 1000, 3352140 
94, WhileNeeded, Descending, Double, 1000, 3757603 
95, WhileNeeded, Descending, Double, 1000, 3529865 
96, WhileNeeded, Descending, Double, 1000, 3448805 
97, WhileNeeded, Descending, Double, 1000, 3353558 
98, WhileNeeded, Descending, Double, 1000, 3332806 
99, WhileNeeded, Descending, Double, 1000, 3418479 
100, WhileNeeded, Descending, Double, 1000, 3461864 
