Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Descending, Float, 10000, 486547173 
2, WhileNeeded, Descending, Float, 10000, 494897738 
3, WhileNeeded, Descending, Float, 10000, 409143809 
4, WhileNeeded, Descending, Float, 10000, 412112679 
5, WhileNeeded, Descending, Float, 10000, 405649703 
6, WhileNeeded, Descending, Float, 10000, 399436705 
7, WhileNeeded, Descending, Float, 10000, 480657033 
8, WhileNeeded, Descending, Float, 10000, 501287451 
9, WhileNeeded, Descending, Float, 10000, 423303603 
10, WhileNeeded, Descending, Float, 10000, 357011850 
11, WhileNeeded, Descending, Float, 10000, 372312772 
12, WhileNeeded, Descending, Float, 10000, 420203144 
13, WhileNeeded, Descending, Float, 10000, 365839533 
14, WhileNeeded, Descending, Float, 10000, 367709128 
15, WhileNeeded, Descending, Float, 10000, 396404977 
16, WhileNeeded, Descending, Float, 10000, 313737935 
17, WhileNeeded, Descending, Float, 10000, 443070884 
18, WhileNeeded, Descending, Float, 10000, 397182805 
19, WhileNeeded, Descending, Float, 10000, 391893777 
20, WhileNeeded, Descending, Float, 10000, 328214687 
21, WhileNeeded, Descending, Float, 10000, 436894844 
22, WhileNeeded, Descending, Float, 10000, 315188055 
23, WhileNeeded, Descending, Float, 10000, 297522705 
24, WhileNeeded, Descending, Float, 10000, 302051438 
25, WhileNeeded, Descending, Float, 10000, 288650198 
26, WhileNeeded, Descending, Float, 10000, 323033587 
27, WhileNeeded, Descending, Float, 10000, 334193724 
28, WhileNeeded, Descending, Float, 10000, 326197774 
29, WhileNeeded, Descending, Float, 10000, 289786425 
30, WhileNeeded, Descending, Float, 10000, 311453842 
31, WhileNeeded, Descending, Float, 10000, 297630917 
32, WhileNeeded, Descending, Float, 10000, 311025860 
33, WhileNeeded, Descending, Float, 10000, 365497383 
34, WhileNeeded, Descending, Float, 10000, 392673580 
35, WhileNeeded, Descending, Float, 10000, 328607079 
36, WhileNeeded, Descending, Float, 10000, 293396314 
37, WhileNeeded, Descending, Float, 10000, 300800381 
38, WhileNeeded, Descending, Float, 10000, 282153117 
39, WhileNeeded, Descending, Float, 10000, 354859326 
40, WhileNeeded, Descending, Float, 10000, 387008313 
41, WhileNeeded, Descending, Float, 10000, 288087227 
42, WhileNeeded, Descending, Float, 10000, 274347213 
43, WhileNeeded, Descending, Float, 10000, 281925225 
44, WhileNeeded, Descending, Float, 10000, 318559782 
45, WhileNeeded, Descending, Float, 10000, 297889622 
46, WhileNeeded, Descending, Float, 10000, 464604669 
47, WhileNeeded, Descending, Float, 10000, 294306807 
48, WhileNeeded, Descending, Float, 10000, 313816774 
49, WhileNeeded, Descending, Float, 10000, 301815332 
50, WhileNeeded, Descending, Float, 10000, 302881496 
51, WhileNeeded, Descending, Float, 10000, 342381299 
52, WhileNeeded, Descending, Float, 10000, 431801801 
53, WhileNeeded, Descending, Float, 10000, 303823749 
54, WhileNeeded, Descending, Float, 10000, 320611432 
55, WhileNeeded, Descending, Float, 10000, 289557637 
56, WhileNeeded, Descending, Float, 10000, 298413181 
57, WhileNeeded, Descending, Float, 10000, 286163491 
58, WhileNeeded, Descending, Float, 10000, 355457536 
59, WhileNeeded, Descending, Float, 10000, 300509904 
60, WhileNeeded, Descending, Float, 10000, 283135537 
61, WhileNeeded, Descending, Float, 10000, 277244474 
62, WhileNeeded, Descending, Float, 10000, 293050048 
63, WhileNeeded, Descending, Float, 10000, 300145387 
64, WhileNeeded, Descending, Float, 10000, 384927204 
65, WhileNeeded, Descending, Float, 10000, 323538297 
66, WhileNeeded, Descending, Float, 10000, 388218900 
67, WhileNeeded, Descending, Float, 10000, 283591016 
68, WhileNeeded, Descending, Float, 10000, 326628423 
69, WhileNeeded, Descending, Float, 10000, 344354708 
70, WhileNeeded, Descending, Float, 10000, 300239737 
71, WhileNeeded, Descending, Float, 10000, 379163542 
72, WhileNeeded, Descending, Float, 10000, 282512752 
73, WhileNeeded, Descending, Float, 10000, 307035099 
74, WhileNeeded, Descending, Float, 10000, 302833686 
75, WhileNeeded, Descending, Float, 10000, 296078850 
76, WhileNeeded, Descending, Float, 10000, 327121368 
77, WhileNeeded, Descending, Float, 10000, 529622026 
78, WhileNeeded, Descending, Float, 10000, 302844692 
79, WhileNeeded, Descending, Float, 10000, 319355103 
80, WhileNeeded, Descending, Float, 10000, 344885961 
81, WhileNeeded, Descending, Float, 10000, 290846154 
82, WhileNeeded, Descending, Float, 10000, 290160229 
83, WhileNeeded, Descending, Float, 10000, 356580360 
84, WhileNeeded, Descending, Float, 10000, 304383115 
85, WhileNeeded, Descending, Float, 10000, 304793796 
86, WhileNeeded, Descending, Float, 10000, 293116508 
87, WhileNeeded, Descending, Float, 10000, 332573380 
88, WhileNeeded, Descending, Float, 10000, 291013320 
89, WhileNeeded, Descending, Float, 10000, 392588864 
90, WhileNeeded, Descending, Float, 10000, 308827298 
91, WhileNeeded, Descending, Float, 10000, 339746070 
92, WhileNeeded, Descending, Float, 10000, 292575144 
93, WhileNeeded, Descending, Float, 10000, 279189381 
94, WhileNeeded, Descending, Float, 10000, 290983993 
95, WhileNeeded, Descending, Float, 10000, 342011767 
96, WhileNeeded, Descending, Float, 10000, 387739249 
97, WhileNeeded, Descending, Float, 10000, 300486213 
98, WhileNeeded, Descending, Float, 10000, 289654707 
99, WhileNeeded, Descending, Float, 10000, 294622913 
100, WhileNeeded, Descending, Float, 10000, 290937617 
