Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Random, Integer, 1000, 34347531 
2, UntilNoChange, Random, Integer, 1000, 14361749 
3, UntilNoChange, Random, Integer, 1000, 7634040 
4, UntilNoChange, Random, Integer, 1000, 7198788 
5, UntilNoChange, Random, Integer, 1000, 7654734 
6, UntilNoChange, Random, Integer, 1000, 7794879 
7, UntilNoChange, Random, Integer, 1000, 8113311 
8, UntilNoChange, Random, Integer, 1000, 8242955 
9, UntilNoChange, Random, Integer, 1000, 8234225 
10, UntilNoChange, Random, Integer, 1000, 7861304 
11, UntilNoChange, Random, Integer, 1000, 7687584 
12, UntilNoChange, Random, Integer, 1000, 7801284 
13, UntilNoChange, Random, Integer, 1000, 7535303 
14, UntilNoChange, Random, Integer, 1000, 7960643 
15, UntilNoChange, Random, Integer, 1000, 7746237 
16, UntilNoChange, Random, Integer, 1000, 7873159 
17, UntilNoChange, Random, Integer, 1000, 7745389 
18, UntilNoChange, Random, Integer, 1000, 7783764 
19, UntilNoChange, Random, Integer, 1000, 7890630 
20, UntilNoChange, Random, Integer, 1000, 7791542 
21, UntilNoChange, Random, Integer, 1000, 7879347 
22, UntilNoChange, Random, Integer, 1000, 7629546 
23, UntilNoChange, Random, Integer, 1000, 7693100 
24, UntilNoChange, Random, Integer, 1000, 7667569 
25, UntilNoChange, Random, Integer, 1000, 7813675 
26, UntilNoChange, Random, Integer, 1000, 8142409 
27, UntilNoChange, Random, Integer, 1000, 8313351 
28, UntilNoChange, Random, Integer, 1000, 8611949 
29, UntilNoChange, Random, Integer, 1000, 8184445 
30, UntilNoChange, Random, Integer, 1000, 7863243 
31, UntilNoChange, Random, Integer, 1000, 7938938 
32, UntilNoChange, Random, Integer, 1000, 7954855 
33, UntilNoChange, Random, Integer, 1000, 7901158 
34, UntilNoChange, Random, Integer, 1000, 7867393 
35, UntilNoChange, Random, Integer, 1000, 7970965 
36, UntilNoChange, Random, Integer, 1000, 9062214 
37, UntilNoChange, Random, Integer, 1000, 10688859 
38, UntilNoChange, Random, Integer, 1000, 9087825 
39, UntilNoChange, Random, Integer, 1000, 9684533 
40, UntilNoChange, Random, Integer, 1000, 8389440 
41, UntilNoChange, Random, Integer, 1000, 9108637 
42, UntilNoChange, Random, Integer, 1000, 8464314 
43, UntilNoChange, Random, Integer, 1000, 8243660 
44, UntilNoChange, Random, Integer, 1000, 8568254 
45, UntilNoChange, Random, Integer, 1000, 7848396 
46, UntilNoChange, Random, Integer, 1000, 7945125 
47, UntilNoChange, Random, Integer, 1000, 8364315 
48, UntilNoChange, Random, Integer, 1000, 8562391 
49, UntilNoChange, Random, Integer, 1000, 8744511 
50, UntilNoChange, Random, Integer, 1000, 9678528 
51, UntilNoChange, Random, Integer, 1000, 9896909 
52, UntilNoChange, Random, Integer, 1000, 8809994 
53, UntilNoChange, Random, Integer, 1000, 9199924 
54, UntilNoChange, Random, Integer, 1000, 8269963 
55, UntilNoChange, Random, Integer, 1000, 8632276 
56, UntilNoChange, Random, Integer, 1000, 8469850 
57, UntilNoChange, Random, Integer, 1000, 8212268 
58, UntilNoChange, Random, Integer, 1000, 8084054 
59, UntilNoChange, Random, Integer, 1000, 8586017 
60, UntilNoChange, Random, Integer, 1000, 10316903 
61, UntilNoChange, Random, Integer, 1000, 12588844 
62, UntilNoChange, Random, Integer, 1000, 11728915 
63, UntilNoChange, Random, Integer, 1000, 8693520 
64, UntilNoChange, Random, Integer, 1000, 8544361 
65, UntilNoChange, Random, Integer, 1000, 7764508 
66, UntilNoChange, Random, Integer, 1000, 7998178 
67, UntilNoChange, Random, Integer, 1000, 8881305 
68, UntilNoChange, Random, Integer, 1000, 7808904 
69, UntilNoChange, Random, Integer, 1000, 7557550 
70, UntilNoChange, Random, Integer, 1000, 7992986 
71, UntilNoChange, Random, Integer, 1000, 7456632 
72, UntilNoChange, Random, Integer, 1000, 8122420 
73, UntilNoChange, Random, Integer, 1000, 7616583 
74, UntilNoChange, Random, Integer, 1000, 7653348 
75, UntilNoChange, Random, Integer, 1000, 7921248 
76, UntilNoChange, Random, Integer, 1000, 7713847 
77, UntilNoChange, Random, Integer, 1000, 7961081 
78, UntilNoChange, Random, Integer, 1000, 7951500 
79, UntilNoChange, Random, Integer, 1000, 7763022 
80, UntilNoChange, Random, Integer, 1000, 7951993 
81, UntilNoChange, Random, Integer, 1000, 7841429 
82, UntilNoChange, Random, Integer, 1000, 7623585 
83, UntilNoChange, Random, Integer, 1000, 7767702 
84, UntilNoChange, Random, Integer, 1000, 7543976 
85, UntilNoChange, Random, Integer, 1000, 7357739 
86, UntilNoChange, Random, Integer, 1000, 11278229 
87, UntilNoChange, Random, Integer, 1000, 11322111 
88, UntilNoChange, Random, Integer, 1000, 7620503 
89, UntilNoChange, Random, Integer, 1000, 7685395 
90, UntilNoChange, Random, Integer, 1000, 8256147 
91, UntilNoChange, Random, Integer, 1000, 7448271 
92, UntilNoChange, Random, Integer, 1000, 7710473 
93, UntilNoChange, Random, Integer, 1000, 7930473 
94, UntilNoChange, Random, Integer, 1000, 7846658 
95, UntilNoChange, Random, Integer, 1000, 7371556 
96, UntilNoChange, Random, Integer, 1000, 7592117 
97, UntilNoChange, Random, Integer, 1000, 8049541 
98, UntilNoChange, Random, Integer, 1000, 7884286 
99, UntilNoChange, Random, Integer, 1000, 7826673 
100, UntilNoChange, Random, Integer, 1000, 7669058 
