Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Random, Double, 100, 723797 
2, UntilNoChange, Random, Double, 100, 644048 
3, UntilNoChange, Random, Double, 100, 666437 
4, UntilNoChange, Random, Double, 100, 565963 
5, UntilNoChange, Random, Double, 100, 602055 
6, UntilNoChange, Random, Double, 100, 677649 
7, UntilNoChange, Random, Double, 100, 852241 
8, UntilNoChange, Random, Double, 100, 247369 
9, UntilNoChange, Random, Double, 100, 179247 
10, UntilNoChange, Random, Double, 100, 167423 
11, UntilNoChange, Random, Double, 100, 168922 
12, UntilNoChange, Random, Double, 100, 217287 
13, UntilNoChange, Random, Double, 100, 196141 
14, UntilNoChange, Random, Double, 100, 278663 
15, UntilNoChange, Random, Double, 100, 145361 
16, UntilNoChange, Random, Double, 100, 152513 
17, UntilNoChange, Random, Double, 100, 155758 
18, UntilNoChange, Random, Double, 100, 174179 
19, UntilNoChange, Random, Double, 100, 157909 
20, UntilNoChange, Random, Double, 100, 169297 
21, UntilNoChange, Random, Double, 100, 157156 
22, UntilNoChange, Random, Double, 100, 157444 
23, UntilNoChange, Random, Double, 100, 165951 
24, UntilNoChange, Random, Double, 100, 171999 
25, UntilNoChange, Random, Double, 100, 156345 
26, UntilNoChange, Random, Double, 100, 174045 
27, UntilNoChange, Random, Double, 100, 157803 
28, UntilNoChange, Random, Double, 100, 157903 
29, UntilNoChange, Random, Double, 100, 160076 
30, UntilNoChange, Random, Double, 100, 156206 
31, UntilNoChange, Random, Double, 100, 157747 
32, UntilNoChange, Random, Double, 100, 158068 
33, UntilNoChange, Random, Double, 100, 170468 
34, UntilNoChange, Random, Double, 100, 149558 
35, UntilNoChange, Random, Double, 100, 152652 
36, UntilNoChange, Random, Double, 100, 162225 
37, UntilNoChange, Random, Double, 100, 181015 
38, UntilNoChange, Random, Double, 100, 131822 
39, UntilNoChange, Random, Double, 100, 143089 
40, UntilNoChange, Random, Double, 100, 121025 
41, UntilNoChange, Random, Double, 100, 662923 
42, UntilNoChange, Random, Double, 100, 223572 
43, UntilNoChange, Random, Double, 100, 243421 
44, UntilNoChange, Random, Double, 100, 134001 
45, UntilNoChange, Random, Double, 100, 231998 
46, UntilNoChange, Random, Double, 100, 136590 
47, UntilNoChange, Random, Double, 100, 134849 
48, UntilNoChange, Random, Double, 100, 128691 
49, UntilNoChange, Random, Double, 100, 128321 
50, UntilNoChange, Random, Double, 100, 128927 
51, UntilNoChange, Random, Double, 100, 147875 
52, UntilNoChange, Random, Double, 100, 130795 
53, UntilNoChange, Random, Double, 100, 120133 
54, UntilNoChange, Random, Double, 100, 120598 
55, UntilNoChange, Random, Double, 100, 145406 
56, UntilNoChange, Random, Double, 100, 114396 
57, UntilNoChange, Random, Double, 100, 134421 
58, UntilNoChange, Random, Double, 100, 111689 
59, UntilNoChange, Random, Double, 100, 193355 
60, UntilNoChange, Random, Double, 100, 141261 
61, UntilNoChange, Random, Double, 100, 156768 
62, UntilNoChange, Random, Double, 100, 573229 
63, UntilNoChange, Random, Double, 100, 562201 
64, UntilNoChange, Random, Double, 100, 700852 
65, UntilNoChange, Random, Double, 100, 523012 
66, UntilNoChange, Random, Double, 100, 571880 
67, UntilNoChange, Random, Double, 100, 597161 
68, UntilNoChange, Random, Double, 100, 648765 
69, UntilNoChange, Random, Double, 100, 601121 
70, UntilNoChange, Random, Double, 100, 544513 
71, UntilNoChange, Random, Double, 100, 574296 
72, UntilNoChange, Random, Double, 100, 722802 
73, UntilNoChange, Random, Double, 100, 894724 
74, UntilNoChange, Random, Double, 100, 1845831 
75, UntilNoChange, Random, Double, 100, 1052501 
76, UntilNoChange, Random, Double, 100, 856337 
77, UntilNoChange, Random, Double, 100, 60494 
78, UntilNoChange, Random, Double, 100, 85020 
79, UntilNoChange, Random, Double, 100, 97912 
80, UntilNoChange, Random, Double, 100, 89921 
81, UntilNoChange, Random, Double, 100, 86649 
82, UntilNoChange, Random, Double, 100, 94483 
83, UntilNoChange, Random, Double, 100, 98054 
84, UntilNoChange, Random, Double, 100, 96835 
85, UntilNoChange, Random, Double, 100, 89514 
86, UntilNoChange, Random, Double, 100, 99120 
87, UntilNoChange, Random, Double, 100, 80207 
88, UntilNoChange, Random, Double, 100, 87580 
89, UntilNoChange, Random, Double, 100, 86191 
90, UntilNoChange, Random, Double, 100, 85814 
91, UntilNoChange, Random, Double, 100, 83881 
92, UntilNoChange, Random, Double, 100, 88910 
93, UntilNoChange, Random, Double, 100, 89179 
94, UntilNoChange, Random, Double, 100, 80165 
95, UntilNoChange, Random, Double, 100, 85928 
96, UntilNoChange, Random, Double, 100, 90464 
97, UntilNoChange, Random, Double, 100, 97346 
98, UntilNoChange, Random, Double, 100, 88216 
99, UntilNoChange, Random, Double, 100, 94454 
100, UntilNoChange, Random, Double, 100, 78926 
