Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Random, Float, 10000, 759151734 
2, UntilNoChange, Random, Float, 10000, 693422786 
3, UntilNoChange, Random, Float, 10000, 746554585 
4, UntilNoChange, Random, Float, 10000, 589098054 
5, UntilNoChange, Random, Float, 10000, 595426046 
6, UntilNoChange, Random, Float, 10000, 568515879 
7, UntilNoChange, Random, Float, 10000, 501897373 
8, UntilNoChange, Random, Float, 10000, 490952004 
9, UntilNoChange, Random, Float, 10000, 489192723 
10, UntilNoChange, Random, Float, 10000, 519540272 
11, UntilNoChange, Random, Float, 10000, 515715149 
12, UntilNoChange, Random, Float, 10000, 657249146 
13, UntilNoChange, Random, Float, 10000, 599955224 
14, UntilNoChange, Random, Float, 10000, 821121952 
15, UntilNoChange, Random, Float, 10000, 690534887 
16, UntilNoChange, Random, Float, 10000, 631686547 
17, UntilNoChange, Random, Float, 10000, 579679068 
18, UntilNoChange, Random, Float, 10000, 635863255 
19, UntilNoChange, Random, Float, 10000, 576220372 
20, UntilNoChange, Random, Float, 10000, 640488520 
21, UntilNoChange, Random, Float, 10000, 608373427 
22, UntilNoChange, Random, Float, 10000, 567193017 
23, UntilNoChange, Random, Float, 10000, 565163615 
24, UntilNoChange, Random, Float, 10000, 578114408 
25, UntilNoChange, Random, Float, 10000, 721278608 
26, UntilNoChange, Random, Float, 10000, 827747996 
27, UntilNoChange, Random, Float, 10000, 580145183 
28, UntilNoChange, Random, Float, 10000, 586017693 
29, UntilNoChange, Random, Float, 10000, 574600647 
30, UntilNoChange, Random, Float, 10000, 646345890 
31, UntilNoChange, Random, Float, 10000, 553823196 
32, UntilNoChange, Random, Float, 10000, 588581538 
33, UntilNoChange, Random, Float, 10000, 524372195 
34, UntilNoChange, Random, Float, 10000, 495849779 
35, UntilNoChange, Random, Float, 10000, 519555438 
36, UntilNoChange, Random, Float, 10000, 489480831 
37, UntilNoChange, Random, Float, 10000, 541070962 
38, UntilNoChange, Random, Float, 10000, 480990388 
39, UntilNoChange, Random, Float, 10000, 511321747 
40, UntilNoChange, Random, Float, 10000, 494933534 
41, UntilNoChange, Random, Float, 10000, 474738885 
42, UntilNoChange, Random, Float, 10000, 541434018 
43, UntilNoChange, Random, Float, 10000, 498918012 
44, UntilNoChange, Random, Float, 10000, 492811082 
45, UntilNoChange, Random, Float, 10000, 472873579 
46, UntilNoChange, Random, Float, 10000, 521897278 
47, UntilNoChange, Random, Float, 10000, 550272912 
48, UntilNoChange, Random, Float, 10000, 507441583 
49, UntilNoChange, Random, Float, 10000, 475600667 
50, UntilNoChange, Random, Float, 10000, 486910592 
51, UntilNoChange, Random, Float, 10000, 512699399 
52, UntilNoChange, Random, Float, 10000, 498206963 
53, UntilNoChange, Random, Float, 10000, 478442197 
54, UntilNoChange, Random, Float, 10000, 501261975 
55, UntilNoChange, Random, Float, 10000, 473258261 
56, UntilNoChange, Random, Float, 10000, 467781546 
57, UntilNoChange, Random, Float, 10000, 492746980 
58, UntilNoChange, Random, Float, 10000, 484530613 
59, UntilNoChange, Random, Float, 10000, 476842903 
60, UntilNoChange, Random, Float, 10000, 485526203 
61, UntilNoChange, Random, Float, 10000, 487171334 
62, UntilNoChange, Random, Float, 10000, 612196888 
63, UntilNoChange, Random, Float, 10000, 473023005 
64, UntilNoChange, Random, Float, 10000, 474183562 
65, UntilNoChange, Random, Float, 10000, 480664003 
66, UntilNoChange, Random, Float, 10000, 615070788 
67, UntilNoChange, Random, Float, 10000, 566499546 
68, UntilNoChange, Random, Float, 10000, 542185197 
69, UntilNoChange, Random, Float, 10000, 718871573 
70, UntilNoChange, Random, Float, 10000, 580184525 
71, UntilNoChange, Random, Float, 10000, 525348980 
72, UntilNoChange, Random, Float, 10000, 581908458 
73, UntilNoChange, Random, Float, 10000, 610042007 
74, UntilNoChange, Random, Float, 10000, 587610730 
75, UntilNoChange, Random, Float, 10000, 536910362 
76, UntilNoChange, Random, Float, 10000, 580731544 
77, UntilNoChange, Random, Float, 10000, 502894192 
78, UntilNoChange, Random, Float, 10000, 583308053 
79, UntilNoChange, Random, Float, 10000, 503457142 
80, UntilNoChange, Random, Float, 10000, 494543132 
81, UntilNoChange, Random, Float, 10000, 504015218 
82, UntilNoChange, Random, Float, 10000, 544587125 
83, UntilNoChange, Random, Float, 10000, 543417199 
84, UntilNoChange, Random, Float, 10000, 554731769 
85, UntilNoChange, Random, Float, 10000, 561696805 
86, UntilNoChange, Random, Float, 10000, 574219232 
87, UntilNoChange, Random, Float, 10000, 562660653 
88, UntilNoChange, Random, Float, 10000, 557361544 
89, UntilNoChange, Random, Float, 10000, 602732319 
90, UntilNoChange, Random, Float, 10000, 474490975 
91, UntilNoChange, Random, Float, 10000, 541131850 
92, UntilNoChange, Random, Float, 10000, 490652873 
93, UntilNoChange, Random, Float, 10000, 511717108 
94, UntilNoChange, Random, Float, 10000, 480036800 
95, UntilNoChange, Random, Float, 10000, 475934710 
96, UntilNoChange, Random, Float, 10000, 508060183 
97, UntilNoChange, Random, Float, 10000, 494892003 
98, UntilNoChange, Random, Float, 10000, 477623367 
99, UntilNoChange, Random, Float, 10000, 506513687 
100, UntilNoChange, Random, Float, 10000, 491074780 
