Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Random, Integer, 10000, 601496316 
2, WhileNeeded, Random, Integer, 10000, 564105812 
3, WhileNeeded, Random, Integer, 10000, 560108896 
4, WhileNeeded, Random, Integer, 10000, 466866380 
5, WhileNeeded, Random, Integer, 10000, 468072846 
6, WhileNeeded, Random, Integer, 10000, 455173858 
7, WhileNeeded, Random, Integer, 10000, 459533969 
8, WhileNeeded, Random, Integer, 10000, 454907643 
9, WhileNeeded, Random, Integer, 10000, 452030207 
10, WhileNeeded, Random, Integer, 10000, 452193816 
11, WhileNeeded, Random, Integer, 10000, 538526052 
12, WhileNeeded, Random, Integer, 10000, 461599493 
13, WhileNeeded, Random, Integer, 10000, 489393321 
14, WhileNeeded, Random, Integer, 10000, 453436534 
15, WhileNeeded, Random, Integer, 10000, 453973356 
16, WhileNeeded, Random, Integer, 10000, 457046545 
17, WhileNeeded, Random, Integer, 10000, 460968385 
18, WhileNeeded, Random, Integer, 10000, 457426601 
19, WhileNeeded, Random, Integer, 10000, 503177951 
20, WhileNeeded, Random, Integer, 10000, 473837844 
21, WhileNeeded, Random, Integer, 10000, 450390421 
22, WhileNeeded, Random, Integer, 10000, 479854823 
23, WhileNeeded, Random, Integer, 10000, 452309368 
24, WhileNeeded, Random, Integer, 10000, 448961020 
25, WhileNeeded, Random, Integer, 10000, 457697169 
26, WhileNeeded, Random, Integer, 10000, 545118121 
27, WhileNeeded, Random, Integer, 10000, 538757215 
28, WhileNeeded, Random, Integer, 10000, 540798272 
29, WhileNeeded, Random, Integer, 10000, 458109168 
30, WhileNeeded, Random, Integer, 10000, 472642966 
31, WhileNeeded, Random, Integer, 10000, 454783854 
32, WhileNeeded, Random, Integer, 10000, 451883804 
33, WhileNeeded, Random, Integer, 10000, 504541832 
34, WhileNeeded, Random, Integer, 10000, 461701392 
35, WhileNeeded, Random, Integer, 10000, 526492450 
36, WhileNeeded, Random, Integer, 10000, 463433879 
37, WhileNeeded, Random, Integer, 10000, 457896506 
38, WhileNeeded, Random, Integer, 10000, 460690991 
39, WhileNeeded, Random, Integer, 10000, 453306134 
40, WhileNeeded, Random, Integer, 10000, 456997907 
41, WhileNeeded, Random, Integer, 10000, 459676855 
42, WhileNeeded, Random, Integer, 10000, 451961466 
43, WhileNeeded, Random, Integer, 10000, 524093747 
44, WhileNeeded, Random, Integer, 10000, 450295624 
45, WhileNeeded, Random, Integer, 10000, 448025533 
46, WhileNeeded, Random, Integer, 10000, 468678171 
47, WhileNeeded, Random, Integer, 10000, 450066241 
48, WhileNeeded, Random, Integer, 10000, 464926754 
49, WhileNeeded, Random, Integer, 10000, 456989609 
50, WhileNeeded, Random, Integer, 10000, 475350305 
51, WhileNeeded, Random, Integer, 10000, 520912406 
52, WhileNeeded, Random, Integer, 10000, 502507085 
53, WhileNeeded, Random, Integer, 10000, 484589461 
54, WhileNeeded, Random, Integer, 10000, 457038904 
55, WhileNeeded, Random, Integer, 10000, 458633252 
56, WhileNeeded, Random, Integer, 10000, 502424631 
57, WhileNeeded, Random, Integer, 10000, 477975961 
58, WhileNeeded, Random, Integer, 10000, 475651288 
59, WhileNeeded, Random, Integer, 10000, 514416981 
60, WhileNeeded, Random, Integer, 10000, 451911973 
61, WhileNeeded, Random, Integer, 10000, 466081383 
62, WhileNeeded, Random, Integer, 10000, 447615005 
63, WhileNeeded, Random, Integer, 10000, 448594559 
64, WhileNeeded, Random, Integer, 10000, 449927528 
65, WhileNeeded, Random, Integer, 10000, 451558819 
66, WhileNeeded, Random, Integer, 10000, 445937024 
67, WhileNeeded, Random, Integer, 10000, 472654514 
68, WhileNeeded, Random, Integer, 10000, 445533943 
69, WhileNeeded, Random, Integer, 10000, 443394432 
70, WhileNeeded, Random, Integer, 10000, 503533076 
71, WhileNeeded, Random, Integer, 10000, 457947954 
72, WhileNeeded, Random, Integer, 10000, 452024772 
73, WhileNeeded, Random, Integer, 10000, 461239730 
74, WhileNeeded, Random, Integer, 10000, 448975147 
75, WhileNeeded, Random, Integer, 10000, 464880383 
76, WhileNeeded, Random, Integer, 10000, 455247317 
77, WhileNeeded, Random, Integer, 10000, 512958257 
78, WhileNeeded, Random, Integer, 10000, 448526903 
79, WhileNeeded, Random, Integer, 10000, 451292497 
80, WhileNeeded, Random, Integer, 10000, 453250717 
81, WhileNeeded, Random, Integer, 10000, 495659899 
82, WhileNeeded, Random, Integer, 10000, 520012547 
83, WhileNeeded, Random, Integer, 10000, 452983240 
84, WhileNeeded, Random, Integer, 10000, 450288249 
85, WhileNeeded, Random, Integer, 10000, 470911351 
86, WhileNeeded, Random, Integer, 10000, 467047690 
87, WhileNeeded, Random, Integer, 10000, 542259482 
88, WhileNeeded, Random, Integer, 10000, 459091765 
89, WhileNeeded, Random, Integer, 10000, 500172971 
90, WhileNeeded, Random, Integer, 10000, 467011083 
91, WhileNeeded, Random, Integer, 10000, 469095010 
92, WhileNeeded, Random, Integer, 10000, 469434160 
93, WhileNeeded, Random, Integer, 10000, 459158746 
94, WhileNeeded, Random, Integer, 10000, 458210973 
95, WhileNeeded, Random, Integer, 10000, 504131412 
96, WhileNeeded, Random, Integer, 10000, 463999900 
97, WhileNeeded, Random, Integer, 10000, 525043972 
98, WhileNeeded, Random, Integer, 10000, 471182185 
99, WhileNeeded, Random, Integer, 10000, 512684192 
100, WhileNeeded, Random, Integer, 10000, 459717515 
