Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Random, Double, 10000, 567995850 
2, WhileNeeded, Random, Double, 10000, 491581599 
3, WhileNeeded, Random, Double, 10000, 402130802 
4, WhileNeeded, Random, Double, 10000, 455343753 
5, WhileNeeded, Random, Double, 10000, 434956031 
6, WhileNeeded, Random, Double, 10000, 413282103 
7, WhileNeeded, Random, Double, 10000, 417554120 
8, WhileNeeded, Random, Double, 10000, 488440648 
9, WhileNeeded, Random, Double, 10000, 427206737 
10, WhileNeeded, Random, Double, 10000, 419124760 
11, WhileNeeded, Random, Double, 10000, 379491057 
12, WhileNeeded, Random, Double, 10000, 377516408 
13, WhileNeeded, Random, Double, 10000, 362920611 
14, WhileNeeded, Random, Double, 10000, 427694995 
15, WhileNeeded, Random, Double, 10000, 378464849 
16, WhileNeeded, Random, Double, 10000, 397632752 
17, WhileNeeded, Random, Double, 10000, 385548029 
18, WhileNeeded, Random, Double, 10000, 409386864 
19, WhileNeeded, Random, Double, 10000, 378609672 
20, WhileNeeded, Random, Double, 10000, 359700139 
21, WhileNeeded, Random, Double, 10000, 354306671 
22, WhileNeeded, Random, Double, 10000, 379849858 
23, WhileNeeded, Random, Double, 10000, 370503500 
24, WhileNeeded, Random, Double, 10000, 433078598 
25, WhileNeeded, Random, Double, 10000, 442286900 
26, WhileNeeded, Random, Double, 10000, 367093594 
27, WhileNeeded, Random, Double, 10000, 362512248 
28, WhileNeeded, Random, Double, 10000, 370946218 
29, WhileNeeded, Random, Double, 10000, 395656596 
30, WhileNeeded, Random, Double, 10000, 362615469 
31, WhileNeeded, Random, Double, 10000, 448873296 
32, WhileNeeded, Random, Double, 10000, 412939119 
33, WhileNeeded, Random, Double, 10000, 365798763 
34, WhileNeeded, Random, Double, 10000, 359037404 
35, WhileNeeded, Random, Double, 10000, 366924339 
36, WhileNeeded, Random, Double, 10000, 369575415 
37, WhileNeeded, Random, Double, 10000, 419749705 
38, WhileNeeded, Random, Double, 10000, 375363173 
39, WhileNeeded, Random, Double, 10000, 423506356 
40, WhileNeeded, Random, Double, 10000, 353500014 
41, WhileNeeded, Random, Double, 10000, 365704310 
42, WhileNeeded, Random, Double, 10000, 352066833 
43, WhileNeeded, Random, Double, 10000, 485311057 
44, WhileNeeded, Random, Double, 10000, 371452020 
45, WhileNeeded, Random, Double, 10000, 366599488 
46, WhileNeeded, Random, Double, 10000, 396601767 
47, WhileNeeded, Random, Double, 10000, 364807979 
48, WhileNeeded, Random, Double, 10000, 394189333 
49, WhileNeeded, Random, Double, 10000, 360013928 
50, WhileNeeded, Random, Double, 10000, 372493165 
51, WhileNeeded, Random, Double, 10000, 362519459 
52, WhileNeeded, Random, Double, 10000, 356828866 
53, WhileNeeded, Random, Double, 10000, 421293536 
54, WhileNeeded, Random, Double, 10000, 431885125 
55, WhileNeeded, Random, Double, 10000, 360101695 
56, WhileNeeded, Random, Double, 10000, 359742043 
57, WhileNeeded, Random, Double, 10000, 362451273 
58, WhileNeeded, Random, Double, 10000, 379888034 
59, WhileNeeded, Random, Double, 10000, 380857838 
60, WhileNeeded, Random, Double, 10000, 406301383 
61, WhileNeeded, Random, Double, 10000, 366816791 
62, WhileNeeded, Random, Double, 10000, 406805608 
63, WhileNeeded, Random, Double, 10000, 360099710 
64, WhileNeeded, Random, Double, 10000, 363711593 
65, WhileNeeded, Random, Double, 10000, 365442477 
66, WhileNeeded, Random, Double, 10000, 360962606 
67, WhileNeeded, Random, Double, 10000, 369298460 
68, WhileNeeded, Random, Double, 10000, 364167766 
69, WhileNeeded, Random, Double, 10000, 371979864 
70, WhileNeeded, Random, Double, 10000, 376666604 
71, WhileNeeded, Random, Double, 10000, 432376766 
72, WhileNeeded, Random, Double, 10000, 368814000 
73, WhileNeeded, Random, Double, 10000, 419469007 
74, WhileNeeded, Random, Double, 10000, 386489522 
75, WhileNeeded, Random, Double, 10000, 374351977 
76, WhileNeeded, Random, Double, 10000, 368817452 
77, WhileNeeded, Random, Double, 10000, 429593299 
78, WhileNeeded, Random, Double, 10000, 363016175 
79, WhileNeeded, Random, Double, 10000, 365841651 
80, WhileNeeded, Random, Double, 10000, 361009102 
81, WhileNeeded, Random, Double, 10000, 357374200 
82, WhileNeeded, Random, Double, 10000, 370098857 
83, WhileNeeded, Random, Double, 10000, 364171615 
84, WhileNeeded, Random, Double, 10000, 355200607 
85, WhileNeeded, Random, Double, 10000, 393887015 
86, WhileNeeded, Random, Double, 10000, 359046705 
87, WhileNeeded, Random, Double, 10000, 371946805 
88, WhileNeeded, Random, Double, 10000, 397493768 
89, WhileNeeded, Random, Double, 10000, 359242136 
90, WhileNeeded, Random, Double, 10000, 395196553 
91, WhileNeeded, Random, Double, 10000, 368209862 
92, WhileNeeded, Random, Double, 10000, 415127759 
93, WhileNeeded, Random, Double, 10000, 361610571 
94, WhileNeeded, Random, Double, 10000, 414844461 
95, WhileNeeded, Random, Double, 10000, 364067844 
96, WhileNeeded, Random, Double, 10000, 417769851 
97, WhileNeeded, Random, Double, 10000, 361440004 
98, WhileNeeded, Random, Double, 10000, 365218167 
99, WhileNeeded, Random, Double, 10000, 384779860 
100, WhileNeeded, Random, Double, 10000, 429766027 
