Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Random, Float, 100, 393340 
2, WhileNeeded, Random, Float, 100, 379023 
3, WhileNeeded, Random, Float, 100, 381774 
4, WhileNeeded, Random, Float, 100, 424893 
5, WhileNeeded, Random, Float, 100, 386190 
6, WhileNeeded, Random, Float, 100, 382639 
7, WhileNeeded, Random, Float, 100, 511824 
8, WhileNeeded, Random, Float, 100, 431929 
9, WhileNeeded, Random, Float, 100, 468320 
10, WhileNeeded, Random, Float, 100, 419544 
11, WhileNeeded, Random, Float, 100, 388147 
12, WhileNeeded, Random, Float, 100, 372616 
13, WhileNeeded, Random, Float, 100, 490771 
14, WhileNeeded, Random, Float, 100, 230758 
15, WhileNeeded, Random, Float, 100, 216338 
16, WhileNeeded, Random, Float, 100, 211229 
17, WhileNeeded, Random, Float, 100, 129654 
18, WhileNeeded, Random, Float, 100, 101866 
19, WhileNeeded, Random, Float, 100, 92169 
20, WhileNeeded, Random, Float, 100, 171554 
21, WhileNeeded, Random, Float, 100, 97449 
22, WhileNeeded, Random, Float, 100, 97161 
23, WhileNeeded, Random, Float, 100, 163401 
24, WhileNeeded, Random, Float, 100, 183532 
25, WhileNeeded, Random, Float, 100, 144027 
26, WhileNeeded, Random, Float, 100, 151642 
27, WhileNeeded, Random, Float, 100, 94678 
28, WhileNeeded, Random, Float, 100, 102689 
29, WhileNeeded, Random, Float, 100, 117574 
30, WhileNeeded, Random, Float, 100, 81243 
31, WhileNeeded, Random, Float, 100, 83400 
32, WhileNeeded, Random, Float, 100, 83437 
33, WhileNeeded, Random, Float, 100, 88051 
34, WhileNeeded, Random, Float, 100, 81714 
35, WhileNeeded, Random, Float, 100, 88763 
36, WhileNeeded, Random, Float, 100, 86104 
37, WhileNeeded, Random, Float, 100, 134409 
38, WhileNeeded, Random, Float, 100, 125439 
39, WhileNeeded, Random, Float, 100, 129242 
40, WhileNeeded, Random, Float, 100, 90799 
41, WhileNeeded, Random, Float, 100, 128952 
42, WhileNeeded, Random, Float, 100, 433771 
43, WhileNeeded, Random, Float, 100, 131777 
44, WhileNeeded, Random, Float, 100, 152269 
45, WhileNeeded, Random, Float, 100, 363617 
46, WhileNeeded, Random, Float, 100, 81007 
47, WhileNeeded, Random, Float, 100, 93610 
48, WhileNeeded, Random, Float, 100, 368434 
49, WhileNeeded, Random, Float, 100, 391546 
50, WhileNeeded, Random, Float, 100, 356714 
51, WhileNeeded, Random, Float, 100, 405912 
52, WhileNeeded, Random, Float, 100, 330545 
53, WhileNeeded, Random, Float, 100, 360782 
54, WhileNeeded, Random, Float, 100, 483249 
55, WhileNeeded, Random, Float, 100, 326230 
56, WhileNeeded, Random, Float, 100, 335464 
57, WhileNeeded, Random, Float, 100, 457492 
58, WhileNeeded, Random, Float, 100, 358999 
59, WhileNeeded, Random, Float, 100, 345509 
60, WhileNeeded, Random, Float, 100, 332815 
61, WhileNeeded, Random, Float, 100, 363800 
62, WhileNeeded, Random, Float, 100, 340981 
63, WhileNeeded, Random, Float, 100, 358010 
64, WhileNeeded, Random, Float, 100, 341667 
65, WhileNeeded, Random, Float, 100, 343171 
66, WhileNeeded, Random, Float, 100, 338605 
67, WhileNeeded, Random, Float, 100, 313484 
68, WhileNeeded, Random, Float, 100, 342119 
69, WhileNeeded, Random, Float, 100, 324831 
70, WhileNeeded, Random, Float, 100, 37713 
71, WhileNeeded, Random, Float, 100, 36892 
72, WhileNeeded, Random, Float, 100, 37894 
73, WhileNeeded, Random, Float, 100, 36784 
74, WhileNeeded, Random, Float, 100, 61449 
75, WhileNeeded, Random, Float, 100, 56698 
76, WhileNeeded, Random, Float, 100, 39173 
77, WhileNeeded, Random, Float, 100, 37985 
78, WhileNeeded, Random, Float, 100, 36667 
79, WhileNeeded, Random, Float, 100, 37397 
80, WhileNeeded, Random, Float, 100, 36152 
81, WhileNeeded, Random, Float, 100, 35749 
82, WhileNeeded, Random, Float, 100, 66707 
83, WhileNeeded, Random, Float, 100, 35986 
84, WhileNeeded, Random, Float, 100, 37286 
85, WhileNeeded, Random, Float, 100, 56080 
86, WhileNeeded, Random, Float, 100, 53506 
87, WhileNeeded, Random, Float, 100, 52293 
88, WhileNeeded, Random, Float, 100, 60883 
89, WhileNeeded, Random, Float, 100, 36448 
90, WhileNeeded, Random, Float, 100, 36895 
91, WhileNeeded, Random, Float, 100, 46330 
92, WhileNeeded, Random, Float, 100, 46415 
93, WhileNeeded, Random, Float, 100, 53993 
94, WhileNeeded, Random, Float, 100, 55294 
95, WhileNeeded, Random, Float, 100, 56129 
96, WhileNeeded, Random, Float, 100, 55611 
97, WhileNeeded, Random, Float, 100, 55684 
98, WhileNeeded, Random, Float, 100, 54772 
99, WhileNeeded, Random, Float, 100, 60786 
100, WhileNeeded, Random, Float, 100, 56294 
