Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Ascending, Integer, 1000, 15793539 
2, PassPerItem, Ascending, Integer, 1000, 2596187 
3, PassPerItem, Ascending, Integer, 1000, 2765046 
4, PassPerItem, Ascending, Integer, 1000, 5711786 
5, PassPerItem, Ascending, Integer, 1000, 2414753 
6, PassPerItem, Ascending, Integer, 1000, 2730129 
7, PassPerItem, Ascending, Integer, 1000, 2493710 
8, PassPerItem, Ascending, Integer, 1000, 2564016 
9, PassPerItem, Ascending, Integer, 1000, 2462789 
10, PassPerItem, Ascending, Integer, 1000, 2716335 
11, PassPerItem, Ascending, Integer, 1000, 2502250 
12, PassPerItem, Ascending, Integer, 1000, 5384635 
13, PassPerItem, Ascending, Integer, 1000, 5464313 
14, PassPerItem, Ascending, Integer, 1000, 5222228 
15, PassPerItem, Ascending, Integer, 1000, 5016161 
16, PassPerItem, Ascending, Integer, 1000, 5202163 
17, PassPerItem, Ascending, Integer, 1000, 5059049 
18, PassPerItem, Ascending, Integer, 1000, 4843603 
19, PassPerItem, Ascending, Integer, 1000, 4694688 
20, PassPerItem, Ascending, Integer, 1000, 4941005 
21, PassPerItem, Ascending, Integer, 1000, 4932533 
22, PassPerItem, Ascending, Integer, 1000, 4749621 
23, PassPerItem, Ascending, Integer, 1000, 4824002 
24, PassPerItem, Ascending, Integer, 1000, 4947096 
25, PassPerItem, Ascending, Integer, 1000, 5009547 
26, PassPerItem, Ascending, Integer, 1000, 4387471 
27, PassPerItem, Ascending, Integer, 1000, 4806671 
28, PassPerItem, Ascending, Integer, 1000, 4623448 
29, PassPerItem, Ascending, Integer, 1000, 4306906 
30, PassPerItem, Ascending, Integer, 1000, 5129722 
31, PassPerItem, Ascending, Integer, 1000, 4895018 
32, PassPerItem, Ascending, Integer, 1000, 4556666 
33, PassPerItem, Ascending, Integer, 1000, 4590489 
34, PassPerItem, Ascending, Integer, 1000, 5361721 
35, PassPerItem, Ascending, Integer, 1000, 4859429 
36, PassPerItem, Ascending, Integer, 1000, 5186277 
37, PassPerItem, Ascending, Integer, 1000, 6602380 
38, PassPerItem, Ascending, Integer, 1000, 5525903 
39, PassPerItem, Ascending, Integer, 1000, 5559696 
40, PassPerItem, Ascending, Integer, 1000, 5126366 
41, PassPerItem, Ascending, Integer, 1000, 5217964 
42, PassPerItem, Ascending, Integer, 1000, 5108722 
43, PassPerItem, Ascending, Integer, 1000, 4704529 
44, PassPerItem, Ascending, Integer, 1000, 5012555 
45, PassPerItem, Ascending, Integer, 1000, 5406187 
46, PassPerItem, Ascending, Integer, 1000, 4962407 
47, PassPerItem, Ascending, Integer, 1000, 5273131 
48, PassPerItem, Ascending, Integer, 1000, 5409904 
49, PassPerItem, Ascending, Integer, 1000, 5185777 
50, PassPerItem, Ascending, Integer, 1000, 5105975 
51, PassPerItem, Ascending, Integer, 1000, 5385781 
52, PassPerItem, Ascending, Integer, 1000, 4976391 
53, PassPerItem, Ascending, Integer, 1000, 4819670 
54, PassPerItem, Ascending, Integer, 1000, 4786790 
55, PassPerItem, Ascending, Integer, 1000, 5303232 
56, PassPerItem, Ascending, Integer, 1000, 4840340 
57, PassPerItem, Ascending, Integer, 1000, 5279949 
58, PassPerItem, Ascending, Integer, 1000, 5098333 
59, PassPerItem, Ascending, Integer, 1000, 5000599 
60, PassPerItem, Ascending, Integer, 1000, 5120006 
61, PassPerItem, Ascending, Integer, 1000, 4818740 
62, PassPerItem, Ascending, Integer, 1000, 4742423 
63, PassPerItem, Ascending, Integer, 1000, 5141083 
64, PassPerItem, Ascending, Integer, 1000, 4658125 
65, PassPerItem, Ascending, Integer, 1000, 4814255 
66, PassPerItem, Ascending, Integer, 1000, 5070013 
67, PassPerItem, Ascending, Integer, 1000, 4634896 
68, PassPerItem, Ascending, Integer, 1000, 4829918 
69, PassPerItem, Ascending, Integer, 1000, 5012913 
70, PassPerItem, Ascending, Integer, 1000, 4684597 
71, PassPerItem, Ascending, Integer, 1000, 4476458 
72, PassPerItem, Ascending, Integer, 1000, 4845187 
73, PassPerItem, Ascending, Integer, 1000, 4618851 
74, PassPerItem, Ascending, Integer, 1000, 4570325 
75, PassPerItem, Ascending, Integer, 1000, 4835962 
76, PassPerItem, Ascending, Integer, 1000, 4522760 
77, PassPerItem, Ascending, Integer, 1000, 4499405 
78, PassPerItem, Ascending, Integer, 1000, 4541443 
79, PassPerItem, Ascending, Integer, 1000, 4625531 
