Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Ascending, Float, 1000, 18137441 
2, PassPerItem, Ascending, Float, 1000, 1946334 
3, PassPerItem, Ascending, Float, 1000, 1893392 
4, PassPerItem, Ascending, Float, 1000, 1770352 
5, PassPerItem, Ascending, Float, 1000, 1825593 
6, PassPerItem, Ascending, Float, 1000, 1922402 
7, PassPerItem, Ascending, Float, 1000, 1882648 
8, PassPerItem, Ascending, Float, 1000, 1829966 
9, PassPerItem, Ascending, Float, 1000, 1881648 
10, PassPerItem, Ascending, Float, 1000, 3298576 
11, PassPerItem, Ascending, Float, 1000, 1914377 
12, PassPerItem, Ascending, Float, 1000, 1881700 
13, PassPerItem, Ascending, Float, 1000, 1847154 
14, PassPerItem, Ascending, Float, 1000, 1865107 
15, PassPerItem, Ascending, Float, 1000, 1966480 
16, PassPerItem, Ascending, Float, 1000, 1920924 
17, PassPerItem, Ascending, Float, 1000, 1864302 
18, PassPerItem, Ascending, Float, 1000, 1914368 
19, PassPerItem, Ascending, Float, 1000, 1795638 
20, PassPerItem, Ascending, Float, 1000, 1833446 
21, PassPerItem, Ascending, Float, 1000, 1834702 
22, PassPerItem, Ascending, Float, 1000, 1832806 
23, PassPerItem, Ascending, Float, 1000, 1792594 
24, PassPerItem, Ascending, Float, 1000, 1788483 
25, PassPerItem, Ascending, Float, 1000, 1772828 
26, PassPerItem, Ascending, Float, 1000, 1728904 
27, PassPerItem, Ascending, Float, 1000, 2119370 
28, PassPerItem, Ascending, Float, 1000, 2970190 
29, PassPerItem, Ascending, Float, 1000, 1724036 
30, PassPerItem, Ascending, Float, 1000, 1771213 
31, PassPerItem, Ascending, Float, 1000, 1729690 
32, PassPerItem, Ascending, Float, 1000, 2690494 
33, PassPerItem, Ascending, Float, 1000, 2738578 
34, PassPerItem, Ascending, Float, 1000, 1713321 
35, PassPerItem, Ascending, Float, 1000, 1713116 
36, PassPerItem, Ascending, Float, 1000, 1732201 
37, PassPerItem, Ascending, Float, 1000, 2813749 
38, PassPerItem, Ascending, Float, 1000, 2445668 
39, PassPerItem, Ascending, Float, 1000, 1719413 
40, PassPerItem, Ascending, Float, 1000, 1731112 
41, PassPerItem, Ascending, Float, 1000, 1721835 
42, PassPerItem, Ascending, Float, 1000, 1720758 
43, PassPerItem, Ascending, Float, 1000, 1855455 
44, PassPerItem, Ascending, Float, 1000, 2985421 
45, PassPerItem, Ascending, Float, 1000, 1726460 
46, PassPerItem, Ascending, Float, 1000, 1760397 
47, PassPerItem, Ascending, Float, 1000, 1748520 
48, PassPerItem, Ascending, Float, 1000, 1722572 
49, PassPerItem, Ascending, Float, 1000, 1713346 
50, PassPerItem, Ascending, Float, 1000, 1715358 
51, PassPerItem, Ascending, Float, 1000, 1783151 
52, PassPerItem, Ascending, Float, 1000, 1821472 
53, PassPerItem, Ascending, Float, 1000, 2970440 
54, PassPerItem, Ascending, Float, 1000, 1739659 
55, PassPerItem, Ascending, Float, 1000, 1713147 
56, PassPerItem, Ascending, Float, 1000, 1768868 
57, PassPerItem, Ascending, Float, 1000, 2032928 
58, PassPerItem, Ascending, Float, 1000, 2959032 
59, PassPerItem, Ascending, Float, 1000, 1713487 
60, PassPerItem, Ascending, Float, 1000, 1723195 
61, PassPerItem, Ascending, Float, 1000, 1799471 
62, PassPerItem, Ascending, Float, 1000, 2964516 
63, PassPerItem, Ascending, Float, 1000, 2059978 
64, PassPerItem, Ascending, Float, 1000, 1713031 
65, PassPerItem, Ascending, Float, 1000, 1728303 
66, PassPerItem, Ascending, Float, 1000, 1769877 
67, PassPerItem, Ascending, Float, 1000, 2300788 
68, PassPerItem, Ascending, Float, 1000, 2917761 
69, PassPerItem, Ascending, Float, 1000, 1713137 
70, PassPerItem, Ascending, Float, 1000, 1730658 
71, PassPerItem, Ascending, Float, 1000, 1768295 
72, PassPerItem, Ascending, Float, 1000, 1889039 
73, PassPerItem, Ascending, Float, 1000, 2856340 
74, PassPerItem, Ascending, Float, 1000, 2416913 
75, PassPerItem, Ascending, Float, 1000, 1768636 
76, PassPerItem, Ascending, Float, 1000, 1726429 
77, PassPerItem, Ascending, Float, 1000, 1729825 
78, PassPerItem, Ascending, Float, 1000, 1785992 
79, PassPerItem, Ascending, Float, 1000, 1812165 
80, PassPerItem, Ascending, Float, 1000, 1811796 
81, PassPerItem, Ascending, Float, 1000, 1791337 
82, PassPerItem, Ascending, Float, 1000, 1713153 
83, PassPerItem, Ascending, Float, 1000, 1720483 
84, PassPerItem, Ascending, Float, 1000, 1739322 
85, PassPerItem, Ascending, Float, 1000, 1770274 
86, PassPerItem, Ascending, Float, 1000, 1772772 
87, PassPerItem, Ascending, Float, 1000, 1731469 
88, PassPerItem, Ascending, Float, 1000, 1716689 
89, PassPerItem, Ascending, Float, 1000, 1713560 
90, PassPerItem, Ascending, Float, 1000, 1719862 
91, PassPerItem, Ascending, Float, 1000, 1715734 
92, PassPerItem, Ascending, Float, 1000, 1732797 
93, PassPerItem, Ascending, Float, 1000, 1776750 
94, PassPerItem, Ascending, Float, 1000, 1776541 
95, PassPerItem, Ascending, Float, 1000, 1719505 
96, PassPerItem, Ascending, Float, 1000, 1712575 
97, PassPerItem, Ascending, Float, 1000, 1721462 
98, PassPerItem, Ascending, Float, 1000, 1712846 
99, PassPerItem, Ascending, Float, 1000, 1723031 
100, PassPerItem, Ascending, Float, 1000, 1772030 
