Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Ascending, Integer, 100, 19852 
2, UntilNoChange, Ascending, Integer, 100, 6841 
3, UntilNoChange, Ascending, Integer, 100, 6673 
4, UntilNoChange, Ascending, Integer, 100, 6822 
5, UntilNoChange, Ascending, Integer, 100, 6809 
6, UntilNoChange, Ascending, Integer, 100, 6937 
7, UntilNoChange, Ascending, Integer, 100, 6728 
8, UntilNoChange, Ascending, Integer, 100, 7634 
9, UntilNoChange, Ascending, Integer, 100, 7320 
10, UntilNoChange, Ascending, Integer, 100, 7513 
11, UntilNoChange, Ascending, Integer, 100, 8856 
12, UntilNoChange, Ascending, Integer, 100, 7353 
13, UntilNoChange, Ascending, Integer, 100, 7462 
14, UntilNoChange, Ascending, Integer, 100, 7352 
15, UntilNoChange, Ascending, Integer, 100, 7322 
16, UntilNoChange, Ascending, Integer, 100, 12481 
17, UntilNoChange, Ascending, Integer, 100, 11064 
18, UntilNoChange, Ascending, Integer, 100, 11767 
19, UntilNoChange, Ascending, Integer, 100, 9400 
20, UntilNoChange, Ascending, Integer, 100, 7706 
21, UntilNoChange, Ascending, Integer, 100, 8848 
22, UntilNoChange, Ascending, Integer, 100, 7704 
23, UntilNoChange, Ascending, Integer, 100, 7878 
24, UntilNoChange, Ascending, Integer, 100, 7414 
25, UntilNoChange, Ascending, Integer, 100, 7683 
26, UntilNoChange, Ascending, Integer, 100, 7755 
27, UntilNoChange, Ascending, Integer, 100, 15312 
28, UntilNoChange, Ascending, Integer, 100, 7714 
29, UntilNoChange, Ascending, Integer, 100, 9173 
30, UntilNoChange, Ascending, Integer, 100, 12212 
31, UntilNoChange, Ascending, Integer, 100, 7480 
32, UntilNoChange, Ascending, Integer, 100, 9254 
33, UntilNoChange, Ascending, Integer, 100, 7487 
34, UntilNoChange, Ascending, Integer, 100, 7214 
35, UntilNoChange, Ascending, Integer, 100, 7532 
36, UntilNoChange, Ascending, Integer, 100, 7254 
37, UntilNoChange, Ascending, Integer, 100, 7598 
38, UntilNoChange, Ascending, Integer, 100, 7398 
39, UntilNoChange, Ascending, Integer, 100, 7474 
40, UntilNoChange, Ascending, Integer, 100, 7335 
41, UntilNoChange, Ascending, Integer, 100, 7088 
42, UntilNoChange, Ascending, Integer, 100, 8352 
43, UntilNoChange, Ascending, Integer, 100, 7278 
44, UntilNoChange, Ascending, Integer, 100, 7222 
45, UntilNoChange, Ascending, Integer, 100, 7204 
46, UntilNoChange, Ascending, Integer, 100, 7064 
47, UntilNoChange, Ascending, Integer, 100, 7225 
48, UntilNoChange, Ascending, Integer, 100, 7184 
49, UntilNoChange, Ascending, Integer, 100, 7284 
50, UntilNoChange, Ascending, Integer, 100, 7269 
51, UntilNoChange, Ascending, Integer, 100, 7188 
52, UntilNoChange, Ascending, Integer, 100, 8543 
53, UntilNoChange, Ascending, Integer, 100, 7230 
54, UntilNoChange, Ascending, Integer, 100, 7130 
55, UntilNoChange, Ascending, Integer, 100, 8258 
56, UntilNoChange, Ascending, Integer, 100, 35158 
57, UntilNoChange, Ascending, Integer, 100, 7153 
58, UntilNoChange, Ascending, Integer, 100, 7188 
59, UntilNoChange, Ascending, Integer, 100, 7057 
60, UntilNoChange, Ascending, Integer, 100, 7146 
61, UntilNoChange, Ascending, Integer, 100, 7193 
62, UntilNoChange, Ascending, Integer, 100, 7223 
63, UntilNoChange, Ascending, Integer, 100, 8418 
64, UntilNoChange, Ascending, Integer, 100, 9554 
65, UntilNoChange, Ascending, Integer, 100, 10650 
66, UntilNoChange, Ascending, Integer, 100, 6134 
67, UntilNoChange, Ascending, Integer, 100, 6096 
68, UntilNoChange, Ascending, Integer, 100, 6053 
69, UntilNoChange, Ascending, Integer, 100, 6020 
70, UntilNoChange, Ascending, Integer, 100, 6170 
71, UntilNoChange, Ascending, Integer, 100, 5949 
72, UntilNoChange, Ascending, Integer, 100, 5831 
73, UntilNoChange, Ascending, Integer, 100, 7212 
74, UntilNoChange, Ascending, Integer, 100, 5928 
75, UntilNoChange, Ascending, Integer, 100, 7310 
76, UntilNoChange, Ascending, Integer, 100, 9056 
77, UntilNoChange, Ascending, Integer, 100, 5959 
78, UntilNoChange, Ascending, Integer, 100, 9294 
79, UntilNoChange, Ascending, Integer, 100, 8439 
80, UntilNoChange, Ascending, Integer, 100, 10293 
81, UntilNoChange, Ascending, Integer, 100, 10172 
82, UntilNoChange, Ascending, Integer, 100, 10195 
83, UntilNoChange, Ascending, Integer, 100, 12942 
84, UntilNoChange, Ascending, Integer, 100, 10395 
85, UntilNoChange, Ascending, Integer, 100, 10245 
86, UntilNoChange, Ascending, Integer, 100, 10336 
87, UntilNoChange, Ascending, Integer, 100, 10513 
88, UntilNoChange, Ascending, Integer, 100, 10468 
89, UntilNoChange, Ascending, Integer, 100, 10552 
90, UntilNoChange, Ascending, Integer, 100, 10469 
91, UntilNoChange, Ascending, Integer, 100, 9935 
92, UntilNoChange, Ascending, Integer, 100, 10527 
93, UntilNoChange, Ascending, Integer, 100, 10336 
94, UntilNoChange, Ascending, Integer, 100, 13244 
95, UntilNoChange, Ascending, Integer, 100, 10877 
96, UntilNoChange, Ascending, Integer, 100, 10164 
97, UntilNoChange, Ascending, Integer, 100, 10669 
98, UntilNoChange, Ascending, Integer, 100, 10223 
99, UntilNoChange, Ascending, Integer, 100, 10410 
100, UntilNoChange, Ascending, Integer, 100, 10664 
