Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Ascending, Double, 1000, 86524 
2, UntilNoChange, Ascending, Double, 1000, 80191 
3, UntilNoChange, Ascending, Double, 1000, 59104 
4, UntilNoChange, Ascending, Double, 1000, 56597 
5, UntilNoChange, Ascending, Double, 1000, 56330 
6, UntilNoChange, Ascending, Double, 1000, 58248 
7, UntilNoChange, Ascending, Double, 1000, 66728 
8, UntilNoChange, Ascending, Double, 1000, 102378 
9, UntilNoChange, Ascending, Double, 1000, 61419 
10, UntilNoChange, Ascending, Double, 1000, 86359 
11, UntilNoChange, Ascending, Double, 1000, 59205 
12, UntilNoChange, Ascending, Double, 1000, 85615 
13, UntilNoChange, Ascending, Double, 1000, 55148 
14, UntilNoChange, Ascending, Double, 1000, 55597 
15, UntilNoChange, Ascending, Double, 1000, 53818 
16, UntilNoChange, Ascending, Double, 1000, 62715 
17, UntilNoChange, Ascending, Double, 1000, 57750 
18, UntilNoChange, Ascending, Double, 1000, 52285 
19, UntilNoChange, Ascending, Double, 1000, 52077 
20, UntilNoChange, Ascending, Double, 1000, 67413 
21, UntilNoChange, Ascending, Double, 1000, 58556 
22, UntilNoChange, Ascending, Double, 1000, 54704 
23, UntilNoChange, Ascending, Double, 1000, 52661 
24, UntilNoChange, Ascending, Double, 1000, 51110 
25, UntilNoChange, Ascending, Double, 1000, 54086 
26, UntilNoChange, Ascending, Double, 1000, 70414 
27, UntilNoChange, Ascending, Double, 1000, 62854 
28, UntilNoChange, Ascending, Double, 1000, 59225 
29, UntilNoChange, Ascending, Double, 1000, 53051 
30, UntilNoChange, Ascending, Double, 1000, 56221 
31, UntilNoChange, Ascending, Double, 1000, 60405 
32, UntilNoChange, Ascending, Double, 1000, 57992 
33, UntilNoChange, Ascending, Double, 1000, 52505 
34, UntilNoChange, Ascending, Double, 1000, 55039 
35, UntilNoChange, Ascending, Double, 1000, 65325 
36, UntilNoChange, Ascending, Double, 1000, 81663 
37, UntilNoChange, Ascending, Double, 1000, 60235 
38, UntilNoChange, Ascending, Double, 1000, 54044 
39, UntilNoChange, Ascending, Double, 1000, 60262 
40, UntilNoChange, Ascending, Double, 1000, 58070 
41, UntilNoChange, Ascending, Double, 1000, 62472 
42, UntilNoChange, Ascending, Double, 1000, 67209 
43, UntilNoChange, Ascending, Double, 1000, 63833 
44, UntilNoChange, Ascending, Double, 1000, 75572 
45, UntilNoChange, Ascending, Double, 1000, 89959 
46, UntilNoChange, Ascending, Double, 1000, 66520 
47, UntilNoChange, Ascending, Double, 1000, 77586 
48, UntilNoChange, Ascending, Double, 1000, 66008 
49, UntilNoChange, Ascending, Double, 1000, 63817 
50, UntilNoChange, Ascending, Double, 1000, 89573 
51, UntilNoChange, Ascending, Double, 1000, 104481 
52, UntilNoChange, Ascending, Double, 1000, 98134 
53, UntilNoChange, Ascending, Double, 1000, 119307 
54, UntilNoChange, Ascending, Double, 1000, 62364 
55, UntilNoChange, Ascending, Double, 1000, 64341 
56, UntilNoChange, Ascending, Double, 1000, 57667 
57, UntilNoChange, Ascending, Double, 1000, 61403 
58, UntilNoChange, Ascending, Double, 1000, 60550 
59, UntilNoChange, Ascending, Double, 1000, 58494 
60, UntilNoChange, Ascending, Double, 1000, 72571 
61, UntilNoChange, Ascending, Double, 1000, 69419 
62, UntilNoChange, Ascending, Double, 1000, 64037 
63, UntilNoChange, Ascending, Double, 1000, 52582 
64, UntilNoChange, Ascending, Double, 1000, 25758 
65, UntilNoChange, Ascending, Double, 1000, 11390 
66, UntilNoChange, Ascending, Double, 1000, 20184 
67, UntilNoChange, Ascending, Double, 1000, 20419 
68, UntilNoChange, Ascending, Double, 1000, 12319 
69, UntilNoChange, Ascending, Double, 1000, 11081 
70, UntilNoChange, Ascending, Double, 1000, 13510 
71, UntilNoChange, Ascending, Double, 1000, 19427 
72, UntilNoChange, Ascending, Double, 1000, 20400 
73, UntilNoChange, Ascending, Double, 1000, 11301 
74, UntilNoChange, Ascending, Double, 1000, 10170 
75, UntilNoChange, Ascending, Double, 1000, 10798 
76, UntilNoChange, Ascending, Double, 1000, 18652 
77, UntilNoChange, Ascending, Double, 1000, 17236 
78, UntilNoChange, Ascending, Double, 1000, 14259 
79, UntilNoChange, Ascending, Double, 1000, 10189 
80, UntilNoChange, Ascending, Double, 1000, 10811 
81, UntilNoChange, Ascending, Double, 1000, 18462 
82, UntilNoChange, Ascending, Double, 1000, 17443 
83, UntilNoChange, Ascending, Double, 1000, 10864 
84, UntilNoChange, Ascending, Double, 1000, 12486 
85, UntilNoChange, Ascending, Double, 1000, 17603 
86, UntilNoChange, Ascending, Double, 1000, 42319 
87, UntilNoChange, Ascending, Double, 1000, 13882 
88, UntilNoChange, Ascending, Double, 1000, 9876 
89, UntilNoChange, Ascending, Double, 1000, 10649 
90, UntilNoChange, Ascending, Double, 1000, 10645 
91, UntilNoChange, Ascending, Double, 1000, 19920 
92, UntilNoChange, Ascending, Double, 1000, 11668 
93, UntilNoChange, Ascending, Double, 1000, 12864 
94, UntilNoChange, Ascending, Double, 1000, 13255 
95, UntilNoChange, Ascending, Double, 1000, 20552 
96, UntilNoChange, Ascending, Double, 1000, 10435 
97, UntilNoChange, Ascending, Double, 1000, 11263 
98, UntilNoChange, Ascending, Double, 1000, 10519 
99, UntilNoChange, Ascending, Double, 1000, 9896 
100, UntilNoChange, Ascending, Double, 1000, 11619 
