Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Ascending, Float, 10000, 562622 
2, UntilNoChange, Ascending, Float, 10000, 462198 
3, UntilNoChange, Ascending, Float, 10000, 459610 
4, UntilNoChange, Ascending, Float, 10000, 509441 
5, UntilNoChange, Ascending, Float, 10000, 480296 
6, UntilNoChange, Ascending, Float, 10000, 508272 
7, UntilNoChange, Ascending, Float, 10000, 471824 
8, UntilNoChange, Ascending, Float, 10000, 167650 
9, UntilNoChange, Ascending, Float, 10000, 125334 
10, UntilNoChange, Ascending, Float, 10000, 132428 
11, UntilNoChange, Ascending, Float, 10000, 148257 
12, UntilNoChange, Ascending, Float, 10000, 125025 
13, UntilNoChange, Ascending, Float, 10000, 22299 
14, UntilNoChange, Ascending, Float, 10000, 25513 
15, UntilNoChange, Ascending, Float, 10000, 22642 
16, UntilNoChange, Ascending, Float, 10000, 25951 
17, UntilNoChange, Ascending, Float, 10000, 26565 
18, UntilNoChange, Ascending, Float, 10000, 30177 
19, UntilNoChange, Ascending, Float, 10000, 24488 
20, UntilNoChange, Ascending, Float, 10000, 26355 
21, UntilNoChange, Ascending, Float, 10000, 25427 
22, UntilNoChange, Ascending, Float, 10000, 20642 
23, UntilNoChange, Ascending, Float, 10000, 24683 
24, UntilNoChange, Ascending, Float, 10000, 21858 
25, UntilNoChange, Ascending, Float, 10000, 26878 
26, UntilNoChange, Ascending, Float, 10000, 26288 
27, UntilNoChange, Ascending, Float, 10000, 20522 
28, UntilNoChange, Ascending, Float, 10000, 26235 
29, UntilNoChange, Ascending, Float, 10000, 28213 
30, UntilNoChange, Ascending, Float, 10000, 23332 
31, UntilNoChange, Ascending, Float, 10000, 29987 
32, UntilNoChange, Ascending, Float, 10000, 44873 
33, UntilNoChange, Ascending, Float, 10000, 20242 
34, UntilNoChange, Ascending, Float, 10000, 45817 
35, UntilNoChange, Ascending, Float, 10000, 22450 
36, UntilNoChange, Ascending, Float, 10000, 23696 
37, UntilNoChange, Ascending, Float, 10000, 26380 
38, UntilNoChange, Ascending, Float, 10000, 21389 
39, UntilNoChange, Ascending, Float, 10000, 24130 
40, UntilNoChange, Ascending, Float, 10000, 23041 
41, UntilNoChange, Ascending, Float, 10000, 21290 
42, UntilNoChange, Ascending, Float, 10000, 22460 
43, UntilNoChange, Ascending, Float, 10000, 21165 
44, UntilNoChange, Ascending, Float, 10000, 20644 
45, UntilNoChange, Ascending, Float, 10000, 23546 
46, UntilNoChange, Ascending, Float, 10000, 21103 
47, UntilNoChange, Ascending, Float, 10000, 22227 
48, UntilNoChange, Ascending, Float, 10000, 23690 
49, UntilNoChange, Ascending, Float, 10000, 20737 
50, UntilNoChange, Ascending, Float, 10000, 24833 
51, UntilNoChange, Ascending, Float, 10000, 26615 
52, UntilNoChange, Ascending, Float, 10000, 29504 
53, UntilNoChange, Ascending, Float, 10000, 24275 
54, UntilNoChange, Ascending, Float, 10000, 19930 
55, UntilNoChange, Ascending, Float, 10000, 23153 
56, UntilNoChange, Ascending, Float, 10000, 26129 
57, UntilNoChange, Ascending, Float, 10000, 27038 
58, UntilNoChange, Ascending, Float, 10000, 24257 
59, UntilNoChange, Ascending, Float, 10000, 25502 
60, UntilNoChange, Ascending, Float, 10000, 23907 
61, UntilNoChange, Ascending, Float, 10000, 23035 
62, UntilNoChange, Ascending, Float, 10000, 21252 
63, UntilNoChange, Ascending, Float, 10000, 23222 
64, UntilNoChange, Ascending, Float, 10000, 19367 
65, UntilNoChange, Ascending, Float, 10000, 25904 
66, UntilNoChange, Ascending, Float, 10000, 25053 
67, UntilNoChange, Ascending, Float, 10000, 30180 
68, UntilNoChange, Ascending, Float, 10000, 24765 
69, UntilNoChange, Ascending, Float, 10000, 26313 
70, UntilNoChange, Ascending, Float, 10000, 27272 
71, UntilNoChange, Ascending, Float, 10000, 20012 
72, UntilNoChange, Ascending, Float, 10000, 19714 
73, UntilNoChange, Ascending, Float, 10000, 25315 
74, UntilNoChange, Ascending, Float, 10000, 26108 
75, UntilNoChange, Ascending, Float, 10000, 31927 
76, UntilNoChange, Ascending, Float, 10000, 25673 
77, UntilNoChange, Ascending, Float, 10000, 20601 
78, UntilNoChange, Ascending, Float, 10000, 24284 
79, UntilNoChange, Ascending, Float, 10000, 20885 
80, UntilNoChange, Ascending, Float, 10000, 28086 
81, UntilNoChange, Ascending, Float, 10000, 28516 
82, UntilNoChange, Ascending, Float, 10000, 23898 
83, UntilNoChange, Ascending, Float, 10000, 33374 
84, UntilNoChange, Ascending, Float, 10000, 25394 
85, UntilNoChange, Ascending, Float, 10000, 58382 
86, UntilNoChange, Ascending, Float, 10000, 45866 
87, UntilNoChange, Ascending, Float, 10000, 25652 
88, UntilNoChange, Ascending, Float, 10000, 24667 
89, UntilNoChange, Ascending, Float, 10000, 23594 
90, UntilNoChange, Ascending, Float, 10000, 26431 
91, UntilNoChange, Ascending, Float, 10000, 24420 
92, UntilNoChange, Ascending, Float, 10000, 27841 
93, UntilNoChange, Ascending, Float, 10000, 22338 
94, UntilNoChange, Ascending, Float, 10000, 21972 
95, UntilNoChange, Ascending, Float, 10000, 24602 
96, UntilNoChange, Ascending, Float, 10000, 25935 
97, UntilNoChange, Ascending, Float, 10000, 19302 
98, UntilNoChange, Ascending, Float, 10000, 21885 
99, UntilNoChange, Ascending, Float, 10000, 23068 
100, UntilNoChange, Ascending, Float, 10000, 20501 
