Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Ascending, Integer, 10000, 486294 
2, WhileNeeded, Ascending, Integer, 10000, 453394 
3, WhileNeeded, Ascending, Integer, 10000, 691397 
4, WhileNeeded, Ascending, Integer, 10000, 540236 
5, WhileNeeded, Ascending, Integer, 10000, 467402 
6, WhileNeeded, Ascending, Integer, 10000, 454987 
7, WhileNeeded, Ascending, Integer, 10000, 437014 
8, WhileNeeded, Ascending, Integer, 10000, 122290 
9, WhileNeeded, Ascending, Integer, 10000, 117945 
10, WhileNeeded, Ascending, Integer, 10000, 110756 
11, WhileNeeded, Ascending, Integer, 10000, 99358 
12, WhileNeeded, Ascending, Integer, 10000, 146111 
13, WhileNeeded, Ascending, Integer, 10000, 38315 
14, WhileNeeded, Ascending, Integer, 10000, 58593 
15, WhileNeeded, Ascending, Integer, 10000, 35053 
16, WhileNeeded, Ascending, Integer, 10000, 35317 
17, WhileNeeded, Ascending, Integer, 10000, 36681 
18, WhileNeeded, Ascending, Integer, 10000, 33726 
19, WhileNeeded, Ascending, Integer, 10000, 42191 
20, WhileNeeded, Ascending, Integer, 10000, 32029 
21, WhileNeeded, Ascending, Integer, 10000, 34139 
22, WhileNeeded, Ascending, Integer, 10000, 31463 
23, WhileNeeded, Ascending, Integer, 10000, 32767 
24, WhileNeeded, Ascending, Integer, 10000, 37742 
25, WhileNeeded, Ascending, Integer, 10000, 34829 
26, WhileNeeded, Ascending, Integer, 10000, 32624 
27, WhileNeeded, Ascending, Integer, 10000, 31262 
28, WhileNeeded, Ascending, Integer, 10000, 33844 
29, WhileNeeded, Ascending, Integer, 10000, 32156 
30, WhileNeeded, Ascending, Integer, 10000, 31696 
31, WhileNeeded, Ascending, Integer, 10000, 31544 
32, WhileNeeded, Ascending, Integer, 10000, 31325 
33, WhileNeeded, Ascending, Integer, 10000, 32674 
34, WhileNeeded, Ascending, Integer, 10000, 31500 
35, WhileNeeded, Ascending, Integer, 10000, 32555 
36, WhileNeeded, Ascending, Integer, 10000, 32566 
37, WhileNeeded, Ascending, Integer, 10000, 38385 
38, WhileNeeded, Ascending, Integer, 10000, 35046 
39, WhileNeeded, Ascending, Integer, 10000, 36945 
40, WhileNeeded, Ascending, Integer, 10000, 37259 
41, WhileNeeded, Ascending, Integer, 10000, 57565 
42, WhileNeeded, Ascending, Integer, 10000, 32155 
