Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Ascending, Double, 10000, 452473 
2, WhileNeeded, Ascending, Double, 10000, 513962 
3, WhileNeeded, Ascending, Double, 10000, 538306 
4, WhileNeeded, Ascending, Double, 10000, 429339 
5, WhileNeeded, Ascending, Double, 10000, 450908 
6, WhileNeeded, Ascending, Double, 10000, 473048 
7, WhileNeeded, Ascending, Double, 10000, 444370 
8, WhileNeeded, Ascending, Double, 10000, 160753 
9, WhileNeeded, Ascending, Double, 10000, 98522 
10, WhileNeeded, Ascending, Double, 10000, 110956 
11, WhileNeeded, Ascending, Double, 10000, 106546 
12, WhileNeeded, Ascending, Double, 10000, 110322 
13, WhileNeeded, Ascending, Double, 10000, 251536 
14, WhileNeeded, Ascending, Double, 10000, 27262 
15, WhileNeeded, Ascending, Double, 10000, 30883 
16, WhileNeeded, Ascending, Double, 10000, 32182 
17, WhileNeeded, Ascending, Double, 10000, 30376 
18, WhileNeeded, Ascending, Double, 10000, 30232 
19, WhileNeeded, Ascending, Double, 10000, 34049 
20, WhileNeeded, Ascending, Double, 10000, 76392 
21, WhileNeeded, Ascending, Double, 10000, 26523 
22, WhileNeeded, Ascending, Double, 10000, 28605 
23, WhileNeeded, Ascending, Double, 10000, 30684 
24, WhileNeeded, Ascending, Double, 10000, 29773 
25, WhileNeeded, Ascending, Double, 10000, 26362 
26, WhileNeeded, Ascending, Double, 10000, 31086 
27, WhileNeeded, Ascending, Double, 10000, 50998 
28, WhileNeeded, Ascending, Double, 10000, 27708 
29, WhileNeeded, Ascending, Double, 10000, 29434 
30, WhileNeeded, Ascending, Double, 10000, 31776 
31, WhileNeeded, Ascending, Double, 10000, 27237 
32, WhileNeeded, Ascending, Double, 10000, 27971 
33, WhileNeeded, Ascending, Double, 10000, 29679 
34, WhileNeeded, Ascending, Double, 10000, 35654 
35, WhileNeeded, Ascending, Double, 10000, 31319 
36, WhileNeeded, Ascending, Double, 10000, 34684 
37, WhileNeeded, Ascending, Double, 10000, 35664 
38, WhileNeeded, Ascending, Double, 10000, 29658 
39, WhileNeeded, Ascending, Double, 10000, 31147 
40, WhileNeeded, Ascending, Double, 10000, 31910 
41, WhileNeeded, Ascending, Double, 10000, 34687 
42, WhileNeeded, Ascending, Double, 10000, 31466 
43, WhileNeeded, Ascending, Double, 10000, 30884 
44, WhileNeeded, Ascending, Double, 10000, 27499 
45, WhileNeeded, Ascending, Double, 10000, 28539 
46, WhileNeeded, Ascending, Double, 10000, 25138 
47, WhileNeeded, Ascending, Double, 10000, 28993 
48, WhileNeeded, Ascending, Double, 10000, 25932 
49, WhileNeeded, Ascending, Double, 10000, 28169 
50, WhileNeeded, Ascending, Double, 10000, 24920 
51, WhileNeeded, Ascending, Double, 10000, 29945 
52, WhileNeeded, Ascending, Double, 10000, 28943 
53, WhileNeeded, Ascending, Double, 10000, 25673 
54, WhileNeeded, Ascending, Double, 10000, 24242 
55, WhileNeeded, Ascending, Double, 10000, 25091 
56, WhileNeeded, Ascending, Double, 10000, 25268 
57, WhileNeeded, Ascending, Double, 10000, 25377 
58, WhileNeeded, Ascending, Double, 10000, 24351 
59, WhileNeeded, Ascending, Double, 10000, 25229 
60, WhileNeeded, Ascending, Double, 10000, 25942 
61, WhileNeeded, Ascending, Double, 10000, 29063 
62, WhileNeeded, Ascending, Double, 10000, 26548 
63, WhileNeeded, Ascending, Double, 10000, 25315 
64, WhileNeeded, Ascending, Double, 10000, 24942 
65, WhileNeeded, Ascending, Double, 10000, 24555 
66, WhileNeeded, Ascending, Double, 10000, 28939 
67, WhileNeeded, Ascending, Double, 10000, 29236 
68, WhileNeeded, Ascending, Double, 10000, 28325 
69, WhileNeeded, Ascending, Double, 10000, 25164 
70, WhileNeeded, Ascending, Double, 10000, 29646 
71, WhileNeeded, Ascending, Double, 10000, 27221 
72, WhileNeeded, Ascending, Double, 10000, 24886 
73, WhileNeeded, Ascending, Double, 10000, 29568 
74, WhileNeeded, Ascending, Double, 10000, 24290 
75, WhileNeeded, Ascending, Double, 10000, 24175 
76, WhileNeeded, Ascending, Double, 10000, 24781 
77, WhileNeeded, Ascending, Double, 10000, 25699 
78, WhileNeeded, Ascending, Double, 10000, 24728 
79, WhileNeeded, Ascending, Double, 10000, 23687 
80, WhileNeeded, Ascending, Double, 10000, 25959 
81, WhileNeeded, Ascending, Double, 10000, 23725 
82, WhileNeeded, Ascending, Double, 10000, 23394 
83, WhileNeeded, Ascending, Double, 10000, 24091 
84, WhileNeeded, Ascending, Double, 10000, 24061 
85, WhileNeeded, Ascending, Double, 10000, 25052 
86, WhileNeeded, Ascending, Double, 10000, 32485 
87, WhileNeeded, Ascending, Double, 10000, 24633 
88, WhileNeeded, Ascending, Double, 10000, 24636 
89, WhileNeeded, Ascending, Double, 10000, 24424 
90, WhileNeeded, Ascending, Double, 10000, 60055 
91, WhileNeeded, Ascending, Double, 10000, 24655 
92, WhileNeeded, Ascending, Double, 10000, 23826 
93, WhileNeeded, Ascending, Double, 10000, 23994 
94, WhileNeeded, Ascending, Double, 10000, 23229 
95, WhileNeeded, Ascending, Double, 10000, 25043 
96, WhileNeeded, Ascending, Double, 10000, 25425 
97, WhileNeeded, Ascending, Double, 10000, 24127 
98, WhileNeeded, Ascending, Double, 10000, 24248 
99, WhileNeeded, Ascending, Double, 10000, 24057 
100, WhileNeeded, Ascending, Double, 10000, 25233 
