Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Ascending, Float, 10000, 498350 
2, WhileNeeded, Ascending, Float, 10000, 436485 
3, WhileNeeded, Ascending, Float, 10000, 439710 
4, WhileNeeded, Ascending, Float, 10000, 560526 
5, WhileNeeded, Ascending, Float, 10000, 479230 
6, WhileNeeded, Ascending, Float, 10000, 493265 
7, WhileNeeded, Ascending, Float, 10000, 509666 
8, WhileNeeded, Ascending, Float, 10000, 120376 
9, WhileNeeded, Ascending, Float, 10000, 99512 
10, WhileNeeded, Ascending, Float, 10000, 92163 
11, WhileNeeded, Ascending, Float, 10000, 138970 
12, WhileNeeded, Ascending, Float, 10000, 91873 
13, WhileNeeded, Ascending, Float, 10000, 21019 
14, WhileNeeded, Ascending, Float, 10000, 23715 
15, WhileNeeded, Ascending, Float, 10000, 20840 
16, WhileNeeded, Ascending, Float, 10000, 24245 
17, WhileNeeded, Ascending, Float, 10000, 24291 
18, WhileNeeded, Ascending, Float, 10000, 27379 
19, WhileNeeded, Ascending, Float, 10000, 28383 
20, WhileNeeded, Ascending, Float, 10000, 25056 
21, WhileNeeded, Ascending, Float, 10000, 23997 
22, WhileNeeded, Ascending, Float, 10000, 20014 
23, WhileNeeded, Ascending, Float, 10000, 24660 
24, WhileNeeded, Ascending, Float, 10000, 20628 
25, WhileNeeded, Ascending, Float, 10000, 25266 
26, WhileNeeded, Ascending, Float, 10000, 23351 
27, WhileNeeded, Ascending, Float, 10000, 20230 
28, WhileNeeded, Ascending, Float, 10000, 24757 
29, WhileNeeded, Ascending, Float, 10000, 26739 
30, WhileNeeded, Ascending, Float, 10000, 21697 
31, WhileNeeded, Ascending, Float, 10000, 21672 
32, WhileNeeded, Ascending, Float, 10000, 39716 
33, WhileNeeded, Ascending, Float, 10000, 19221 
34, WhileNeeded, Ascending, Float, 10000, 43741 
35, WhileNeeded, Ascending, Float, 10000, 20827 
36, WhileNeeded, Ascending, Float, 10000, 22450 
37, WhileNeeded, Ascending, Float, 10000, 24873 
38, WhileNeeded, Ascending, Float, 10000, 20343 
39, WhileNeeded, Ascending, Float, 10000, 22138 
40, WhileNeeded, Ascending, Float, 10000, 21417 
41, WhileNeeded, Ascending, Float, 10000, 19134 
42, WhileNeeded, Ascending, Float, 10000, 20995 
43, WhileNeeded, Ascending, Float, 10000, 19930 
44, WhileNeeded, Ascending, Float, 10000, 19739 
45, WhileNeeded, Ascending, Float, 10000, 21548 
46, WhileNeeded, Ascending, Float, 10000, 19165 
47, WhileNeeded, Ascending, Float, 10000, 21668 
48, WhileNeeded, Ascending, Float, 10000, 22665 
49, WhileNeeded, Ascending, Float, 10000, 19515 
50, WhileNeeded, Ascending, Float, 10000, 24174 
51, WhileNeeded, Ascending, Float, 10000, 24073 
52, WhileNeeded, Ascending, Float, 10000, 28047 
53, WhileNeeded, Ascending, Float, 10000, 22519 
54, WhileNeeded, Ascending, Float, 10000, 18929 
55, WhileNeeded, Ascending, Float, 10000, 21665 
56, WhileNeeded, Ascending, Float, 10000, 23920 
57, WhileNeeded, Ascending, Float, 10000, 24773 
58, WhileNeeded, Ascending, Float, 10000, 22680 
59, WhileNeeded, Ascending, Float, 10000, 23787 
60, WhileNeeded, Ascending, Float, 10000, 23237 
61, WhileNeeded, Ascending, Float, 10000, 21445 
62, WhileNeeded, Ascending, Float, 10000, 20034 
63, WhileNeeded, Ascending, Float, 10000, 22336 
64, WhileNeeded, Ascending, Float, 10000, 15221 
65, WhileNeeded, Ascending, Float, 10000, 25084 
66, WhileNeeded, Ascending, Float, 10000, 23550 
67, WhileNeeded, Ascending, Float, 10000, 28851 
68, WhileNeeded, Ascending, Float, 10000, 23505 
69, WhileNeeded, Ascending, Float, 10000, 24478 
70, WhileNeeded, Ascending, Float, 10000, 25874 
71, WhileNeeded, Ascending, Float, 10000, 18819 
72, WhileNeeded, Ascending, Float, 10000, 19024 
73, WhileNeeded, Ascending, Float, 10000, 23937 
74, WhileNeeded, Ascending, Float, 10000, 25489 
75, WhileNeeded, Ascending, Float, 10000, 43565 
76, WhileNeeded, Ascending, Float, 10000, 24476 
77, WhileNeeded, Ascending, Float, 10000, 25454 
78, WhileNeeded, Ascending, Float, 10000, 23804 
79, WhileNeeded, Ascending, Float, 10000, 20396 
80, WhileNeeded, Ascending, Float, 10000, 26295 
81, WhileNeeded, Ascending, Float, 10000, 26710 
82, WhileNeeded, Ascending, Float, 10000, 22548 
83, WhileNeeded, Ascending, Float, 10000, 26164 
84, WhileNeeded, Ascending, Float, 10000, 23462 
85, WhileNeeded, Ascending, Float, 10000, 59435 
86, WhileNeeded, Ascending, Float, 10000, 34697 
87, WhileNeeded, Ascending, Float, 10000, 25323 
88, WhileNeeded, Ascending, Float, 10000, 23231 
89, WhileNeeded, Ascending, Float, 10000, 22964 
90, WhileNeeded, Ascending, Float, 10000, 25025 
91, WhileNeeded, Ascending, Float, 10000, 24184 
92, WhileNeeded, Ascending, Float, 10000, 27243 
93, WhileNeeded, Ascending, Float, 10000, 21439 
94, WhileNeeded, Ascending, Float, 10000, 21005 
95, WhileNeeded, Ascending, Float, 10000, 23851 
96, WhileNeeded, Ascending, Float, 10000, 24336 
97, WhileNeeded, Ascending, Float, 10000, 19106 
98, WhileNeeded, Ascending, Float, 10000, 21130 
99, WhileNeeded, Ascending, Float, 10000, 22577 
100, WhileNeeded, Ascending, Float, 10000, 20471 
