Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Descending, Integer, 100, 3208598 
2, PassPerItem, Descending, Integer, 100, 2668920 
3, PassPerItem, Descending, Integer, 100, 2262043 
4, PassPerItem, Descending, Integer, 100, 1750530 
5, PassPerItem, Descending, Integer, 100, 1801815 
6, PassPerItem, Descending, Integer, 100, 1693238 
7, PassPerItem, Descending, Integer, 100, 1671021 
8, PassPerItem, Descending, Integer, 100, 696583 
9, PassPerItem, Descending, Integer, 100, 429904 
10, PassPerItem, Descending, Integer, 100, 290876 
11, PassPerItem, Descending, Integer, 100, 273321 
12, PassPerItem, Descending, Integer, 100, 281612 
13, PassPerItem, Descending, Integer, 100, 274938 
14, PassPerItem, Descending, Integer, 100, 210829 
15, PassPerItem, Descending, Integer, 100, 210560 
16, PassPerItem, Descending, Integer, 100, 208545 
17, PassPerItem, Descending, Integer, 100, 215832 
18, PassPerItem, Descending, Integer, 100, 213131 
19, PassPerItem, Descending, Integer, 100, 213777 
20, PassPerItem, Descending, Integer, 100, 236779 
21, PassPerItem, Descending, Integer, 100, 206674 
22, PassPerItem, Descending, Integer, 100, 211489 
23, PassPerItem, Descending, Integer, 100, 214912 
24, PassPerItem, Descending, Integer, 100, 209046 
25, PassPerItem, Descending, Integer, 100, 298231 
26, PassPerItem, Descending, Integer, 100, 342192 
27, PassPerItem, Descending, Integer, 100, 209753 
28, PassPerItem, Descending, Integer, 100, 212426 
29, PassPerItem, Descending, Integer, 100, 209264 
30, PassPerItem, Descending, Integer, 100, 223568 
31, PassPerItem, Descending, Integer, 100, 211505 
32, PassPerItem, Descending, Integer, 100, 209367 
33, PassPerItem, Descending, Integer, 100, 764425 
34, PassPerItem, Descending, Integer, 100, 227659 
35, PassPerItem, Descending, Integer, 100, 230784 
36, PassPerItem, Descending, Integer, 100, 210195 
37, PassPerItem, Descending, Integer, 100, 213633 
38, PassPerItem, Descending, Integer, 100, 215928 
39, PassPerItem, Descending, Integer, 100, 211035 
40, PassPerItem, Descending, Integer, 100, 250609 
41, PassPerItem, Descending, Integer, 100, 209990 
42, PassPerItem, Descending, Integer, 100, 207209 
43, PassPerItem, Descending, Integer, 100, 208085 
44, PassPerItem, Descending, Integer, 100, 208019 
45, PassPerItem, Descending, Integer, 100, 936635 
46, PassPerItem, Descending, Integer, 100, 963635 
47, PassPerItem, Descending, Integer, 100, 915927 
48, PassPerItem, Descending, Integer, 100, 918908 
49, PassPerItem, Descending, Integer, 100, 900546 
50, PassPerItem, Descending, Integer, 100, 905765 
51, PassPerItem, Descending, Integer, 100, 1033997 
52, PassPerItem, Descending, Integer, 100, 880151 
53, PassPerItem, Descending, Integer, 100, 955335 
54, PassPerItem, Descending, Integer, 100, 903321 
55, PassPerItem, Descending, Integer, 100, 946227 
56, PassPerItem, Descending, Integer, 100, 892700 
57, PassPerItem, Descending, Integer, 100, 1035094 
58, PassPerItem, Descending, Integer, 100, 948412 
59, PassPerItem, Descending, Integer, 100, 884293 
60, PassPerItem, Descending, Integer, 100, 886052 
61, PassPerItem, Descending, Integer, 100, 896880 
62, PassPerItem, Descending, Integer, 100, 76015 
63, PassPerItem, Descending, Integer, 100, 73307 
64, PassPerItem, Descending, Integer, 100, 93678 
65, PassPerItem, Descending, Integer, 100, 71200 
66, PassPerItem, Descending, Integer, 100, 81789 
67, PassPerItem, Descending, Integer, 100, 75875 
68, PassPerItem, Descending, Integer, 100, 73021 
69, PassPerItem, Descending, Integer, 100, 72481 
70, PassPerItem, Descending, Integer, 100, 72606 
71, PassPerItem, Descending, Integer, 100, 70876 
72, PassPerItem, Descending, Integer, 100, 70781 
73, PassPerItem, Descending, Integer, 100, 73170 
74, PassPerItem, Descending, Integer, 100, 74843 
75, PassPerItem, Descending, Integer, 100, 73543 
76, PassPerItem, Descending, Integer, 100, 75160 
77, PassPerItem, Descending, Integer, 100, 73367 
78, PassPerItem, Descending, Integer, 100, 73349 
79, PassPerItem, Descending, Integer, 100, 70770 
80, PassPerItem, Descending, Integer, 100, 71818 
81, PassPerItem, Descending, Integer, 100, 74320 
82, PassPerItem, Descending, Integer, 100, 75170 
83, PassPerItem, Descending, Integer, 100, 73671 
84, PassPerItem, Descending, Integer, 100, 85646 
85, PassPerItem, Descending, Integer, 100, 135425 
86, PassPerItem, Descending, Integer, 100, 132087 
87, PassPerItem, Descending, Integer, 100, 70287 
88, PassPerItem, Descending, Integer, 100, 72538 
89, PassPerItem, Descending, Integer, 100, 68572 
90, PassPerItem, Descending, Integer, 100, 72610 
91, PassPerItem, Descending, Integer, 100, 72493 
92, PassPerItem, Descending, Integer, 100, 69624 
93, PassPerItem, Descending, Integer, 100, 76474 
94, PassPerItem, Descending, Integer, 100, 73166 
95, PassPerItem, Descending, Integer, 100, 70284 
96, PassPerItem, Descending, Integer, 100, 73282 
97, PassPerItem, Descending, Integer, 100, 72218 
98, PassPerItem, Descending, Integer, 100, 74955 
99, PassPerItem, Descending, Integer, 100, 71615 
100, PassPerItem, Descending, Integer, 100, 74330 
