Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Descending, Double, 100, 1269290 
2, PassPerItem, Descending, Double, 100, 823789 
3, PassPerItem, Descending, Double, 100, 782668 
4, PassPerItem, Descending, Double, 100, 783954 
5, PassPerItem, Descending, Double, 100, 738349 
6, PassPerItem, Descending, Double, 100, 785095 
7, PassPerItem, Descending, Double, 100, 788945 
8, PassPerItem, Descending, Double, 100, 288472 
9, PassPerItem, Descending, Double, 100, 209106 
10, PassPerItem, Descending, Double, 100, 186312 
11, PassPerItem, Descending, Double, 100, 191573 
12, PassPerItem, Descending, Double, 100, 241907 
13, PassPerItem, Descending, Double, 100, 188578 
14, PassPerItem, Descending, Double, 100, 182953 
15, PassPerItem, Descending, Double, 100, 186330 
16, PassPerItem, Descending, Double, 100, 184133 
17, PassPerItem, Descending, Double, 100, 182464 
18, PassPerItem, Descending, Double, 100, 185686 
19, PassPerItem, Descending, Double, 100, 186262 
20, PassPerItem, Descending, Double, 100, 182396 
21, PassPerItem, Descending, Double, 100, 185997 
22, PassPerItem, Descending, Double, 100, 185172 
23, PassPerItem, Descending, Double, 100, 778599 
24, PassPerItem, Descending, Double, 100, 575935 
25, PassPerItem, Descending, Double, 100, 180908 
26, PassPerItem, Descending, Double, 100, 181835 
27, PassPerItem, Descending, Double, 100, 181880 
28, PassPerItem, Descending, Double, 100, 187845 
29, PassPerItem, Descending, Double, 100, 184149 
30, PassPerItem, Descending, Double, 100, 184096 
31, PassPerItem, Descending, Double, 100, 183325 
32, PassPerItem, Descending, Double, 100, 186220 
33, PassPerItem, Descending, Double, 100, 181840 
34, PassPerItem, Descending, Double, 100, 183304 
35, PassPerItem, Descending, Double, 100, 185138 
36, PassPerItem, Descending, Double, 100, 183348 
37, PassPerItem, Descending, Double, 100, 182115 
38, PassPerItem, Descending, Double, 100, 184747 
39, PassPerItem, Descending, Double, 100, 188495 
40, PassPerItem, Descending, Double, 100, 181701 
41, PassPerItem, Descending, Double, 100, 207651 
42, PassPerItem, Descending, Double, 100, 183482 
43, PassPerItem, Descending, Double, 100, 159430 
44, PassPerItem, Descending, Double, 100, 162777 
45, PassPerItem, Descending, Double, 100, 157215 
46, PassPerItem, Descending, Double, 100, 160463 
47, PassPerItem, Descending, Double, 100, 156866 
48, PassPerItem, Descending, Double, 100, 735599 
49, PassPerItem, Descending, Double, 100, 721112 
50, PassPerItem, Descending, Double, 100, 700675 
51, PassPerItem, Descending, Double, 100, 677347 
52, PassPerItem, Descending, Double, 100, 727022 
53, PassPerItem, Descending, Double, 100, 694914 
54, PassPerItem, Descending, Double, 100, 731344 
55, PassPerItem, Descending, Double, 100, 761056 
56, PassPerItem, Descending, Double, 100, 858827 
57, PassPerItem, Descending, Double, 100, 700069 
58, PassPerItem, Descending, Double, 100, 656984 
59, PassPerItem, Descending, Double, 100, 658926 
60, PassPerItem, Descending, Double, 100, 696392 
61, PassPerItem, Descending, Double, 100, 668570 
62, PassPerItem, Descending, Double, 100, 733315 
63, PassPerItem, Descending, Double, 100, 53796 
64, PassPerItem, Descending, Double, 100, 52966 
65, PassPerItem, Descending, Double, 100, 53236 
66, PassPerItem, Descending, Double, 100, 53272 
67, PassPerItem, Descending, Double, 100, 52086 
68, PassPerItem, Descending, Double, 100, 51844 
69, PassPerItem, Descending, Double, 100, 52094 
70, PassPerItem, Descending, Double, 100, 69004 
71, PassPerItem, Descending, Double, 100, 55064 
72, PassPerItem, Descending, Double, 100, 50583 
73, PassPerItem, Descending, Double, 100, 50689 
74, PassPerItem, Descending, Double, 100, 49870 
75, PassPerItem, Descending, Double, 100, 50134 
76, PassPerItem, Descending, Double, 100, 49865 
77, PassPerItem, Descending, Double, 100, 49674 
78, PassPerItem, Descending, Double, 100, 49833 
79, PassPerItem, Descending, Double, 100, 63728 
80, PassPerItem, Descending, Double, 100, 50544 
81, PassPerItem, Descending, Double, 100, 50889 
82, PassPerItem, Descending, Double, 100, 49713 
83, PassPerItem, Descending, Double, 100, 49732 
84, PassPerItem, Descending, Double, 100, 50090 
85, PassPerItem, Descending, Double, 100, 49618 
86, PassPerItem, Descending, Double, 100, 49869 
87, PassPerItem, Descending, Double, 100, 49586 
88, PassPerItem, Descending, Double, 100, 48076 
89, PassPerItem, Descending, Double, 100, 47763 
90, PassPerItem, Descending, Double, 100, 47996 
91, PassPerItem, Descending, Double, 100, 47743 
92, PassPerItem, Descending, Double, 100, 49676 
93, PassPerItem, Descending, Double, 100, 49984 
94, PassPerItem, Descending, Double, 100, 50151 
95, PassPerItem, Descending, Double, 100, 50209 
96, PassPerItem, Descending, Double, 100, 49867 
97, PassPerItem, Descending, Double, 100, 50826 
98, PassPerItem, Descending, Double, 100, 66955 
99, PassPerItem, Descending, Double, 100, 49594 
100, PassPerItem, Descending, Double, 100, 49733 
