Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Descending, Float, 100, 1158317 
2, PassPerItem, Descending, Float, 100, 780515 
3, PassPerItem, Descending, Float, 100, 786845 
4, PassPerItem, Descending, Float, 100, 840345 
5, PassPerItem, Descending, Float, 100, 757582 
6, PassPerItem, Descending, Float, 100, 765794 
7, PassPerItem, Descending, Float, 100, 837471 
8, PassPerItem, Descending, Float, 100, 294555 
9, PassPerItem, Descending, Float, 100, 192994 
10, PassPerItem, Descending, Float, 100, 184859 
11, PassPerItem, Descending, Float, 100, 197227 
12, PassPerItem, Descending, Float, 100, 185782 
13, PassPerItem, Descending, Float, 100, 181499 
14, PassPerItem, Descending, Float, 100, 192069 
15, PassPerItem, Descending, Float, 100, 210644 
16, PassPerItem, Descending, Float, 100, 181834 
17, PassPerItem, Descending, Float, 100, 184189 
18, PassPerItem, Descending, Float, 100, 184403 
19, PassPerItem, Descending, Float, 100, 189272 
20, PassPerItem, Descending, Float, 100, 181723 
21, PassPerItem, Descending, Float, 100, 186158 
22, PassPerItem, Descending, Float, 100, 181767 
23, PassPerItem, Descending, Float, 100, 884448 
24, PassPerItem, Descending, Float, 100, 181475 
25, PassPerItem, Descending, Float, 100, 204560 
26, PassPerItem, Descending, Float, 100, 182395 
27, PassPerItem, Descending, Float, 100, 181698 
28, PassPerItem, Descending, Float, 100, 185837 
29, PassPerItem, Descending, Float, 100, 181520 
30, PassPerItem, Descending, Float, 100, 181249 
31, PassPerItem, Descending, Float, 100, 189069 
32, PassPerItem, Descending, Float, 100, 190111 
33, PassPerItem, Descending, Float, 100, 183166 
34, PassPerItem, Descending, Float, 100, 181845 
35, PassPerItem, Descending, Float, 100, 184053 
36, PassPerItem, Descending, Float, 100, 181800 
37, PassPerItem, Descending, Float, 100, 180864 
38, PassPerItem, Descending, Float, 100, 842909 
39, PassPerItem, Descending, Float, 100, 811840 
40, PassPerItem, Descending, Float, 100, 812134 
41, PassPerItem, Descending, Float, 100, 833668 
42, PassPerItem, Descending, Float, 100, 815582 
43, PassPerItem, Descending, Float, 100, 810769 
44, PassPerItem, Descending, Float, 100, 820485 
45, PassPerItem, Descending, Float, 100, 839043 
46, PassPerItem, Descending, Float, 100, 799035 
47, PassPerItem, Descending, Float, 100, 873429 
48, PassPerItem, Descending, Float, 100, 792494 
49, PassPerItem, Descending, Float, 100, 821625 
50, PassPerItem, Descending, Float, 100, 816058 
51, PassPerItem, Descending, Float, 100, 1102359 
52, PassPerItem, Descending, Float, 100, 926822 
53, PassPerItem, Descending, Float, 100, 68122 
54, PassPerItem, Descending, Float, 100, 62988 
55, PassPerItem, Descending, Float, 100, 64947 
56, PassPerItem, Descending, Float, 100, 63880 
57, PassPerItem, Descending, Float, 100, 63211 
58, PassPerItem, Descending, Float, 100, 63162 
59, PassPerItem, Descending, Float, 100, 75258 
60, PassPerItem, Descending, Float, 100, 77816 
61, PassPerItem, Descending, Float, 100, 50265 
62, PassPerItem, Descending, Float, 100, 50849 
63, PassPerItem, Descending, Float, 100, 49855 
64, PassPerItem, Descending, Float, 100, 50103 
65, PassPerItem, Descending, Float, 100, 50139 
66, PassPerItem, Descending, Float, 100, 49857 
67, PassPerItem, Descending, Float, 100, 50080 
68, PassPerItem, Descending, Float, 100, 51155 
69, PassPerItem, Descending, Float, 100, 50072 
70, PassPerItem, Descending, Float, 100, 49936 
71, PassPerItem, Descending, Float, 100, 49686 
72, PassPerItem, Descending, Float, 100, 52595 
73, PassPerItem, Descending, Float, 100, 49541 
74, PassPerItem, Descending, Float, 100, 53554 
75, PassPerItem, Descending, Float, 100, 52664 
76, PassPerItem, Descending, Float, 100, 50009 
77, PassPerItem, Descending, Float, 100, 49817 
78, PassPerItem, Descending, Float, 100, 49870 
79, PassPerItem, Descending, Float, 100, 49856 
80, PassPerItem, Descending, Float, 100, 50013 
81, PassPerItem, Descending, Float, 100, 50784 
82, PassPerItem, Descending, Float, 100, 49879 
83, PassPerItem, Descending, Float, 100, 49943 
84, PassPerItem, Descending, Float, 100, 55703 
85, PassPerItem, Descending, Float, 100, 47756 
86, PassPerItem, Descending, Float, 100, 47963 
87, PassPerItem, Descending, Float, 100, 47923 
88, PassPerItem, Descending, Float, 100, 47496 
89, PassPerItem, Descending, Float, 100, 47699 
90, PassPerItem, Descending, Float, 100, 47840 
91, PassPerItem, Descending, Float, 100, 48508 
92, PassPerItem, Descending, Float, 100, 47765 
93, PassPerItem, Descending, Float, 100, 47668 
94, PassPerItem, Descending, Float, 100, 47813 
95, PassPerItem, Descending, Float, 100, 48962 
96, PassPerItem, Descending, Float, 100, 47892 
97, PassPerItem, Descending, Float, 100, 48172 
98, PassPerItem, Descending, Float, 100, 47874 
99, PassPerItem, Descending, Float, 100, 48010 
100, PassPerItem, Descending, Float, 100, 47623 
