Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Descending, Integer, 10000, 679243496 
2, UntilNoChange, Descending, Integer, 10000, 720457115 
3, UntilNoChange, Descending, Integer, 10000, 671887460 
4, UntilNoChange, Descending, Integer, 10000, 570008786 
5, UntilNoChange, Descending, Integer, 10000, 593453483 
6, UntilNoChange, Descending, Integer, 10000, 564605590 
7, UntilNoChange, Descending, Integer, 10000, 533543568 
8, UntilNoChange, Descending, Integer, 10000, 557323487 
9, UntilNoChange, Descending, Integer, 10000, 597757434 
10, UntilNoChange, Descending, Integer, 10000, 535798461 
11, UntilNoChange, Descending, Integer, 10000, 525355630 
12, UntilNoChange, Descending, Integer, 10000, 492647875 
13, UntilNoChange, Descending, Integer, 10000, 490555506 
14, UntilNoChange, Descending, Integer, 10000, 587082558 
15, UntilNoChange, Descending, Integer, 10000, 513595953 
16, UntilNoChange, Descending, Integer, 10000, 543037979 
17, UntilNoChange, Descending, Integer, 10000, 490702084 
18, UntilNoChange, Descending, Integer, 10000, 578244467 
19, UntilNoChange, Descending, Integer, 10000, 535746334 
20, UntilNoChange, Descending, Integer, 10000, 537951898 
21, UntilNoChange, Descending, Integer, 10000, 545058440 
22, UntilNoChange, Descending, Integer, 10000, 602837386 
23, UntilNoChange, Descending, Integer, 10000, 517160986 
24, UntilNoChange, Descending, Integer, 10000, 500402172 
25, UntilNoChange, Descending, Integer, 10000, 488825265 
26, UntilNoChange, Descending, Integer, 10000, 533090254 
27, UntilNoChange, Descending, Integer, 10000, 505499043 
28, UntilNoChange, Descending, Integer, 10000, 506551724 
29, UntilNoChange, Descending, Integer, 10000, 562288965 
30, UntilNoChange, Descending, Integer, 10000, 508998719 
31, UntilNoChange, Descending, Integer, 10000, 594103087 
32, UntilNoChange, Descending, Integer, 10000, 512946433 
33, UntilNoChange, Descending, Integer, 10000, 577779643 
34, UntilNoChange, Descending, Integer, 10000, 500023495 
35, UntilNoChange, Descending, Integer, 10000, 503316679 
36, UntilNoChange, Descending, Integer, 10000, 584712475 
37, UntilNoChange, Descending, Integer, 10000, 548157014 
38, UntilNoChange, Descending, Integer, 10000, 525624892 
39, UntilNoChange, Descending, Integer, 10000, 551398500 
40, UntilNoChange, Descending, Integer, 10000, 511223595 
41, UntilNoChange, Descending, Integer, 10000, 555642691 
42, UntilNoChange, Descending, Integer, 10000, 562555405 
43, UntilNoChange, Descending, Integer, 10000, 535964439 
44, UntilNoChange, Descending, Integer, 10000, 489385396 
45, UntilNoChange, Descending, Integer, 10000, 548248269 
46, UntilNoChange, Descending, Integer, 10000, 540988476 
47, UntilNoChange, Descending, Integer, 10000, 493674375 
48, UntilNoChange, Descending, Integer, 10000, 485238130 
49, UntilNoChange, Descending, Integer, 10000, 557349143 
50, UntilNoChange, Descending, Integer, 10000, 505844902 
51, UntilNoChange, Descending, Integer, 10000, 509316386 
52, UntilNoChange, Descending, Integer, 10000, 489428515 
53, UntilNoChange, Descending, Integer, 10000, 531870426 
54, UntilNoChange, Descending, Integer, 10000, 522133744 
55, UntilNoChange, Descending, Integer, 10000, 562646542 
56, UntilNoChange, Descending, Integer, 10000, 569267428 
57, UntilNoChange, Descending, Integer, 10000, 515622522 
58, UntilNoChange, Descending, Integer, 10000, 535554535 
59, UntilNoChange, Descending, Integer, 10000, 523420892 
60, UntilNoChange, Descending, Integer, 10000, 522081821 
61, UntilNoChange, Descending, Integer, 10000, 490393707 
62, UntilNoChange, Descending, Integer, 10000, 558037304 
63, UntilNoChange, Descending, Integer, 10000, 510438120 
64, UntilNoChange, Descending, Integer, 10000, 540768849 
65, UntilNoChange, Descending, Integer, 10000, 514672050 
66, UntilNoChange, Descending, Integer, 10000, 514515125 
67, UntilNoChange, Descending, Integer, 10000, 542710132 
68, UntilNoChange, Descending, Integer, 10000, 562936764 
69, UntilNoChange, Descending, Integer, 10000, 509523404 
70, UntilNoChange, Descending, Integer, 10000, 581625027 
71, UntilNoChange, Descending, Integer, 10000, 516627159 
72, UntilNoChange, Descending, Integer, 10000, 559746013 
73, UntilNoChange, Descending, Integer, 10000, 492577025 
74, UntilNoChange, Descending, Integer, 10000, 515814140 
75, UntilNoChange, Descending, Integer, 10000, 581240815 
76, UntilNoChange, Descending, Integer, 10000, 550611706 
77, UntilNoChange, Descending, Integer, 10000, 517860642 
78, UntilNoChange, Descending, Integer, 10000, 529348191 
79, UntilNoChange, Descending, Integer, 10000, 488144285 
80, UntilNoChange, Descending, Integer, 10000, 551126929 
81, UntilNoChange, Descending, Integer, 10000, 495666452 
82, UntilNoChange, Descending, Integer, 10000, 563225068 
83, UntilNoChange, Descending, Integer, 10000, 547491217 
84, UntilNoChange, Descending, Integer, 10000, 515417548 
85, UntilNoChange, Descending, Integer, 10000, 490859045 
86, UntilNoChange, Descending, Integer, 10000, 602337501 
87, UntilNoChange, Descending, Integer, 10000, 501336811 
88, UntilNoChange, Descending, Integer, 10000, 508848804 
89, UntilNoChange, Descending, Integer, 10000, 503481471 
90, UntilNoChange, Descending, Integer, 10000, 547423050 
91, UntilNoChange, Descending, Integer, 10000, 527659604 
92, UntilNoChange, Descending, Integer, 10000, 531227724 
93, UntilNoChange, Descending, Integer, 10000, 498588934 
94, UntilNoChange, Descending, Integer, 10000, 500979355 
95, UntilNoChange, Descending, Integer, 10000, 664804552 
96, UntilNoChange, Descending, Integer, 10000, 508710622 
97, UntilNoChange, Descending, Integer, 10000, 514884478 
98, UntilNoChange, Descending, Integer, 10000, 502390890 
99, UntilNoChange, Descending, Integer, 10000, 547131468 
100, UntilNoChange, Descending, Integer, 10000, 490076106 
