Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Descending, Double, 10000, 702493632 
2, UntilNoChange, Descending, Double, 10000, 723923922 
3, UntilNoChange, Descending, Double, 10000, 527353627 
4, UntilNoChange, Descending, Double, 10000, 507252056 
5, UntilNoChange, Descending, Double, 10000, 525286871 
6, UntilNoChange, Descending, Double, 10000, 481317806 
7, UntilNoChange, Descending, Double, 10000, 615948295 
8, UntilNoChange, Descending, Double, 10000, 564167449 
9, UntilNoChange, Descending, Double, 10000, 489680115 
10, UntilNoChange, Descending, Double, 10000, 489372307 
11, UntilNoChange, Descending, Double, 10000, 545344449 
12, UntilNoChange, Descending, Double, 10000, 728777719 
13, UntilNoChange, Descending, Double, 10000, 495670169 
14, UntilNoChange, Descending, Double, 10000, 479302496 
15, UntilNoChange, Descending, Double, 10000, 520780562 
16, UntilNoChange, Descending, Double, 10000, 473279476 
17, UntilNoChange, Descending, Double, 10000, 576118125 
18, UntilNoChange, Descending, Double, 10000, 477485529 
19, UntilNoChange, Descending, Double, 10000, 473763753 
20, UntilNoChange, Descending, Double, 10000, 518964419 
21, UntilNoChange, Descending, Double, 10000, 474283803 
22, UntilNoChange, Descending, Double, 10000, 575092851 
23, UntilNoChange, Descending, Double, 10000, 550430866 
24, UntilNoChange, Descending, Double, 10000, 494775186 
25, UntilNoChange, Descending, Double, 10000, 489497181 
26, UntilNoChange, Descending, Double, 10000, 476863873 
27, UntilNoChange, Descending, Double, 10000, 637818073 
28, UntilNoChange, Descending, Double, 10000, 583255061 
29, UntilNoChange, Descending, Double, 10000, 480509247 
30, UntilNoChange, Descending, Double, 10000, 471300594 
31, UntilNoChange, Descending, Double, 10000, 483236025 
32, UntilNoChange, Descending, Double, 10000, 609859409 
33, UntilNoChange, Descending, Double, 10000, 466165152 
34, UntilNoChange, Descending, Double, 10000, 489767730 
35, UntilNoChange, Descending, Double, 10000, 468245151 
36, UntilNoChange, Descending, Double, 10000, 482311537 
37, UntilNoChange, Descending, Double, 10000, 515758765 
38, UntilNoChange, Descending, Double, 10000, 499507865 
39, UntilNoChange, Descending, Double, 10000, 476444255 
40, UntilNoChange, Descending, Double, 10000, 511344714 
41, UntilNoChange, Descending, Double, 10000, 473098755 
42, UntilNoChange, Descending, Double, 10000, 537938251 
43, UntilNoChange, Descending, Double, 10000, 480735144 
44, UntilNoChange, Descending, Double, 10000, 533574697 
45, UntilNoChange, Descending, Double, 10000, 481543946 
46, UntilNoChange, Descending, Double, 10000, 496674986 
47, UntilNoChange, Descending, Double, 10000, 549941593 
48, UntilNoChange, Descending, Double, 10000, 481600627 
49, UntilNoChange, Descending, Double, 10000, 469726814 
50, UntilNoChange, Descending, Double, 10000, 502710028 
51, UntilNoChange, Descending, Double, 10000, 484200488 
52, UntilNoChange, Descending, Double, 10000, 523904898 
53, UntilNoChange, Descending, Double, 10000, 465614009 
54, UntilNoChange, Descending, Double, 10000, 496799876 
55, UntilNoChange, Descending, Double, 10000, 472266807 
56, UntilNoChange, Descending, Double, 10000, 458744055 
57, UntilNoChange, Descending, Double, 10000, 577266539 
58, UntilNoChange, Descending, Double, 10000, 562398062 
59, UntilNoChange, Descending, Double, 10000, 472620186 
60, UntilNoChange, Descending, Double, 10000, 478375790 
61, UntilNoChange, Descending, Double, 10000, 504407993 
62, UntilNoChange, Descending, Double, 10000, 553544507 
63, UntilNoChange, Descending, Double, 10000, 451031554 
64, UntilNoChange, Descending, Double, 10000, 480407902 
65, UntilNoChange, Descending, Double, 10000, 485420269 
66, UntilNoChange, Descending, Double, 10000, 519823570 
67, UntilNoChange, Descending, Double, 10000, 599582972 
68, UntilNoChange, Descending, Double, 10000, 488122029 
69, UntilNoChange, Descending, Double, 10000, 471522877 
70, UntilNoChange, Descending, Double, 10000, 496226073 
71, UntilNoChange, Descending, Double, 10000, 487362773 
72, UntilNoChange, Descending, Double, 10000, 509314116 
73, UntilNoChange, Descending, Double, 10000, 449522259 
74, UntilNoChange, Descending, Double, 10000, 474002408 
75, UntilNoChange, Descending, Double, 10000, 471960238 
76, UntilNoChange, Descending, Double, 10000, 471354159 
77, UntilNoChange, Descending, Double, 10000, 606707428 
78, UntilNoChange, Descending, Double, 10000, 491768661 
79, UntilNoChange, Descending, Double, 10000, 472499336 
80, UntilNoChange, Descending, Double, 10000, 474241003 
81, UntilNoChange, Descending, Double, 10000, 472647375 
82, UntilNoChange, Descending, Double, 10000, 592454003 
83, UntilNoChange, Descending, Double, 10000, 476371810 
84, UntilNoChange, Descending, Double, 10000, 484679780 
85, UntilNoChange, Descending, Double, 10000, 484638045 
86, UntilNoChange, Descending, Double, 10000, 474065768 
87, UntilNoChange, Descending, Double, 10000, 547888808 
88, UntilNoChange, Descending, Double, 10000, 492364363 
89, UntilNoChange, Descending, Double, 10000, 540808958 
90, UntilNoChange, Descending, Double, 10000, 478998592 
91, UntilNoChange, Descending, Double, 10000, 495068843 
92, UntilNoChange, Descending, Double, 10000, 527875777 
93, UntilNoChange, Descending, Double, 10000, 565507896 
94, UntilNoChange, Descending, Double, 10000, 536002052 
95, UntilNoChange, Descending, Double, 10000, 480279975 
96, UntilNoChange, Descending, Double, 10000, 490195167 
97, UntilNoChange, Descending, Double, 10000, 549166626 
98, UntilNoChange, Descending, Double, 10000, 496075391 
99, UntilNoChange, Descending, Double, 10000, 473267033 
100, UntilNoChange, Descending, Double, 10000, 521034340 
