Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Descending, Float, 10000, 733650752 
2, UntilNoChange, Descending, Float, 10000, 649142021 
3, UntilNoChange, Descending, Float, 10000, 496970141 
4, UntilNoChange, Descending, Float, 10000, 548091887 
5, UntilNoChange, Descending, Float, 10000, 510675157 
6, UntilNoChange, Descending, Float, 10000, 472953993 
7, UntilNoChange, Descending, Float, 10000, 487859599 
8, UntilNoChange, Descending, Float, 10000, 556751330 
9, UntilNoChange, Descending, Float, 10000, 618376828 
10, UntilNoChange, Descending, Float, 10000, 467491459 
11, UntilNoChange, Descending, Float, 10000, 569509645 
12, UntilNoChange, Descending, Float, 10000, 536786441 
13, UntilNoChange, Descending, Float, 10000, 517453073 
14, UntilNoChange, Descending, Float, 10000, 514759839 
15, UntilNoChange, Descending, Float, 10000, 657392996 
16, UntilNoChange, Descending, Float, 10000, 418868801 
17, UntilNoChange, Descending, Float, 10000, 638731156 
18, UntilNoChange, Descending, Float, 10000, 471955275 
19, UntilNoChange, Descending, Float, 10000, 571028307 
20, UntilNoChange, Descending, Float, 10000, 498775729 
21, UntilNoChange, Descending, Float, 10000, 652685724 
22, UntilNoChange, Descending, Float, 10000, 434168182 
23, UntilNoChange, Descending, Float, 10000, 457206603 
24, UntilNoChange, Descending, Float, 10000, 415388166 
25, UntilNoChange, Descending, Float, 10000, 552790237 
26, UntilNoChange, Descending, Float, 10000, 505920072 
27, UntilNoChange, Descending, Float, 10000, 464658116 
28, UntilNoChange, Descending, Float, 10000, 469336934 
29, UntilNoChange, Descending, Float, 10000, 430595194 
30, UntilNoChange, Descending, Float, 10000, 467963702 
31, UntilNoChange, Descending, Float, 10000, 455902681 
32, UntilNoChange, Descending, Float, 10000, 452229995 
33, UntilNoChange, Descending, Float, 10000, 559992240 
34, UntilNoChange, Descending, Float, 10000, 536521320 
35, UntilNoChange, Descending, Float, 10000, 452609278 
36, UntilNoChange, Descending, Float, 10000, 446983295 
37, UntilNoChange, Descending, Float, 10000, 465479297 
38, UntilNoChange, Descending, Float, 10000, 420970960 
39, UntilNoChange, Descending, Float, 10000, 528723050 
40, UntilNoChange, Descending, Float, 10000, 534251797 
41, UntilNoChange, Descending, Float, 10000, 457959670 
42, UntilNoChange, Descending, Float, 10000, 412977769 
43, UntilNoChange, Descending, Float, 10000, 406442196 
44, UntilNoChange, Descending, Float, 10000, 440713762 
45, UntilNoChange, Descending, Float, 10000, 463145073 
46, UntilNoChange, Descending, Float, 10000, 630910665 
47, UntilNoChange, Descending, Float, 10000, 468168693 
48, UntilNoChange, Descending, Float, 10000, 431581013 
49, UntilNoChange, Descending, Float, 10000, 457700590 
50, UntilNoChange, Descending, Float, 10000, 449950462 
51, UntilNoChange, Descending, Float, 10000, 441256057 
52, UntilNoChange, Descending, Float, 10000, 501457390 
53, UntilNoChange, Descending, Float, 10000, 455627915 
54, UntilNoChange, Descending, Float, 10000, 454487294 
55, UntilNoChange, Descending, Float, 10000, 432499431 
56, UntilNoChange, Descending, Float, 10000, 442396637 
57, UntilNoChange, Descending, Float, 10000, 419315511 
58, UntilNoChange, Descending, Float, 10000, 503066745 
59, UntilNoChange, Descending, Float, 10000, 461833313 
60, UntilNoChange, Descending, Float, 10000, 469490825 
61, UntilNoChange, Descending, Float, 10000, 420642537 
62, UntilNoChange, Descending, Float, 10000, 446880038 
63, UntilNoChange, Descending, Float, 10000, 459191813 
64, UntilNoChange, Descending, Float, 10000, 533407514 
65, UntilNoChange, Descending, Float, 10000, 539707488 
66, UntilNoChange, Descending, Float, 10000, 560155197 
67, UntilNoChange, Descending, Float, 10000, 499728325 
68, UntilNoChange, Descending, Float, 10000, 510232991 
69, UntilNoChange, Descending, Float, 10000, 476901158 
70, UntilNoChange, Descending, Float, 10000, 490994128 
71, UntilNoChange, Descending, Float, 10000, 570214445 
72, UntilNoChange, Descending, Float, 10000, 454194481 
73, UntilNoChange, Descending, Float, 10000, 463709118 
74, UntilNoChange, Descending, Float, 10000, 477594120 
75, UntilNoChange, Descending, Float, 10000, 456441776 
76, UntilNoChange, Descending, Float, 10000, 457316676 
77, UntilNoChange, Descending, Float, 10000, 642205825 
78, UntilNoChange, Descending, Float, 10000, 456230022 
79, UntilNoChange, Descending, Float, 10000, 449353318 
80, UntilNoChange, Descending, Float, 10000, 495015685 
81, UntilNoChange, Descending, Float, 10000, 473682894 
82, UntilNoChange, Descending, Float, 10000, 449896297 
83, UntilNoChange, Descending, Float, 10000, 468244763 
84, UntilNoChange, Descending, Float, 10000, 483538084 
85, UntilNoChange, Descending, Float, 10000, 460055724 
86, UntilNoChange, Descending, Float, 10000, 430420140 
87, UntilNoChange, Descending, Float, 10000, 435692170 
88, UntilNoChange, Descending, Float, 10000, 465486523 
89, UntilNoChange, Descending, Float, 10000, 524448035 
90, UntilNoChange, Descending, Float, 10000, 470166528 
91, UntilNoChange, Descending, Float, 10000, 462224552 
92, UntilNoChange, Descending, Float, 10000, 492105919 
93, UntilNoChange, Descending, Float, 10000, 421096698 
94, UntilNoChange, Descending, Float, 10000, 451925814 
95, UntilNoChange, Descending, Float, 10000, 435086098 
96, UntilNoChange, Descending, Float, 10000, 567059378 
97, UntilNoChange, Descending, Float, 10000, 481619175 
98, UntilNoChange, Descending, Float, 10000, 424417074 
99, UntilNoChange, Descending, Float, 10000, 441718042 
100, UntilNoChange, Descending, Float, 10000, 461075089 
