Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Descending, Integer, 100, 1025249 
2, WhileNeeded, Descending, Integer, 100, 1070263 
3, WhileNeeded, Descending, Integer, 100, 1260443 
4, WhileNeeded, Descending, Integer, 100, 1080975 
5, WhileNeeded, Descending, Integer, 100, 1049509 
6, WhileNeeded, Descending, Integer, 100, 1234362 
7, WhileNeeded, Descending, Integer, 100, 1152550 
8, WhileNeeded, Descending, Integer, 100, 1091096 
9, WhileNeeded, Descending, Integer, 100, 715831 
10, WhileNeeded, Descending, Integer, 100, 699783 
11, WhileNeeded, Descending, Integer, 100, 705331 
12, WhileNeeded, Descending, Integer, 100, 785284 
13, WhileNeeded, Descending, Integer, 100, 378638 
14, WhileNeeded, Descending, Integer, 100, 135404 
15, WhileNeeded, Descending, Integer, 100, 173332 
16, WhileNeeded, Descending, Integer, 100, 135446 
17, WhileNeeded, Descending, Integer, 100, 124879 
18, WhileNeeded, Descending, Integer, 100, 124892 
19, WhileNeeded, Descending, Integer, 100, 125022 
20, WhileNeeded, Descending, Integer, 100, 123845 
21, WhileNeeded, Descending, Integer, 100, 126509 
22, WhileNeeded, Descending, Integer, 100, 122644 
23, WhileNeeded, Descending, Integer, 100, 124502 
24, WhileNeeded, Descending, Integer, 100, 142061 
25, WhileNeeded, Descending, Integer, 100, 123250 
26, WhileNeeded, Descending, Integer, 100, 120137 
27, WhileNeeded, Descending, Integer, 100, 130733 
28, WhileNeeded, Descending, Integer, 100, 123077 
29, WhileNeeded, Descending, Integer, 100, 122871 
30, WhileNeeded, Descending, Integer, 100, 134958 
31, WhileNeeded, Descending, Integer, 100, 122315 
32, WhileNeeded, Descending, Integer, 100, 123655 
33, WhileNeeded, Descending, Integer, 100, 128636 
34, WhileNeeded, Descending, Integer, 100, 126531 
35, WhileNeeded, Descending, Integer, 100, 143627 
36, WhileNeeded, Descending, Integer, 100, 127362 
37, WhileNeeded, Descending, Integer, 100, 130008 
38, WhileNeeded, Descending, Integer, 100, 126097 
39, WhileNeeded, Descending, Integer, 100, 121917 
40, WhileNeeded, Descending, Integer, 100, 125536 
41, WhileNeeded, Descending, Integer, 100, 158923 
42, WhileNeeded, Descending, Integer, 100, 127502 
43, WhileNeeded, Descending, Integer, 100, 268442 
44, WhileNeeded, Descending, Integer, 100, 123188 
45, WhileNeeded, Descending, Integer, 100, 417219 
46, WhileNeeded, Descending, Integer, 100, 154422 
47, WhileNeeded, Descending, Integer, 100, 593647 
48, WhileNeeded, Descending, Integer, 100, 125562 
49, WhileNeeded, Descending, Integer, 100, 648140 
50, WhileNeeded, Descending, Integer, 100, 720891 
51, WhileNeeded, Descending, Integer, 100, 634394 
52, WhileNeeded, Descending, Integer, 100, 597471 
53, WhileNeeded, Descending, Integer, 100, 618991 
54, WhileNeeded, Descending, Integer, 100, 559081 
55, WhileNeeded, Descending, Integer, 100, 648877 
56, WhileNeeded, Descending, Integer, 100, 562691 
57, WhileNeeded, Descending, Integer, 100, 607710 
58, WhileNeeded, Descending, Integer, 100, 559075 
59, WhileNeeded, Descending, Integer, 100, 563723 
60, WhileNeeded, Descending, Integer, 100, 53545 
61, WhileNeeded, Descending, Integer, 100, 55401 
62, WhileNeeded, Descending, Integer, 100, 53621 
63, WhileNeeded, Descending, Integer, 100, 53024 
64, WhileNeeded, Descending, Integer, 100, 79943 
65, WhileNeeded, Descending, Integer, 100, 59735 
66, WhileNeeded, Descending, Integer, 100, 52445 
67, WhileNeeded, Descending, Integer, 100, 52800 
68, WhileNeeded, Descending, Integer, 100, 53483 
69, WhileNeeded, Descending, Integer, 100, 66228 
70, WhileNeeded, Descending, Integer, 100, 52274 
71, WhileNeeded, Descending, Integer, 100, 52762 
72, WhileNeeded, Descending, Integer, 100, 53142 
73, WhileNeeded, Descending, Integer, 100, 53510 
74, WhileNeeded, Descending, Integer, 100, 53955 
75, WhileNeeded, Descending, Integer, 100, 52865 
76, WhileNeeded, Descending, Integer, 100, 53460 
77, WhileNeeded, Descending, Integer, 100, 69233 
78, WhileNeeded, Descending, Integer, 100, 52969 
79, WhileNeeded, Descending, Integer, 100, 52812 
80, WhileNeeded, Descending, Integer, 100, 53588 
81, WhileNeeded, Descending, Integer, 100, 52973 
82, WhileNeeded, Descending, Integer, 100, 53722 
83, WhileNeeded, Descending, Integer, 100, 59771 
84, WhileNeeded, Descending, Integer, 100, 53127 
85, WhileNeeded, Descending, Integer, 100, 68770 
86, WhileNeeded, Descending, Integer, 100, 59420 
87, WhileNeeded, Descending, Integer, 100, 54862 
88, WhileNeeded, Descending, Integer, 100, 54964 
89, WhileNeeded, Descending, Integer, 100, 52840 
90, WhileNeeded, Descending, Integer, 100, 53342 
91, WhileNeeded, Descending, Integer, 100, 53625 
92, WhileNeeded, Descending, Integer, 100, 53142 
93, WhileNeeded, Descending, Integer, 100, 55165 
94, WhileNeeded, Descending, Integer, 100, 53090 
95, WhileNeeded, Descending, Integer, 100, 52969 
96, WhileNeeded, Descending, Integer, 100, 53252 
97, WhileNeeded, Descending, Integer, 100, 53363 
98, WhileNeeded, Descending, Integer, 100, 52979 
99, WhileNeeded, Descending, Integer, 100, 52466 
100, WhileNeeded, Descending, Integer, 100, 52493 
