Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Descending, Double, 10000, 520714949 
2, WhileNeeded, Descending, Double, 10000, 611448438 
3, WhileNeeded, Descending, Double, 10000, 333306433 
4, WhileNeeded, Descending, Double, 10000, 321837837 
5, WhileNeeded, Descending, Double, 10000, 343412209 
6, WhileNeeded, Descending, Double, 10000, 308323321 
7, WhileNeeded, Descending, Double, 10000, 438611704 
8, WhileNeeded, Descending, Double, 10000, 333003187 
9, WhileNeeded, Descending, Double, 10000, 337590085 
10, WhileNeeded, Descending, Double, 10000, 304687037 
11, WhileNeeded, Descending, Double, 10000, 331536598 
12, WhileNeeded, Descending, Double, 10000, 435590637 
13, WhileNeeded, Descending, Double, 10000, 343113503 
14, WhileNeeded, Descending, Double, 10000, 310904560 
15, WhileNeeded, Descending, Double, 10000, 326625048 
16, WhileNeeded, Descending, Double, 10000, 302768639 
17, WhileNeeded, Descending, Double, 10000, 404219266 
18, WhileNeeded, Descending, Double, 10000, 302254673 
19, WhileNeeded, Descending, Double, 10000, 364514356 
20, WhileNeeded, Descending, Double, 10000, 304950678 
21, WhileNeeded, Descending, Double, 10000, 306852774 
22, WhileNeeded, Descending, Double, 10000, 390407201 
23, WhileNeeded, Descending, Double, 10000, 341632669 
24, WhileNeeded, Descending, Double, 10000, 311694020 
25, WhileNeeded, Descending, Double, 10000, 328809666 
26, WhileNeeded, Descending, Double, 10000, 317322613 
27, WhileNeeded, Descending, Double, 10000, 398381432 
28, WhileNeeded, Descending, Double, 10000, 297213831 
29, WhileNeeded, Descending, Double, 10000, 310549818 
30, WhileNeeded, Descending, Double, 10000, 314429300 
31, WhileNeeded, Descending, Double, 10000, 307047347 
32, WhileNeeded, Descending, Double, 10000, 375001208 
33, WhileNeeded, Descending, Double, 10000, 303605631 
34, WhileNeeded, Descending, Double, 10000, 334052868 
35, WhileNeeded, Descending, Double, 10000, 295863476 
36, WhileNeeded, Descending, Double, 10000, 310861939 
37, WhileNeeded, Descending, Double, 10000, 352802841 
38, WhileNeeded, Descending, Double, 10000, 359163799 
39, WhileNeeded, Descending, Double, 10000, 304947499 
40, WhileNeeded, Descending, Double, 10000, 306510409 
41, WhileNeeded, Descending, Double, 10000, 309060836 
42, WhileNeeded, Descending, Double, 10000, 407881825 
43, WhileNeeded, Descending, Double, 10000, 321548529 
44, WhileNeeded, Descending, Double, 10000, 354520551 
45, WhileNeeded, Descending, Double, 10000, 302346790 
46, WhileNeeded, Descending, Double, 10000, 314129581 
47, WhileNeeded, Descending, Double, 10000, 372066751 
48, WhileNeeded, Descending, Double, 10000, 310895261 
49, WhileNeeded, Descending, Double, 10000, 298520726 
50, WhileNeeded, Descending, Double, 10000, 305319196 
51, WhileNeeded, Descending, Double, 10000, 307849885 
52, WhileNeeded, Descending, Double, 10000, 347255874 
53, WhileNeeded, Descending, Double, 10000, 300754703 
54, WhileNeeded, Descending, Double, 10000, 289326915 
55, WhileNeeded, Descending, Double, 10000, 296556503 
56, WhileNeeded, Descending, Double, 10000, 293669105 
57, WhileNeeded, Descending, Double, 10000, 360852705 
58, WhileNeeded, Descending, Double, 10000, 305578018 
59, WhileNeeded, Descending, Double, 10000, 316234705 
60, WhileNeeded, Descending, Double, 10000, 311041318 
61, WhileNeeded, Descending, Double, 10000, 305208491 
62, WhileNeeded, Descending, Double, 10000, 342984181 
63, WhileNeeded, Descending, Double, 10000, 290585261 
64, WhileNeeded, Descending, Double, 10000, 314885692 
65, WhileNeeded, Descending, Double, 10000, 309180019 
66, WhileNeeded, Descending, Double, 10000, 301518533 
67, WhileNeeded, Descending, Double, 10000, 352187119 
68, WhileNeeded, Descending, Double, 10000, 338527027 
69, WhileNeeded, Descending, Double, 10000, 332703445 
70, WhileNeeded, Descending, Double, 10000, 304447303 
71, WhileNeeded, Descending, Double, 10000, 306655656 
72, WhileNeeded, Descending, Double, 10000, 341713475 
73, WhileNeeded, Descending, Double, 10000, 290550706 
74, WhileNeeded, Descending, Double, 10000, 303467505 
75, WhileNeeded, Descending, Double, 10000, 341805080 
76, WhileNeeded, Descending, Double, 10000, 310565163 
77, WhileNeeded, Descending, Double, 10000, 345101500 
78, WhileNeeded, Descending, Double, 10000, 311590850 
79, WhileNeeded, Descending, Double, 10000, 309988583 
80, WhileNeeded, Descending, Double, 10000, 315775868 
81, WhileNeeded, Descending, Double, 10000, 299903867 
82, WhileNeeded, Descending, Double, 10000, 380393302 
83, WhileNeeded, Descending, Double, 10000, 384615882 
84, WhileNeeded, Descending, Double, 10000, 316472371 
85, WhileNeeded, Descending, Double, 10000, 388623668 
86, WhileNeeded, Descending, Double, 10000, 314221720 
87, WhileNeeded, Descending, Double, 10000, 356685388 
88, WhileNeeded, Descending, Double, 10000, 315403358 
89, WhileNeeded, Descending, Double, 10000, 320200503 
90, WhileNeeded, Descending, Double, 10000, 334895563 
91, WhileNeeded, Descending, Double, 10000, 319346419 
92, WhileNeeded, Descending, Double, 10000, 350979139 
93, WhileNeeded, Descending, Double, 10000, 363809342 
94, WhileNeeded, Descending, Double, 10000, 340778266 
95, WhileNeeded, Descending, Double, 10000, 307461950 
96, WhileNeeded, Descending, Double, 10000, 314340304 
97, WhileNeeded, Descending, Double, 10000, 362751604 
98, WhileNeeded, Descending, Double, 10000, 319242730 
99, WhileNeeded, Descending, Double, 10000, 304154534 
100, WhileNeeded, Descending, Double, 10000, 414463407 
