Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Descending, Float, 1000, 13281348 
2, WhileNeeded, Descending, Float, 1000, 28709898 
3, WhileNeeded, Descending, Float, 1000, 4824367 
4, WhileNeeded, Descending, Float, 1000, 3660057 
5, WhileNeeded, Descending, Float, 1000, 3729665 
6, WhileNeeded, Descending, Float, 1000, 3455853 
7, WhileNeeded, Descending, Float, 1000, 3467053 
8, WhileNeeded, Descending, Float, 1000, 5282702 
9, WhileNeeded, Descending, Float, 1000, 4457725 
10, WhileNeeded, Descending, Float, 1000, 4507987 
11, WhileNeeded, Descending, Float, 1000, 4493189 
12, WhileNeeded, Descending, Float, 1000, 4997453 
13, WhileNeeded, Descending, Float, 1000, 5200049 
14, WhileNeeded, Descending, Float, 1000, 4584254 
15, WhileNeeded, Descending, Float, 1000, 3510997 
16, WhileNeeded, Descending, Float, 1000, 3591203 
17, WhileNeeded, Descending, Float, 1000, 3596672 
18, WhileNeeded, Descending, Float, 1000, 3530984 
19, WhileNeeded, Descending, Float, 1000, 3581168 
20, WhileNeeded, Descending, Float, 1000, 3479450 
21, WhileNeeded, Descending, Float, 1000, 3473741 
22, WhileNeeded, Descending, Float, 1000, 3494644 
23, WhileNeeded, Descending, Float, 1000, 6583137 
24, WhileNeeded, Descending, Float, 1000, 3478106 
25, WhileNeeded, Descending, Float, 1000, 3477993 
26, WhileNeeded, Descending, Float, 1000, 3502690 
27, WhileNeeded, Descending, Float, 1000, 3505594 
28, WhileNeeded, Descending, Float, 1000, 3606161 
29, WhileNeeded, Descending, Float, 1000, 3562722 
30, WhileNeeded, Descending, Float, 1000, 3625446 
31, WhileNeeded, Descending, Float, 1000, 3571862 
32, WhileNeeded, Descending, Float, 1000, 3941375 
33, WhileNeeded, Descending, Float, 1000, 3912526 
34, WhileNeeded, Descending, Float, 1000, 3627013 
35, WhileNeeded, Descending, Float, 1000, 3577555 
36, WhileNeeded, Descending, Float, 1000, 3660272 
37, WhileNeeded, Descending, Float, 1000, 3875629 
38, WhileNeeded, Descending, Float, 1000, 3717976 
39, WhileNeeded, Descending, Float, 1000, 3628668 
40, WhileNeeded, Descending, Float, 1000, 3547555 
41, WhileNeeded, Descending, Float, 1000, 3973520 
42, WhileNeeded, Descending, Float, 1000, 3659875 
43, WhileNeeded, Descending, Float, 1000, 3752615 
44, WhileNeeded, Descending, Float, 1000, 3771439 
45, WhileNeeded, Descending, Float, 1000, 4264325 
46, WhileNeeded, Descending, Float, 1000, 3677846 
47, WhileNeeded, Descending, Float, 1000, 3672962 
48, WhileNeeded, Descending, Float, 1000, 3520210 
49, WhileNeeded, Descending, Float, 1000, 7072737 
50, WhileNeeded, Descending, Float, 1000, 6647127 
51, WhileNeeded, Descending, Float, 1000, 6452688 
52, WhileNeeded, Descending, Float, 1000, 4990341 
53, WhileNeeded, Descending, Float, 1000, 6344743 
54, WhileNeeded, Descending, Float, 1000, 6083873 
55, WhileNeeded, Descending, Float, 1000, 5837127 
56, WhileNeeded, Descending, Float, 1000, 5482249 
57, WhileNeeded, Descending, Float, 1000, 3531645 
58, WhileNeeded, Descending, Float, 1000, 3678354 
59, WhileNeeded, Descending, Float, 1000, 4998073 
60, WhileNeeded, Descending, Float, 1000, 5174866 
61, WhileNeeded, Descending, Float, 1000, 4830310 
62, WhileNeeded, Descending, Float, 1000, 3555009 
63, WhileNeeded, Descending, Float, 1000, 3474091 
64, WhileNeeded, Descending, Float, 1000, 3474844 
65, WhileNeeded, Descending, Float, 1000, 3478090 
66, WhileNeeded, Descending, Float, 1000, 3532983 
67, WhileNeeded, Descending, Float, 1000, 3513647 
68, WhileNeeded, Descending, Float, 1000, 3544615 
69, WhileNeeded, Descending, Float, 1000, 3487183 
70, WhileNeeded, Descending, Float, 1000, 3472280 
71, WhileNeeded, Descending, Float, 1000, 3488362 
72, WhileNeeded, Descending, Float, 1000, 3573671 
73, WhileNeeded, Descending, Float, 1000, 3607607 
74, WhileNeeded, Descending, Float, 1000, 3481395 
75, WhileNeeded, Descending, Float, 1000, 3471996 
76, WhileNeeded, Descending, Float, 1000, 3493198 
77, WhileNeeded, Descending, Float, 1000, 3487005 
78, WhileNeeded, Descending, Float, 1000, 3565810 
79, WhileNeeded, Descending, Float, 1000, 3501455 
80, WhileNeeded, Descending, Float, 1000, 3471092 
81, WhileNeeded, Descending, Float, 1000, 3488410 
82, WhileNeeded, Descending, Float, 1000, 3476389 
83, WhileNeeded, Descending, Float, 1000, 3542967 
84, WhileNeeded, Descending, Float, 1000, 3532531 
85, WhileNeeded, Descending, Float, 1000, 3472738 
86, WhileNeeded, Descending, Float, 1000, 3502478 
87, WhileNeeded, Descending, Float, 1000, 3491912 
88, WhileNeeded, Descending, Float, 1000, 3809428 
89, WhileNeeded, Descending, Float, 1000, 3565598 
90, WhileNeeded, Descending, Float, 1000, 3496468 
91, WhileNeeded, Descending, Float, 1000, 3474452 
92, WhileNeeded, Descending, Float, 1000, 3487309 
93, WhileNeeded, Descending, Float, 1000, 3499103 
94, WhileNeeded, Descending, Float, 1000, 3565899 
95, WhileNeeded, Descending, Float, 1000, 3574232 
96, WhileNeeded, Descending, Float, 1000, 3480587 
97, WhileNeeded, Descending, Float, 1000, 3494535 
98, WhileNeeded, Descending, Float, 1000, 3477441 
99, WhileNeeded, Descending, Float, 1000, 3502721 
100, WhileNeeded, Descending, Float, 1000, 3594134 
