Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Random, Integer, 100, 1503351 
2, PassPerItem, Random, Integer, 100, 920200 
3, PassPerItem, Random, Integer, 100, 1025070 
4, PassPerItem, Random, Integer, 100, 1023401 
5, PassPerItem, Random, Integer, 100, 682592 
6, PassPerItem, Random, Integer, 100, 698874 
7, PassPerItem, Random, Integer, 100, 686448 
8, PassPerItem, Random, Integer, 100, 215453 
9, PassPerItem, Random, Integer, 100, 169622 
10, PassPerItem, Random, Integer, 100, 259359 
11, PassPerItem, Random, Integer, 100, 269452 
12, PassPerItem, Random, Integer, 100, 247680 
13, PassPerItem, Random, Integer, 100, 233580 
14, PassPerItem, Random, Integer, 100, 262733 
15, PassPerItem, Random, Integer, 100, 202823 
16, PassPerItem, Random, Integer, 100, 161025 
17, PassPerItem, Random, Integer, 100, 161025 
18, PassPerItem, Random, Integer, 100, 169181 
19, PassPerItem, Random, Integer, 100, 155909 
20, PassPerItem, Random, Integer, 100, 163204 
21, PassPerItem, Random, Integer, 100, 153335 
22, PassPerItem, Random, Integer, 100, 710747 
23, PassPerItem, Random, Integer, 100, 158997 
24, PassPerItem, Random, Integer, 100, 151838 
25, PassPerItem, Random, Integer, 100, 153871 
26, PassPerItem, Random, Integer, 100, 153988 
27, PassPerItem, Random, Integer, 100, 153139 
28, PassPerItem, Random, Integer, 100, 220414 
29, PassPerItem, Random, Integer, 100, 253036 
30, PassPerItem, Random, Integer, 100, 241044 
31, PassPerItem, Random, Integer, 100, 279556 
32, PassPerItem, Random, Integer, 100, 253286 
33, PassPerItem, Random, Integer, 100, 275792 
34, PassPerItem, Random, Integer, 100, 246064 
35, PassPerItem, Random, Integer, 100, 210893 
36, PassPerItem, Random, Integer, 100, 145063 
37, PassPerItem, Random, Integer, 100, 148912 
38, PassPerItem, Random, Integer, 100, 143802 
39, PassPerItem, Random, Integer, 100, 156509 
40, PassPerItem, Random, Integer, 100, 145416 
41, PassPerItem, Random, Integer, 100, 155762 
42, PassPerItem, Random, Integer, 100, 139098 
43, PassPerItem, Random, Integer, 100, 152469 
44, PassPerItem, Random, Integer, 100, 699770 
45, PassPerItem, Random, Integer, 100, 652088 
46, PassPerItem, Random, Integer, 100, 619349 
47, PassPerItem, Random, Integer, 100, 632961 
48, PassPerItem, Random, Integer, 100, 624330 
49, PassPerItem, Random, Integer, 100, 608565 
50, PassPerItem, Random, Integer, 100, 624197 
51, PassPerItem, Random, Integer, 100, 615849 
52, PassPerItem, Random, Integer, 100, 605766 
53, PassPerItem, Random, Integer, 100, 607722 
54, PassPerItem, Random, Integer, 100, 610338 
55, PassPerItem, Random, Integer, 100, 608234 
56, PassPerItem, Random, Integer, 100, 657777 
57, PassPerItem, Random, Integer, 100, 608175 
58, PassPerItem, Random, Integer, 100, 604176 
59, PassPerItem, Random, Integer, 100, 630039 
60, PassPerItem, Random, Integer, 100, 615350 
61, PassPerItem, Random, Integer, 100, 601770 
62, PassPerItem, Random, Integer, 100, 607294 
63, PassPerItem, Random, Integer, 100, 583234 
64, PassPerItem, Random, Integer, 100, 641988 
65, PassPerItem, Random, Integer, 100, 656818 
66, PassPerItem, Random, Integer, 100, 829485 
67, PassPerItem, Random, Integer, 100, 64947 
68, PassPerItem, Random, Integer, 100, 62061 
69, PassPerItem, Random, Integer, 100, 77462 
70, PassPerItem, Random, Integer, 100, 69286 
71, PassPerItem, Random, Integer, 100, 74307 
72, PassPerItem, Random, Integer, 100, 66261 
73, PassPerItem, Random, Integer, 100, 69641 
74, PassPerItem, Random, Integer, 100, 59570 
75, PassPerItem, Random, Integer, 100, 65512 
76, PassPerItem, Random, Integer, 100, 65852 
77, PassPerItem, Random, Integer, 100, 63156 
78, PassPerItem, Random, Integer, 100, 65530 
79, PassPerItem, Random, Integer, 100, 74098 
80, PassPerItem, Random, Integer, 100, 65764 
81, PassPerItem, Random, Integer, 100, 62185 
82, PassPerItem, Random, Integer, 100, 64435 
83, PassPerItem, Random, Integer, 100, 66802 
84, PassPerItem, Random, Integer, 100, 61674 
85, PassPerItem, Random, Integer, 100, 64030 
86, PassPerItem, Random, Integer, 100, 65499 
87, PassPerItem, Random, Integer, 100, 71576 
88, PassPerItem, Random, Integer, 100, 67830 
89, PassPerItem, Random, Integer, 100, 66283 
90, PassPerItem, Random, Integer, 100, 60513 
91, PassPerItem, Random, Integer, 100, 62902 
92, PassPerItem, Random, Integer, 100, 60772 
93, PassPerItem, Random, Integer, 100, 69012 
94, PassPerItem, Random, Integer, 100, 62095 
95, PassPerItem, Random, Integer, 100, 63590 
96, PassPerItem, Random, Integer, 100, 66533 
97, PassPerItem, Random, Integer, 100, 72641 
98, PassPerItem, Random, Integer, 100, 62328 
99, PassPerItem, Random, Integer, 100, 59063 
100, PassPerItem, Random, Integer, 100, 75465 
