Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Random, Double, 1000, 62050173 
2, PassPerItem, Random, Double, 1000, 13022422 
3, PassPerItem, Random, Double, 1000, 4940587 
4, PassPerItem, Random, Double, 1000, 4211554 
5, PassPerItem, Random, Double, 1000, 4317602 
6, PassPerItem, Random, Double, 1000, 4325336 
7, PassPerItem, Random, Double, 1000, 4982055 
8, PassPerItem, Random, Double, 1000, 4642673 
9, PassPerItem, Random, Double, 1000, 4590059 
10, PassPerItem, Random, Double, 1000, 4428837 
11, PassPerItem, Random, Double, 1000, 4605482 
12, PassPerItem, Random, Double, 1000, 4189721 
13, PassPerItem, Random, Double, 1000, 4205863 
14, PassPerItem, Random, Double, 1000, 4464895 
15, PassPerItem, Random, Double, 1000, 4351998 
16, PassPerItem, Random, Double, 1000, 4203329 
17, PassPerItem, Random, Double, 1000, 4223444 
18, PassPerItem, Random, Double, 1000, 4576519 
19, PassPerItem, Random, Double, 1000, 4255450 
20, PassPerItem, Random, Double, 1000, 4324416 
21, PassPerItem, Random, Double, 1000, 4162560 
22, PassPerItem, Random, Double, 1000, 4742074 
23, PassPerItem, Random, Double, 1000, 4249245 
24, PassPerItem, Random, Double, 1000, 7309562 
25, PassPerItem, Random, Double, 1000, 4581773 
26, PassPerItem, Random, Double, 1000, 4329315 
27, PassPerItem, Random, Double, 1000, 4301456 
28, PassPerItem, Random, Double, 1000, 4185562 
29, PassPerItem, Random, Double, 1000, 4226077 
30, PassPerItem, Random, Double, 1000, 4358352 
31, PassPerItem, Random, Double, 1000, 4609303 
32, PassPerItem, Random, Double, 1000, 4217904 
33, PassPerItem, Random, Double, 1000, 4196382 
34, PassPerItem, Random, Double, 1000, 4589404 
35, PassPerItem, Random, Double, 1000, 4189633 
36, PassPerItem, Random, Double, 1000, 4528300 
37, PassPerItem, Random, Double, 1000, 4225868 
38, PassPerItem, Random, Double, 1000, 4961004 
39, PassPerItem, Random, Double, 1000, 4185946 
40, PassPerItem, Random, Double, 1000, 4254255 
41, PassPerItem, Random, Double, 1000, 4497002 
42, PassPerItem, Random, Double, 1000, 4202332 
43, PassPerItem, Random, Double, 1000, 4205450 
44, PassPerItem, Random, Double, 1000, 4288166 
45, PassPerItem, Random, Double, 1000, 4599211 
46, PassPerItem, Random, Double, 1000, 7626027 
47, PassPerItem, Random, Double, 1000, 4166481 
48, PassPerItem, Random, Double, 1000, 4245687 
49, PassPerItem, Random, Double, 1000, 5091716 
50, PassPerItem, Random, Double, 1000, 4324274 
51, PassPerItem, Random, Double, 1000, 4175505 
52, PassPerItem, Random, Double, 1000, 4189299 
53, PassPerItem, Random, Double, 1000, 4495295 
54, PassPerItem, Random, Double, 1000, 4201410 
55, PassPerItem, Random, Double, 1000, 4177476 
56, PassPerItem, Random, Double, 1000, 4185942 
57, PassPerItem, Random, Double, 1000, 4284585 
58, PassPerItem, Random, Double, 1000, 4188590 
59, PassPerItem, Random, Double, 1000, 4390635 
60, PassPerItem, Random, Double, 1000, 4284890 
61, PassPerItem, Random, Double, 1000, 4277286 
62, PassPerItem, Random, Double, 1000, 4210162 
63, PassPerItem, Random, Double, 1000, 4321745 
64, PassPerItem, Random, Double, 1000, 4198889 
65, PassPerItem, Random, Double, 1000, 4172761 
66, PassPerItem, Random, Double, 1000, 6410102 
67, PassPerItem, Random, Double, 1000, 4273879 
68, PassPerItem, Random, Double, 1000, 4178381 
69, PassPerItem, Random, Double, 1000, 4359306 
70, PassPerItem, Random, Double, 1000, 4280977 
71, PassPerItem, Random, Double, 1000, 4186941 
72, PassPerItem, Random, Double, 1000, 4172596 
73, PassPerItem, Random, Double, 1000, 4299982 
74, PassPerItem, Random, Double, 1000, 4176993 
75, PassPerItem, Random, Double, 1000, 4210198 
76, PassPerItem, Random, Double, 1000, 4266997 
77, PassPerItem, Random, Double, 1000, 4215573 
78, PassPerItem, Random, Double, 1000, 4195967 
79, PassPerItem, Random, Double, 1000, 4466069 
80, PassPerItem, Random, Double, 1000, 4774007 
81, PassPerItem, Random, Double, 1000, 5368567 
82, PassPerItem, Random, Double, 1000, 5521725 
83, PassPerItem, Random, Double, 1000, 5018103 
84, PassPerItem, Random, Double, 1000, 4962548 
85, PassPerItem, Random, Double, 1000, 5560709 
86, PassPerItem, Random, Double, 1000, 4640775 
87, PassPerItem, Random, Double, 1000, 4433138 
88, PassPerItem, Random, Double, 1000, 4554306 
89, PassPerItem, Random, Double, 1000, 5438479 
90, PassPerItem, Random, Double, 1000, 6132671 
91, PassPerItem, Random, Double, 1000, 4601180 
92, PassPerItem, Random, Double, 1000, 5332941 
93, PassPerItem, Random, Double, 1000, 4676588 
94, PassPerItem, Random, Double, 1000, 4562279 
95, PassPerItem, Random, Double, 1000, 4983279 
96, PassPerItem, Random, Double, 1000, 4884798 
97, PassPerItem, Random, Double, 1000, 5570987 
98, PassPerItem, Random, Double, 1000, 4467877 
99, PassPerItem, Random, Double, 1000, 4216188 
100, PassPerItem, Random, Double, 1000, 4211699 
