Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, PassPerItem, Random, Float, 10000, 703488005 
2, PassPerItem, Random, Float, 10000, 599696705 
3, PassPerItem, Random, Float, 10000, 671975933 
4, PassPerItem, Random, Float, 10000, 596685931 
5, PassPerItem, Random, Float, 10000, 581542711 
6, PassPerItem, Random, Float, 10000, 594584070 
7, PassPerItem, Random, Float, 10000, 495098729 
8, PassPerItem, Random, Float, 10000, 466238219 
9, PassPerItem, Random, Float, 10000, 465257379 
10, PassPerItem, Random, Float, 10000, 550534640 
11, PassPerItem, Random, Float, 10000, 488117568 
12, PassPerItem, Random, Float, 10000, 551008782 
13, PassPerItem, Random, Float, 10000, 688528183 
14, PassPerItem, Random, Float, 10000, 753942026 
15, PassPerItem, Random, Float, 10000, 785493491 
16, PassPerItem, Random, Float, 10000, 594178964 
17, PassPerItem, Random, Float, 10000, 525443313 
18, PassPerItem, Random, Float, 10000, 626052784 
19, PassPerItem, Random, Float, 10000, 560854852 
20, PassPerItem, Random, Float, 10000, 592784224 
21, PassPerItem, Random, Float, 10000, 505858261 
22, PassPerItem, Random, Float, 10000, 539033196 
23, PassPerItem, Random, Float, 10000, 538217808 
24, PassPerItem, Random, Float, 10000, 536016297 
25, PassPerItem, Random, Float, 10000, 712410296 
26, PassPerItem, Random, Float, 10000, 655269171 
27, PassPerItem, Random, Float, 10000, 548867581 
28, PassPerItem, Random, Float, 10000, 562451374 
29, PassPerItem, Random, Float, 10000, 535309260 
30, PassPerItem, Random, Float, 10000, 543875203 
31, PassPerItem, Random, Float, 10000, 531591684 
32, PassPerItem, Random, Float, 10000, 550680807 
33, PassPerItem, Random, Float, 10000, 514995475 
34, PassPerItem, Random, Float, 10000, 476766560 
35, PassPerItem, Random, Float, 10000, 507581902 
36, PassPerItem, Random, Float, 10000, 476053945 
37, PassPerItem, Random, Float, 10000, 500758573 
38, PassPerItem, Random, Float, 10000, 512456375 
39, PassPerItem, Random, Float, 10000, 532659408 
40, PassPerItem, Random, Float, 10000, 480028173 
41, PassPerItem, Random, Float, 10000, 465474153 
42, PassPerItem, Random, Float, 10000, 512826749 
43, PassPerItem, Random, Float, 10000, 530473267 
44, PassPerItem, Random, Float, 10000, 477965170 
45, PassPerItem, Random, Float, 10000, 450377847 
46, PassPerItem, Random, Float, 10000, 457997150 
47, PassPerItem, Random, Float, 10000, 566167812 
48, PassPerItem, Random, Float, 10000, 468415534 
49, PassPerItem, Random, Float, 10000, 451368022 
50, PassPerItem, Random, Float, 10000, 517023243 
51, PassPerItem, Random, Float, 10000, 460507474 
52, PassPerItem, Random, Float, 10000, 480880313 
53, PassPerItem, Random, Float, 10000, 484602006 
54, PassPerItem, Random, Float, 10000, 545341232 
55, PassPerItem, Random, Float, 10000, 447629734 
56, PassPerItem, Random, Float, 10000, 444479328 
57, PassPerItem, Random, Float, 10000, 474597311 
58, PassPerItem, Random, Float, 10000, 502362340 
59, PassPerItem, Random, Float, 10000, 461067521 
60, PassPerItem, Random, Float, 10000, 457503856 
61, PassPerItem, Random, Float, 10000, 459721337 
62, PassPerItem, Random, Float, 10000, 573967204 
63, PassPerItem, Random, Float, 10000, 451300946 
64, PassPerItem, Random, Float, 10000, 456778391 
65, PassPerItem, Random, Float, 10000, 464390294 
66, PassPerItem, Random, Float, 10000, 500314558 
67, PassPerItem, Random, Float, 10000, 522716577 
68, PassPerItem, Random, Float, 10000, 502778868 
69, PassPerItem, Random, Float, 10000, 764618268 
70, PassPerItem, Random, Float, 10000, 580358929 
71, PassPerItem, Random, Float, 10000, 534956465 
72, PassPerItem, Random, Float, 10000, 536105925 
73, PassPerItem, Random, Float, 10000, 691787153 
74, PassPerItem, Random, Float, 10000, 547729802 
75, PassPerItem, Random, Float, 10000, 512868674 
76, PassPerItem, Random, Float, 10000, 545843160 
77, PassPerItem, Random, Float, 10000, 497826712 
78, PassPerItem, Random, Float, 10000, 522545285 
79, PassPerItem, Random, Float, 10000, 562289670 
80, PassPerItem, Random, Float, 10000, 510599093 
81, PassPerItem, Random, Float, 10000, 486562491 
82, PassPerItem, Random, Float, 10000, 498150282 
83, PassPerItem, Random, Float, 10000, 531011130 
84, PassPerItem, Random, Float, 10000, 537104222 
85, PassPerItem, Random, Float, 10000, 556932717 
86, PassPerItem, Random, Float, 10000, 579309139 
87, PassPerItem, Random, Float, 10000, 516427977 
88, PassPerItem, Random, Float, 10000, 536796240 
89, PassPerItem, Random, Float, 10000, 504818866 
90, PassPerItem, Random, Float, 10000, 506343696 
91, PassPerItem, Random, Float, 10000, 534622857 
92, PassPerItem, Random, Float, 10000, 498684753 
93, PassPerItem, Random, Float, 10000, 466630566 
94, PassPerItem, Random, Float, 10000, 462875098 
95, PassPerItem, Random, Float, 10000, 452893408 
96, PassPerItem, Random, Float, 10000, 506372596 
97, PassPerItem, Random, Float, 10000, 507292013 
98, PassPerItem, Random, Float, 10000, 446957388 
99, PassPerItem, Random, Float, 10000, 462126432 
100, PassPerItem, Random, Float, 10000, 460813281 
