Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Random, Integer, 100, 857177 
2, UntilNoChange, Random, Integer, 100, 1000375 
3, UntilNoChange, Random, Integer, 100, 982751 
4, UntilNoChange, Random, Integer, 100, 813914 
5, UntilNoChange, Random, Integer, 100, 626216 
6, UntilNoChange, Random, Integer, 100, 667210 
7, UntilNoChange, Random, Integer, 100, 612524 
8, UntilNoChange, Random, Integer, 100, 176909 
9, UntilNoChange, Random, Integer, 100, 248019 
10, UntilNoChange, Random, Integer, 100, 257641 
11, UntilNoChange, Random, Integer, 100, 246813 
12, UntilNoChange, Random, Integer, 100, 279671 
13, UntilNoChange, Random, Integer, 100, 280428 
14, UntilNoChange, Random, Integer, 100, 212040 
15, UntilNoChange, Random, Integer, 100, 184057 
16, UntilNoChange, Random, Integer, 100, 162913 
17, UntilNoChange, Random, Integer, 100, 141608 
18, UntilNoChange, Random, Integer, 100, 160553 
19, UntilNoChange, Random, Integer, 100, 141872 
20, UntilNoChange, Random, Integer, 100, 141308 
21, UntilNoChange, Random, Integer, 100, 160365 
22, UntilNoChange, Random, Integer, 100, 153363 
23, UntilNoChange, Random, Integer, 100, 136399 
24, UntilNoChange, Random, Integer, 100, 150872 
25, UntilNoChange, Random, Integer, 100, 137995 
26, UntilNoChange, Random, Integer, 100, 141391 
27, UntilNoChange, Random, Integer, 100, 146554 
28, UntilNoChange, Random, Integer, 100, 222250 
29, UntilNoChange, Random, Integer, 100, 248962 
30, UntilNoChange, Random, Integer, 100, 221448 
31, UntilNoChange, Random, Integer, 100, 216742 
32, UntilNoChange, Random, Integer, 100, 226744 
33, UntilNoChange, Random, Integer, 100, 983049 
34, UntilNoChange, Random, Integer, 100, 198836 
35, UntilNoChange, Random, Integer, 100, 171947 
36, UntilNoChange, Random, Integer, 100, 139472 
37, UntilNoChange, Random, Integer, 100, 132790 
38, UntilNoChange, Random, Integer, 100, 119251 
39, UntilNoChange, Random, Integer, 100, 135529 
40, UntilNoChange, Random, Integer, 100, 148382 
41, UntilNoChange, Random, Integer, 100, 156316 
42, UntilNoChange, Random, Integer, 100, 142760 
43, UntilNoChange, Random, Integer, 100, 147906 
44, UntilNoChange, Random, Integer, 100, 159045 
45, UntilNoChange, Random, Integer, 100, 145330 
46, UntilNoChange, Random, Integer, 100, 133516 
47, UntilNoChange, Random, Integer, 100, 148025 
48, UntilNoChange, Random, Integer, 100, 177962 
49, UntilNoChange, Random, Integer, 100, 134605 
50, UntilNoChange, Random, Integer, 100, 690278 
51, UntilNoChange, Random, Integer, 100, 574707 
52, UntilNoChange, Random, Integer, 100, 535848 
53, UntilNoChange, Random, Integer, 100, 563062 
54, UntilNoChange, Random, Integer, 100, 559320 
55, UntilNoChange, Random, Integer, 100, 538262 
56, UntilNoChange, Random, Integer, 100, 583368 
57, UntilNoChange, Random, Integer, 100, 496004 
58, UntilNoChange, Random, Integer, 100, 561560 
59, UntilNoChange, Random, Integer, 100, 513986 
60, UntilNoChange, Random, Integer, 100, 577335 
61, UntilNoChange, Random, Integer, 100, 559783 
62, UntilNoChange, Random, Integer, 100, 577875 
63, UntilNoChange, Random, Integer, 100, 508385 
64, UntilNoChange, Random, Integer, 100, 585804 
65, UntilNoChange, Random, Integer, 100, 697984 
66, UntilNoChange, Random, Integer, 100, 595664 
67, UntilNoChange, Random, Integer, 100, 667093 
68, UntilNoChange, Random, Integer, 100, 633941 
69, UntilNoChange, Random, Integer, 100, 566912 
70, UntilNoChange, Random, Integer, 100, 632455 
71, UntilNoChange, Random, Integer, 100, 610708 
72, UntilNoChange, Random, Integer, 100, 586861 
73, UntilNoChange, Random, Integer, 100, 599275 
74, UntilNoChange, Random, Integer, 100, 602789 
75, UntilNoChange, Random, Integer, 100, 81110 
76, UntilNoChange, Random, Integer, 100, 70300 
77, UntilNoChange, Random, Integer, 100, 65679 
78, UntilNoChange, Random, Integer, 100, 71231 
79, UntilNoChange, Random, Integer, 100, 78035 
80, UntilNoChange, Random, Integer, 100, 65414 
81, UntilNoChange, Random, Integer, 100, 62803 
82, UntilNoChange, Random, Integer, 100, 72393 
83, UntilNoChange, Random, Integer, 100, 68111 
84, UntilNoChange, Random, Integer, 100, 63704 
85, UntilNoChange, Random, Integer, 100, 67348 
86, UntilNoChange, Random, Integer, 100, 68184 
87, UntilNoChange, Random, Integer, 100, 80657 
88, UntilNoChange, Random, Integer, 100, 66783 
89, UntilNoChange, Random, Integer, 100, 67269 
90, UntilNoChange, Random, Integer, 100, 61670 
91, UntilNoChange, Random, Integer, 100, 62694 
92, UntilNoChange, Random, Integer, 100, 70552 
93, UntilNoChange, Random, Integer, 100, 70485 
94, UntilNoChange, Random, Integer, 100, 59881 
95, UntilNoChange, Random, Integer, 100, 65664 
96, UntilNoChange, Random, Integer, 100, 65675 
97, UntilNoChange, Random, Integer, 100, 70843 
98, UntilNoChange, Random, Integer, 100, 66980 
99, UntilNoChange, Random, Integer, 100, 65228 
100, UntilNoChange, Random, Integer, 100, 69805 
