Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, UntilNoChange, Random, Double, 1000, 46772418 
2, UntilNoChange, Random, Double, 1000, 13373228 
3, UntilNoChange, Random, Double, 1000, 9394206 
4, UntilNoChange, Random, Double, 1000, 3982558 
5, UntilNoChange, Random, Double, 1000, 3939512 
6, UntilNoChange, Random, Double, 1000, 4076597 
7, UntilNoChange, Random, Double, 1000, 5089389 
8, UntilNoChange, Random, Double, 1000, 4421333 
9, UntilNoChange, Random, Double, 1000, 4270059 
10, UntilNoChange, Random, Double, 1000, 4051544 
11, UntilNoChange, Random, Double, 1000, 4294516 
12, UntilNoChange, Random, Double, 1000, 4517702 
13, UntilNoChange, Random, Double, 1000, 4017427 
14, UntilNoChange, Random, Double, 1000, 4061612 
15, UntilNoChange, Random, Double, 1000, 4375930 
16, UntilNoChange, Random, Double, 1000, 4130567 
17, UntilNoChange, Random, Double, 1000, 4058312 
18, UntilNoChange, Random, Double, 1000, 4154949 
19, UntilNoChange, Random, Double, 1000, 4080108 
20, UntilNoChange, Random, Double, 1000, 3970569 
21, UntilNoChange, Random, Double, 1000, 3885658 
22, UntilNoChange, Random, Double, 1000, 6133071 
23, UntilNoChange, Random, Double, 1000, 4600049 
24, UntilNoChange, Random, Double, 1000, 7700531 
25, UntilNoChange, Random, Double, 1000, 4111311 
26, UntilNoChange, Random, Double, 1000, 4117255 
27, UntilNoChange, Random, Double, 1000, 4065574 
28, UntilNoChange, Random, Double, 1000, 4056174 
29, UntilNoChange, Random, Double, 1000, 4076202 
30, UntilNoChange, Random, Double, 1000, 4085063 
31, UntilNoChange, Random, Double, 1000, 4047983 
32, UntilNoChange, Random, Double, 1000, 3952627 
33, UntilNoChange, Random, Double, 1000, 3975057 
34, UntilNoChange, Random, Double, 1000, 4099074 
35, UntilNoChange, Random, Double, 1000, 4196412 
36, UntilNoChange, Random, Double, 1000, 4118745 
37, UntilNoChange, Random, Double, 1000, 4101551 
38, UntilNoChange, Random, Double, 1000, 4100783 
39, UntilNoChange, Random, Double, 1000, 4375378 
40, UntilNoChange, Random, Double, 1000, 4046670 
41, UntilNoChange, Random, Double, 1000, 4076960 
42, UntilNoChange, Random, Double, 1000, 4248746 
43, UntilNoChange, Random, Double, 1000, 4121877 
44, UntilNoChange, Random, Double, 1000, 3863906 
45, UntilNoChange, Random, Double, 1000, 4095205 
46, UntilNoChange, Random, Double, 1000, 5017432 
47, UntilNoChange, Random, Double, 1000, 3895911 
48, UntilNoChange, Random, Double, 1000, 3948357 
49, UntilNoChange, Random, Double, 1000, 7668410 
50, UntilNoChange, Random, Double, 1000, 4135732 
51, UntilNoChange, Random, Double, 1000, 4123673 
52, UntilNoChange, Random, Double, 1000, 3960673 
53, UntilNoChange, Random, Double, 1000, 3990837 
54, UntilNoChange, Random, Double, 1000, 4128924 
55, UntilNoChange, Random, Double, 1000, 3952774 
56, UntilNoChange, Random, Double, 1000, 4045529 
57, UntilNoChange, Random, Double, 1000, 4125730 
58, UntilNoChange, Random, Double, 1000, 4098612 
59, UntilNoChange, Random, Double, 1000, 3945008 
60, UntilNoChange, Random, Double, 1000, 3943111 
61, UntilNoChange, Random, Double, 1000, 4007564 
62, UntilNoChange, Random, Double, 1000, 4042300 
63, UntilNoChange, Random, Double, 1000, 3941014 
64, UntilNoChange, Random, Double, 1000, 4005908 
65, UntilNoChange, Random, Double, 1000, 3975625 
66, UntilNoChange, Random, Double, 1000, 3935370 
67, UntilNoChange, Random, Double, 1000, 4741433 
68, UntilNoChange, Random, Double, 1000, 3868055 
69, UntilNoChange, Random, Double, 1000, 4133624 
70, UntilNoChange, Random, Double, 1000, 4036211 
71, UntilNoChange, Random, Double, 1000, 4052218 
72, UntilNoChange, Random, Double, 1000, 4057349 
73, UntilNoChange, Random, Double, 1000, 4083323 
74, UntilNoChange, Random, Double, 1000, 3910444 
75, UntilNoChange, Random, Double, 1000, 4030843 
76, UntilNoChange, Random, Double, 1000, 4067856 
77, UntilNoChange, Random, Double, 1000, 4131506 
78, UntilNoChange, Random, Double, 1000, 4065913 
79, UntilNoChange, Random, Double, 1000, 4361145 
80, UntilNoChange, Random, Double, 1000, 5000460 
81, UntilNoChange, Random, Double, 1000, 5516861 
82, UntilNoChange, Random, Double, 1000, 4994889 
83, UntilNoChange, Random, Double, 1000, 4837372 
84, UntilNoChange, Random, Double, 1000, 4491829 
85, UntilNoChange, Random, Double, 1000, 6839594 
86, UntilNoChange, Random, Double, 1000, 4319281 
87, UntilNoChange, Random, Double, 1000, 5598446 
88, UntilNoChange, Random, Double, 1000, 4467465 
89, UntilNoChange, Random, Double, 1000, 4336216 
90, UntilNoChange, Random, Double, 1000, 4244061 
91, UntilNoChange, Random, Double, 1000, 4389626 
92, UntilNoChange, Random, Double, 1000, 5697270 
93, UntilNoChange, Random, Double, 1000, 5773258 
94, UntilNoChange, Random, Double, 1000, 4514826 
95, UntilNoChange, Random, Double, 1000, 4371978 
96, UntilNoChange, Random, Double, 1000, 4238745 
97, UntilNoChange, Random, Double, 1000, 5802250 
98, UntilNoChange, Random, Double, 1000, 4140787 
99, UntilNoChange, Random, Double, 1000, 3866153 
100, UntilNoChange, Random, Double, 1000, 4114743 
