Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Random, Integer, 1000, 17096384 
2, WhileNeeded, Random, Integer, 1000, 19789286 
3, WhileNeeded, Random, Integer, 1000, 5352631 
4, WhileNeeded, Random, Integer, 1000, 5152543 
5, WhileNeeded, Random, Integer, 1000, 5257816 
6, WhileNeeded, Random, Integer, 1000, 5190043 
7, WhileNeeded, Random, Integer, 1000, 5235516 
8, WhileNeeded, Random, Integer, 1000, 5544275 
9, WhileNeeded, Random, Integer, 1000, 5683222 
10, WhileNeeded, Random, Integer, 1000, 5393880 
11, WhileNeeded, Random, Integer, 1000, 5111433 
12, WhileNeeded, Random, Integer, 1000, 5354716 
13, WhileNeeded, Random, Integer, 1000, 5245887 
14, WhileNeeded, Random, Integer, 1000, 5294712 
15, WhileNeeded, Random, Integer, 1000, 5129993 
16, WhileNeeded, Random, Integer, 1000, 5218334 
17, WhileNeeded, Random, Integer, 1000, 5299994 
18, WhileNeeded, Random, Integer, 1000, 5475151 
19, WhileNeeded, Random, Integer, 1000, 5268244 
20, WhileNeeded, Random, Integer, 1000, 5292321 
21, WhileNeeded, Random, Integer, 1000, 5264690 
22, WhileNeeded, Random, Integer, 1000, 5392032 
23, WhileNeeded, Random, Integer, 1000, 5317188 
24, WhileNeeded, Random, Integer, 1000, 5362737 
25, WhileNeeded, Random, Integer, 1000, 5257098 
26, WhileNeeded, Random, Integer, 1000, 5403844 
27, WhileNeeded, Random, Integer, 1000, 5615026 
28, WhileNeeded, Random, Integer, 1000, 5477786 
29, WhileNeeded, Random, Integer, 1000, 5373603 
30, WhileNeeded, Random, Integer, 1000, 5395013 
31, WhileNeeded, Random, Integer, 1000, 5440788 
32, WhileNeeded, Random, Integer, 1000, 5367809 
33, WhileNeeded, Random, Integer, 1000, 5256018 
34, WhileNeeded, Random, Integer, 1000, 5213955 
35, WhileNeeded, Random, Integer, 1000, 5456447 
36, WhileNeeded, Random, Integer, 1000, 6190368 
37, WhileNeeded, Random, Integer, 1000, 6144289 
38, WhileNeeded, Random, Integer, 1000, 6112608 
39, WhileNeeded, Random, Integer, 1000, 6013806 
40, WhileNeeded, Random, Integer, 1000, 6002326 
41, WhileNeeded, Random, Integer, 1000, 5912601 
42, WhileNeeded, Random, Integer, 1000, 5911646 
43, WhileNeeded, Random, Integer, 1000, 5416966 
44, WhileNeeded, Random, Integer, 1000, 5332460 
45, WhileNeeded, Random, Integer, 1000, 5412965 
46, WhileNeeded, Random, Integer, 1000, 5810262 
47, WhileNeeded, Random, Integer, 1000, 5303759 
48, WhileNeeded, Random, Integer, 1000, 5724994 
49, WhileNeeded, Random, Integer, 1000, 5980853 
50, WhileNeeded, Random, Integer, 1000, 6501118 
51, WhileNeeded, Random, Integer, 1000, 6934125 
52, WhileNeeded, Random, Integer, 1000, 5760292 
53, WhileNeeded, Random, Integer, 1000, 5623414 
54, WhileNeeded, Random, Integer, 1000, 5844345 
55, WhileNeeded, Random, Integer, 1000, 5735793 
56, WhileNeeded, Random, Integer, 1000, 5413716 
57, WhileNeeded, Random, Integer, 1000, 5386850 
58, WhileNeeded, Random, Integer, 1000, 5717515 
59, WhileNeeded, Random, Integer, 1000, 5519563 
60, WhileNeeded, Random, Integer, 1000, 6725838 
61, WhileNeeded, Random, Integer, 1000, 7837750 
62, WhileNeeded, Random, Integer, 1000, 6040630 
63, WhileNeeded, Random, Integer, 1000, 5551923 
64, WhileNeeded, Random, Integer, 1000, 5635599 
65, WhileNeeded, Random, Integer, 1000, 5495656 
66, WhileNeeded, Random, Integer, 1000, 5411300 
67, WhileNeeded, Random, Integer, 1000, 5301592 
68, WhileNeeded, Random, Integer, 1000, 5322008 
69, WhileNeeded, Random, Integer, 1000, 5304923 
70, WhileNeeded, Random, Integer, 1000, 5378497 
71, WhileNeeded, Random, Integer, 1000, 5074082 
72, WhileNeeded, Random, Integer, 1000, 5123208 
73, WhileNeeded, Random, Integer, 1000, 5229227 
74, WhileNeeded, Random, Integer, 1000, 5274108 
75, WhileNeeded, Random, Integer, 1000, 5273502 
76, WhileNeeded, Random, Integer, 1000, 5237022 
77, WhileNeeded, Random, Integer, 1000, 5342803 
78, WhileNeeded, Random, Integer, 1000, 5483925 
79, WhileNeeded, Random, Integer, 1000, 5254608 
80, WhileNeeded, Random, Integer, 1000, 5262459 
81, WhileNeeded, Random, Integer, 1000, 5287224 
82, WhileNeeded, Random, Integer, 1000, 5217790 
83, WhileNeeded, Random, Integer, 1000, 5295948 
84, WhileNeeded, Random, Integer, 1000, 5178010 
85, WhileNeeded, Random, Integer, 1000, 6020899 
86, WhileNeeded, Random, Integer, 1000, 7576385 
87, WhileNeeded, Random, Integer, 1000, 7202172 
88, WhileNeeded, Random, Integer, 1000, 5205104 
89, WhileNeeded, Random, Integer, 1000, 5084911 
90, WhileNeeded, Random, Integer, 1000, 5090723 
91, WhileNeeded, Random, Integer, 1000, 5035845 
92, WhileNeeded, Random, Integer, 1000, 5081174 
93, WhileNeeded, Random, Integer, 1000, 5097791 
94, WhileNeeded, Random, Integer, 1000, 4993977 
95, WhileNeeded, Random, Integer, 1000, 5240224 
96, WhileNeeded, Random, Integer, 1000, 5383910 
97, WhileNeeded, Random, Integer, 1000, 5136556 
98, WhileNeeded, Random, Integer, 1000, 5322783 
99, WhileNeeded, Random, Integer, 1000, 5355436 
100, WhileNeeded, Random, Integer, 1000, 5473615 
