Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Random, Double, 1000, 14580543 
2, WhileNeeded, Random, Double, 1000, 28952649 
3, WhileNeeded, Random, Double, 1000, 5128592 
4, WhileNeeded, Random, Double, 1000, 3616161 
5, WhileNeeded, Random, Double, 1000, 3475882 
6, WhileNeeded, Random, Double, 1000, 3736999 
7, WhileNeeded, Random, Double, 1000, 3254504 
8, WhileNeeded, Random, Double, 1000, 3155864 
9, WhileNeeded, Random, Double, 1000, 3332034 
10, WhileNeeded, Random, Double, 1000, 2817045 
11, WhileNeeded, Random, Double, 1000, 2859917 
12, WhileNeeded, Random, Double, 1000, 2938796 
13, WhileNeeded, Random, Double, 1000, 2977984 
14, WhileNeeded, Random, Double, 1000, 2815260 
15, WhileNeeded, Random, Double, 1000, 2888206 
16, WhileNeeded, Random, Double, 1000, 3148441 
17, WhileNeeded, Random, Double, 1000, 2833355 
18, WhileNeeded, Random, Double, 1000, 2876731 
19, WhileNeeded, Random, Double, 1000, 3516267 
20, WhileNeeded, Random, Double, 1000, 2937186 
21, WhileNeeded, Random, Double, 1000, 2807202 
22, WhileNeeded, Random, Double, 1000, 2872259 
23, WhileNeeded, Random, Double, 1000, 3224591 
24, WhileNeeded, Random, Double, 1000, 3028719 
25, WhileNeeded, Random, Double, 1000, 2981337 
26, WhileNeeded, Random, Double, 1000, 2866322 
27, WhileNeeded, Random, Double, 1000, 2799398 
28, WhileNeeded, Random, Double, 1000, 2863278 
29, WhileNeeded, Random, Double, 1000, 2952478 
30, WhileNeeded, Random, Double, 1000, 2866671 
31, WhileNeeded, Random, Double, 1000, 2866773 
32, WhileNeeded, Random, Double, 1000, 3150241 
33, WhileNeeded, Random, Double, 1000, 2821405 
34, WhileNeeded, Random, Double, 1000, 2832548 
35, WhileNeeded, Random, Double, 1000, 2827974 
36, WhileNeeded, Random, Double, 1000, 2995279 
37, WhileNeeded, Random, Double, 1000, 3986325 
38, WhileNeeded, Random, Double, 1000, 2826692 
39, WhileNeeded, Random, Double, 1000, 2935471 
40, WhileNeeded, Random, Double, 1000, 2965325 
41, WhileNeeded, Random, Double, 1000, 2851672 
42, WhileNeeded, Random, Double, 1000, 2858059 
43, WhileNeeded, Random, Double, 1000, 3208217 
44, WhileNeeded, Random, Double, 1000, 2829691 
45, WhileNeeded, Random, Double, 1000, 4392891 
46, WhileNeeded, Random, Double, 1000, 2843372 
47, WhileNeeded, Random, Double, 1000, 2910341 
48, WhileNeeded, Random, Double, 1000, 2858785 
49, WhileNeeded, Random, Double, 1000, 4361171 
50, WhileNeeded, Random, Double, 1000, 2874297 
51, WhileNeeded, Random, Double, 1000, 2846469 
52, WhileNeeded, Random, Double, 1000, 2848826 
53, WhileNeeded, Random, Double, 1000, 2865263 
54, WhileNeeded, Random, Double, 1000, 2880296 
55, WhileNeeded, Random, Double, 1000, 2909084 
56, WhileNeeded, Random, Double, 1000, 2806331 
57, WhileNeeded, Random, Double, 1000, 2859313 
58, WhileNeeded, Random, Double, 1000, 2970241 
59, WhileNeeded, Random, Double, 1000, 2861519 
60, WhileNeeded, Random, Double, 1000, 2870114 
61, WhileNeeded, Random, Double, 1000, 2891717 
62, WhileNeeded, Random, Double, 1000, 2872177 
63, WhileNeeded, Random, Double, 1000, 2806260 
64, WhileNeeded, Random, Double, 1000, 2857056 
65, WhileNeeded, Random, Double, 1000, 2830834 
66, WhileNeeded, Random, Double, 1000, 2785805 
67, WhileNeeded, Random, Double, 1000, 2832244 
68, WhileNeeded, Random, Double, 1000, 2928210 
69, WhileNeeded, Random, Double, 1000, 2835951 
70, WhileNeeded, Random, Double, 1000, 2850319 
71, WhileNeeded, Random, Double, 1000, 2972975 
72, WhileNeeded, Random, Double, 1000, 2805455 
73, WhileNeeded, Random, Double, 1000, 2840697 
74, WhileNeeded, Random, Double, 1000, 2894901 
75, WhileNeeded, Random, Double, 1000, 2868368 
76, WhileNeeded, Random, Double, 1000, 2807823 
77, WhileNeeded, Random, Double, 1000, 2935880 
78, WhileNeeded, Random, Double, 1000, 2847605 
79, WhileNeeded, Random, Double, 1000, 3124554 
80, WhileNeeded, Random, Double, 1000, 3625514 
81, WhileNeeded, Random, Double, 1000, 3952707 
82, WhileNeeded, Random, Double, 1000, 3568443 
83, WhileNeeded, Random, Double, 1000, 3474285 
84, WhileNeeded, Random, Double, 1000, 3271066 
85, WhileNeeded, Random, Double, 1000, 3250862 
86, WhileNeeded, Random, Double, 1000, 3219762 
87, WhileNeeded, Random, Double, 1000, 4662324 
88, WhileNeeded, Random, Double, 1000, 4628492 
89, WhileNeeded, Random, Double, 1000, 4048780 
90, WhileNeeded, Random, Double, 1000, 3128632 
91, WhileNeeded, Random, Double, 1000, 3301955 
92, WhileNeeded, Random, Double, 1000, 3167264 
93, WhileNeeded, Random, Double, 1000, 4828761 
94, WhileNeeded, Random, Double, 1000, 4930099 
95, WhileNeeded, Random, Double, 1000, 3105908 
96, WhileNeeded, Random, Double, 1000, 2891949 
97, WhileNeeded, Random, Double, 1000, 2907769 
98, WhileNeeded, Random, Double, 1000, 2894856 
99, WhileNeeded, Random, Double, 1000, 2902227 
100, WhileNeeded, Random, Double, 1000, 2825108 
