Index, SortingAlgo, SortingType, DataType, DataSize, ExeTime 
1, WhileNeeded, Random, Float, 1000, 16758626 
2, WhileNeeded, Random, Float, 1000, 28391079 
3, WhileNeeded, Random, Float, 1000, 3587379 
4, WhileNeeded, Random, Float, 1000, 3554901 
5, WhileNeeded, Random, Float, 1000, 3779622 
6, WhileNeeded, Random, Float, 1000, 4374068 
7, WhileNeeded, Random, Float, 1000, 24451358 
8, WhileNeeded, Random, Float, 1000, 3101412 
9, WhileNeeded, Random, Float, 1000, 3208659 
10, WhileNeeded, Random, Float, 1000, 3220569 
11, WhileNeeded, Random, Float, 1000, 2897312 
12, WhileNeeded, Random, Float, 1000, 2870398 
13, WhileNeeded, Random, Float, 1000, 3075246 
14, WhileNeeded, Random, Float, 1000, 3313759 
15, WhileNeeded, Random, Float, 1000, 2913796 
16, WhileNeeded, Random, Float, 1000, 2983702 
17, WhileNeeded, Random, Float, 1000, 3000366 
18, WhileNeeded, Random, Float, 1000, 3205941 
19, WhileNeeded, Random, Float, 1000, 4191251 
20, WhileNeeded, Random, Float, 1000, 2971752 
21, WhileNeeded, Random, Float, 1000, 2921261 
22, WhileNeeded, Random, Float, 1000, 2757365 
23, WhileNeeded, Random, Float, 1000, 2907636 
24, WhileNeeded, Random, Float, 1000, 4585384 
25, WhileNeeded, Random, Float, 1000, 4682949 
26, WhileNeeded, Random, Float, 1000, 3210598 
27, WhileNeeded, Random, Float, 1000, 2798936 
28, WhileNeeded, Random, Float, 1000, 2757011 
29, WhileNeeded, Random, Float, 1000, 2767521 
30, WhileNeeded, Random, Float, 1000, 3668312 
31, WhileNeeded, Random, Float, 1000, 4607141 
32, WhileNeeded, Random, Float, 1000, 3132411 
33, WhileNeeded, Random, Float, 1000, 2901104 
34, WhileNeeded, Random, Float, 1000, 2855620 
35, WhileNeeded, Random, Float, 1000, 5099700 
36, WhileNeeded, Random, Float, 1000, 2802499 
37, WhileNeeded, Random, Float, 1000, 2739316 
38, WhileNeeded, Random, Float, 1000, 3193531 
39, WhileNeeded, Random, Float, 1000, 2893255 
40, WhileNeeded, Random, Float, 1000, 2739555 
41, WhileNeeded, Random, Float, 1000, 3200807 
42, WhileNeeded, Random, Float, 1000, 2771977 
43, WhileNeeded, Random, Float, 1000, 2822736 
44, WhileNeeded, Random, Float, 1000, 2869485 
45, WhileNeeded, Random, Float, 1000, 2836477 
46, WhileNeeded, Random, Float, 1000, 2758037 
47, WhileNeeded, Random, Float, 1000, 2720807 
48, WhileNeeded, Random, Float, 1000, 2795853 
49, WhileNeeded, Random, Float, 1000, 3103074 
50, WhileNeeded, Random, Float, 1000, 2739699 
51, WhileNeeded, Random, Float, 1000, 2968445 
52, WhileNeeded, Random, Float, 1000, 2836728 
53, WhileNeeded, Random, Float, 1000, 2754195 
54, WhileNeeded, Random, Float, 1000, 2743714 
55, WhileNeeded, Random, Float, 1000, 3350886 
56, WhileNeeded, Random, Float, 1000, 3514107 
57, WhileNeeded, Random, Float, 1000, 3020974 
58, WhileNeeded, Random, Float, 1000, 2966204 
59, WhileNeeded, Random, Float, 1000, 2869123 
60, WhileNeeded, Random, Float, 1000, 3114336 
61, WhileNeeded, Random, Float, 1000, 3718004 
62, WhileNeeded, Random, Float, 1000, 3668751 
63, WhileNeeded, Random, Float, 1000, 3177942 
64, WhileNeeded, Random, Float, 1000, 3095384 
65, WhileNeeded, Random, Float, 1000, 3081667 
66, WhileNeeded, Random, Float, 1000, 3156551 
67, WhileNeeded, Random, Float, 1000, 2833492 
68, WhileNeeded, Random, Float, 1000, 2753165 
69, WhileNeeded, Random, Float, 1000, 2728965 
70, WhileNeeded, Random, Float, 1000, 2860524 
71, WhileNeeded, Random, Float, 1000, 2841231 
72, WhileNeeded, Random, Float, 1000, 2740264 
73, WhileNeeded, Random, Float, 1000, 2765772 
74, WhileNeeded, Random, Float, 1000, 2804155 
75, WhileNeeded, Random, Float, 1000, 4243122 
76, WhileNeeded, Random, Float, 1000, 3122470 
77, WhileNeeded, Random, Float, 1000, 3430401 
78, WhileNeeded, Random, Float, 1000, 2918924 
79, WhileNeeded, Random, Float, 1000, 2905190 
80, WhileNeeded, Random, Float, 1000, 3063211 
81, WhileNeeded, Random, Float, 1000, 3202946 
82, WhileNeeded, Random, Float, 1000, 2901679 
83, WhileNeeded, Random, Float, 1000, 2868254 
84, WhileNeeded, Random, Float, 1000, 2907183 
85, WhileNeeded, Random, Float, 1000, 2716887 
86, WhileNeeded, Random, Float, 1000, 2745853 
87, WhileNeeded, Random, Float, 1000, 2772472 
88, WhileNeeded, Random, Float, 1000, 2827250 
89, WhileNeeded, Random, Float, 1000, 2771080 
90, WhileNeeded, Random, Float, 1000, 2921659 
91, WhileNeeded, Random, Float, 1000, 3247560 
92, WhileNeeded, Random, Float, 1000, 2844481 
93, WhileNeeded, Random, Float, 1000, 2791203 
94, WhileNeeded, Random, Float, 1000, 2863687 
95, WhileNeeded, Random, Float, 1000, 2918786 
96, WhileNeeded, Random, Float, 1000, 2774076 
97, WhileNeeded, Random, Float, 1000, 2818442 
98, WhileNeeded, Random, Float, 1000, 2921023 
99, WhileNeeded, Random, Float, 1000, 2753065 
100, WhileNeeded, Random, Float, 1000, 2731315 
